EpThisIter,ev_tdlam_before,surrgain,EpisodesSoFar,entropy,EpRewMean,EpTrueRewMean,EpLenMean,meankl,optimgain,entloss,TimestepsSoFar,TimeElapsed
2,0.024165689945220947,0.07035096,389,4.202644,725.5671,755.8119602495075,759.975,0.008946797,0.07035096,0.0,794502,980.0786135196686
1,-0.042742371559143066,0.046273425,390,4.2073307,727.10846,756.6828707785978,759.975,0.007874182,0.046273425,0.0,797502,984.0031280517578
1,-0.03225576877593994,0.048843306,391,4.195396,741.7884,768.7384496736903,774.3,0.008544421,0.048843306,0.0,800502,987.7762973308563
1,-0.03265082836151123,0.05280836,392,4.195275,740.5672,765.398230793797,774.8,0.008600758,0.05280836,0.0,803502,991.5816740989685
1,0.16580647230148315,0.06757133,393,4.187685,759.23456,781.6192094207881,794.625,0.009961751,0.06757133,0.0,806502,995.3862447738647
1,-0.05736041069030762,0.047789622,394,4.1917725,758.66833,779.1837116724348,794.625,0.008383973,0.047789622,0.0,809502,999.2620844841003
1,0.01248234510421753,0.059465215,395,4.210727,770.897,788.2369368723714,807.375,0.008314156,0.059465215,0.0,812502,1003.101856470108
1,-0.007809877395629883,0.04213112,396,4.2124248,771.8781,786.1210583448103,807.375,0.007405716,0.04213112,0.0,815502,1006.88809466362
1,-0.04507160186767578,0.05297426,397,4.210427,772.1042,784.0110379178934,807.375,0.009933548,0.05297426,0.0,818502,1010.6827914714813
1,-0.006187558174133301,0.058008578,398,4.20099,771.9733,780.2720134104018,807.375,0.008841889,0.058008578,0.0,821502,1014.4677219390869
1,-0.05387604236602783,0.04523285,399,4.201288,772.0003,779.9968130703098,807.375,0.008231109,0.04523285,0.0,824502,1018.2476243972778
1,-0.09633851051330566,0.103850916,400,4.1988506,772.5295,779.2069462730329,807.375,0.009053506,0.103850916,0.0,827502,1022.1233506202698
1,0.015505969524383545,0.05222322,401,4.214088,774.0949,778.4114188300174,807.375,0.008759885,0.05222322,0.0,830502,1025.9994084835052
1,0.07136571407318115,0.0634027,402,4.206017,784.8622,791.5494156609486,819.8,0.009232981,0.0634027,0.0,833502,1029.8142521381378
1,-0.025687217712402344,0.05346632,403,4.1977267,798.6909,805.2881411304531,833.55,0.00744687,0.05346632,0.0,836502,1033.623902797699
1,-0.016411662101745605,0.050404757,404,4.174533,819.592,826.6846464710779,855.125,0.007951728,0.050404757,0.0,839502,1037.515076160431
1,-0.051093459129333496,0.049525563,405,4.184848,819.3495,826.3554684320549,855.125,0.008002592,0.049525563,0.0,842502,1041.2543025016785
1,0.5417421758174896,0.056166623,406,4.2076144,810.54944,818.5477528178394,846.525,0.008729471,0.056166623,0.0,844470,1045.0170016288757
1,-0.018285274505615234,0.05588952,407,4.2057424,810.688,818.3571303458597,846.525,0.0075096446,0.05588952,0.0,847470,1048.8430242538452
1,-0.020716071128845215,0.04368777,408,4.231178,810.33466,820.5650931844636,846.525,0.0076866318,0.04368777,0.0,850470,1052.5985798835754
1,-0.12142002582550049,0.057200044,409,4.204223,810.3302,820.284232389518,846.525,0.008364239,0.057200044,0.0,853470,1056.3997857570648
1,0.05521661043167114,0.041521467,410,4.2084284,829.9606,840.5029221000477,866.425,0.006999163,0.041521467,0.0,856470,1060.236738204956
1,-0.025702238082885742,0.051968664,411,4.2166514,852.87537,865.3750254603683,889.825,0.00928326,0.051968664,0.0,859470,1064.0162572860718
