surrgain,EpThisIter,optimgain,ev_tdlam_before,meankl,entropy,TimeElapsed,entloss,EpLenMean,TimestepsSoFar,EpisodesSoFar,EpTrueRewMean,EpRewMean
0.008701118,5,0.008701118,-8.83340835571289e-05,0.0071472945,0.4872673,251.62235617637634,0.0,199.7,41822,337,199.7,261.15253
0.009027506,6,0.009027506,-5.626678466796875e-05,0.0071057826,0.5299052,257.44993138313293,0.0,198.925,42991,343,198.925,257.04608
0.015534556,5,0.015534556,-7.927417755126953e-05,0.0069172624,0.48288706,263.679607629776,0.0,198.575,43977,348,198.575,255.73056
0.01463573,5,0.01463573,-4.982948303222656e-05,0.008828525,0.5022185,269.5921812057495,0.0,198.575,44977,353,198.575,254.07361
0.0075623346,5,0.0075623346,-5.125999450683594e-05,0.0071182647,0.5172243,276.9763684272766,0.0,198.75,45977,358,198.75,254.28384
0.0114403395,5,0.0114403395,-5.0902366638183594e-05,0.0066336063,0.530681,283.3556318283081,0.0,198.8,46977,363,198.8,254.06416
0.006095029,5,0.006095029,-3.898143768310547e-05,0.006628996,0.55266666,289.09619879722595,0.0,198.8,47977,368,198.8,253.94698
0.011548761,5,0.011548761,-4.553794860839844e-05,0.008282138,0.52774143,294.8098657131195,0.0,198.875,48977,373,198.875,254.86018
0.004856842,5,0.004856842,-3.981590270996094e-05,0.005765139,0.5697515,300.7364835739136,0.0,198.875,49977,378,198.875,256.14413
0.009712054,6,0.009712054,-3.707408905029297e-05,0.008534258,0.5654771,309.0825226306915,0.0,199.95,51177,384,199.95,264.42862
