surrgain,TimestepsSoFar,ev_tdlam_before,EpRewMean,meankl,entropy,EpTrueRewMean,EpLenMean,entloss,optimgain,EpThisIter,TimeElapsed,EpisodesSoFar
0.07234718,312429,0.9123589098453522,201.43149,0.008485168,3.7243636,827.9761084939339,626.725,0.0,0.07234718,1,438.2087802886963,216
0.06580193,315828,0.6643988490104675,196.81528,0.010167761,3.7223513,821.1677606519621,605.05,0.0,0.06580193,2,442.50381350517273,218
0.0643439,318828,-0.04182887077331543,195.23196,0.008777024,3.704897,822.105510925069,605.05,0.0,0.0643439,1,446.80067563056946,219
0.059118178,321828,-0.07205796241760254,202.71123,0.009937255,3.6734622,860.674529337092,627.15,0.0,0.059118178,1,451.0684254169464,220
0.06559606,324465,0.7827294021844864,203.31131,0.00915198,3.696779,872.5265243916177,624.125,0.0,0.06559606,1,455.35980772972107,221
0.060663007,328662,0.815280094742775,204.1457,0.00911569,3.6632082,892.3177588528249,626.075,0.0,0.060663007,2,459.67558431625366,223
0.075974606,330945,0.8155563324689865,203.05206,0.008745097,3.7117229,896.098445872494,620.1,0.0,0.075974606,1,464.045912027359,224
0.066974685,335238,0.8689228445291519,193.97612,0.008482859,3.7041996,873.446309997105,583.45,0.0,0.066974685,3,468.3620409965515,227
0.06583996,338106,0.4589257836341858,192.04025,0.008994501,3.7045817,873.1470915074717,572.65,0.0,0.06583996,3,472.67407274246216,230
0.07038668,340359,0.8970291465520859,191.2739,0.010416804,3.6985857,879.5372170260725,568.275,0.0,0.07038668,1,476.96176290512085,231
0.061567,343248,0.5460975170135498,199.5094,0.0084952945,3.6994693,921.4297255747518,589.425,0.0,0.061567,2,481.29627203941345,233
0.091841586,345183,0.187119722366333,203.38934,0.009872563,3.6644876,940.9433429298631,600.775,0.0,0.091841586,1,485.6414132118225,234
0.0723345,348828,0.8010571897029877,196.18178,0.009028163,3.6541827,923.0576535671737,576.2,0.0,0.0723345,4,489.9891107082367,238
0.08100928,352692,0.7427540123462677,193.56323,0.009924123,3.6727679,919.4062906152296,560.825,0.0,0.08100928,2,494.3196978569031,240
0.07119887,355707,0.7028141617774963,188.45389,0.010643498,3.670723,896.8836997120585,533.95,0.0,0.07119887,3,498.6703782081604,243
