EpTrueRewMean,ev_tdlam_before,TimestepsSoFar,EpLenMean,meankl,optimgain,EpThisIter,entropy,surrgain,EpisodesSoFar,entloss,TimeElapsed,EpRewMean
507.33351201279874,0.8807733207941055,666615,101.725,0.004177624,0.15844107,11,23.353598,0.15844107,2787,0.0,1237.751880645752,102.69082
486.53375258257165,0.8594660758972168,669465,98.175,0.0039871754,0.1733185,10,23.348856,0.1733185,2797,0.0,1243.640841960907,97.59954
476.250390860633,0.8767494484782219,672375,97.3,0.003819869,0.14102459,10,23.3492,0.14102459,2807,0.0,1249.4093034267426,95.922226
492.69127542169883,0.8734292238950729,675201,99.375,0.0037681442,0.15642285,8,23.346617,0.15642285,2815,0.0,1255.2326076030731,97.284805
515.0451791207591,0.8787496387958527,678192,102.9,0.014817408,0.37518272,9,23.34538,0.37518272,2824,0.0,1260.9704375267029,100.90941
544.5701584847814,0.873429536819458,681549,108.175,0.003937768,0.15457696,10,23.345034,0.15457696,2834,0.0,1266.7310938835144,106.24058
540.8427033326559,0.9058222845196724,684534,107.7,0.014602741,0.3193238,10,23.343443,0.3193238,2844,0.0,1272.5136461257935,106.33836
562.4377584873755,0.8484476953744888,687789,112.9,0.0040004095,0.15011236,8,23.33935,0.15011236,2852,0.0,1278.2873756885529,111.59985
550.0639164845758,0.8972481042146683,690834,110.525,0.014481543,0.2977999,10,23.333235,0.2977999,2862,0.0,1284.0798659324646,109.117455
524.2259327340773,0.8990396186709404,693675,105.325,0.0041248286,0.14518946,10,23.335287,0.14518946,2872,0.0,1289.935570716858,104.3687
517.9760093776647,0.8966910913586617,696537,104.85,0.0038613013,0.13484147,10,23.337484,0.13484147,2882,0.0,1295.784930229187,103.532394
480.0836057730179,0.9038189277052879,699531,96.4,0.0043119295,0.15193623,11,23.337223,0.15193623,2893,0.0,1301.6563067436218,95.186874
486.60703243397467,0.8996630758047104,702585,97.925,0.0039442317,0.15740372,9,23.340265,0.15740372,2902,0.0,1307.3766434192657,96.12638
503.1620169186241,0.8147587329149246,705855,101.5,0.004118353,0.14333433,10,23.340351,0.14333433,2912,0.0,1313.2244176864624,100.497
515.6867458572884,0.8564355969429016,708900,103.025,0.0038746705,0.14084584,10,23.339827,0.14084584,2922,0.0,1319.008320569992,103.20741
537.2359369170042,0.9177626818418503,711984,106.2,0.00401878,0.14794819,10,23.33978,0.14794819,2932,0.0,1324.7552359104156,108.004395
533.7282667300922,0.8894349038600922,715161,104.8,0.0041635064,0.14922458,10,23.340837,0.14922458,2942,0.0,1330.5501792430878,107.04083
537.4855835791972,0.8634750694036484,718347,106.15,0.014024225,0.25570166,9,23.340559,0.25570166,2951,0.0,1336.3169538974762,107.55797
536.1314099045616,0.8766984343528748,721596,105.8,0.014725367,0.32721835,11,23.340574,0.32721835,2962,0.0,1342.1444201469421,106.488235
531.6960340095605,0.9095376133918762,724575,104.925,0.004099495,0.14908499,10,23.340883,0.14908499,2972,0.0,1348.061027765274,104.74603
563.339485786992,0.8747911900281906,727500,111.6,0.0046204245,0.17101997,7,23.33942,0.17101997,2979,0.0,1353.8653173446655,109.84514
542.0325624717174,0.8827953338623047,730674,106.35,0.0039854134,0.16398504,11,23.340496,0.16398504,2990,0.0,1359.8310527801514,105.21333
549.0961840099669,0.9111226946115494,733707,107.15,0.003955496,0.14745739,10,23.340315,0.14745739,3000,0.0,1365.7135298252106,105.198586
