optimgain,EpisodesSoFar,EpTrueRewMean,TimestepsSoFar,entropy,EpLenMean,TimeElapsed,EpThisIter,ev_tdlam_before,EpRewMean,surrgain,meankl,entloss
0.2762823,2343,471.9523178713225,524175,23.268793,94.8,1157.567390680313,10,0.8580025881528854,60.712757,0.2762823,0.013982161,0.0
0.25302333,2352,487.4106450190778,527124,23.26123,97.775,1164.2433302402496,9,0.8680252581834793,64.79469,0.25302333,0.013523147,0.0
0.334278,2362,513.7396383716508,530628,23.260908,103.175,1170.9296655654907,10,0.9017616212368011,67.37199,0.334278,0.014175346,0.0
0.37391585,2373,520.6875061349319,533706,23.261957,104.525,1177.6239578723907,11,0.8562177121639252,69.9809,0.37391585,0.013244186,0.0
0.29214337,2384,508.63199230239644,536796,23.25765,101.9,1184.2274823188782,11,0.8189688175916672,71.55817,0.29214337,0.013587651,0.0
0.13549238,2395,483.9274888246021,539853,23.256124,96.45,1190.766048669815,11,0.894823893904686,66.676254,0.13549238,0.003935582,0.0
0.27822244,2405,477.20327045082104,542811,23.256853,94.35,1197.4370338916779,10,0.8513829708099365,68.37785,0.27822244,0.014532242,0.0
0.29795894,2415,481.9397687552222,545826,23.254951,95.625,1204.108032464981,10,0.8169804066419601,70.13568,0.29795894,0.013946427,0.0
0.27016422,2427,463.86436669228914,548922,23.254374,92.075,1210.7621669769287,12,0.8588821589946747,68.04584,0.27016422,0.014314745,0.0
0.3520568,2437,481.25580034791653,552015,23.24949,95.6,1217.3563485145569,10,0.8657159209251404,69.318954,0.3520568,0.014761956,0.0
0.148238,2448,476.21883821832955,555054,23.251974,94.8,1224.1582584381104,11,0.8273260146379471,68.75849,0.148238,0.0040925383,0.0
0.2900018,2459,471.99663622502396,558111,23.24388,93.9,1230.7733931541443,11,0.8753647282719612,66.52684,0.2900018,0.012916083,0.0
0.30447024,2469,483.22475954770397,561126,23.24274,96.85,1237.563542842865,10,0.8736598938703537,66.04529,0.30447024,0.014508504,0.0
