meankl,entropy,EpisodesSoFar,optimgain,entloss,TimeElapsed,EpThisIter,EpLenMean,EpRewMean,EpTrueRewMean,ev_tdlam_before,surrgain,TimestepsSoFar
0.0076620504,8.510674,51,0.05959857,0.0,7.179030418395996,51,20.2,20.699852,-1.1897563033908276,0.40367329120635986,0.05959857,3030
0.007645089,8.493595,78,0.058662917,0.0,12.868104696273804,27,31.375,26.58225,0.7689672445052133,0.5359680354595184,0.058662917,6072
0.0075963056,8.434693,98,0.06430629,0.0,18.052475929260254,20,46.525,38.98299,3.108266306892563,0.4978477358818054,0.06430629,9291
0.0063787904,8.407782,110,0.062222034,0.0,23.235538959503174,12,58.225,47.84852,3.8467693751407763,0.6258634626865387,0.062222034,12135
0.006878827,8.3267975,120,0.06442889,0.0,28.401623725891113,10,74.1,60.234875,-1.4802611416208382,0.8140018135309219,0.06442889,15288
0.006476148,8.268307,127,0.0638707,0.0,33.198646545410156,7,86.175,69.2678,0.018551683549381436,0.8074418306350708,0.0638707,17940
0.006396412,8.208373,134,0.07006162,0.0,37.96847057342529,7,103.575,81.98042,8.55675399135848,0.8277169466018677,0.07006162,21159
0.0067294263,8.186101,141,0.06656166,0.0,42.72254180908203,7,118.45,93.27053,15.492223754949018,0.9055060297250748,0.06656166,24411
0.0063026827,8.164732,147,0.053644426,0.0,47.528074502944946,6,132.4,102.316025,26.766644637698505,0.8623539060354233,0.053644426,27315
0.006562756,8.107115,152,0.0630086,0.0,52.138662576675415,5,150.75,112.61339,37.85195118923446,0.8856816664338112,0.0630086,30735
0.006864868,8.078251,157,0.06117702,0.0,56.57907557487488,5,160.725,122.53943,69.94450862671708,0.9362833723425865,0.06117702,33702
0.0071325116,8.059022,163,0.06165094,0.0,61.010393381118774,6,168.05,127.65261,93.6291028696683,0.8930621147155762,0.06165094,36567
0.0074881287,8.053356,167,0.06857017,0.0,65.38406229019165,4,176.725,133.81015,116.3067102956666,0.8853345140814781,0.06857017,39147
0.006732448,7.9737053,171,0.071519434,0.0,69.76923370361328,4,184.9,138.5059,139.53865587149417,0.9266386181116104,0.071519434,41745
