meankl,optimgain,surrgain,entloss,entropy,EpThisIter,ev_tdlam_before,TimeElapsed,EpisodesSoFar,TimestepsSoFar,EpLenMean,EpTrueRewMean,EpRewMean
0.0072114896,0.063617915,0.063617915,0.0,8.493095,42,0.3717916011810303,6.051717281341553,42,3060,24.65,0.4813382068533194,29.31994
0.006728803,0.05928055,0.05928055,0.0,8.450303,25,0.4902479648590088,10.92198133468628,67,6123,35.475,7.942216526871846,39.670326
0.006787942,0.06268681,0.06268681,0.0,8.41533,21,0.5354854166507721,15.86611270904541,88,9198,46.25,15.547416442985497,49.51145
0.005830181,0.05666332,0.05666332,0.0,8.400649,10,0.6734184920787811,20.79609441757202,98,12225,59.575,19.322623835306654,63.275658
0.0068055615,0.06703143,0.06703143,0.0,8.391526,10,0.7031969130039215,25.439844846725464,108,15534,76.85,29.620645591306772,80.212036
0.0062509337,0.06244213,0.06244213,0.0,8.370725,6,0.8366291224956512,29.906126022338867,114,18234,93.125,40.53505299642561,96.34182
0.0061194533,0.059186336,0.059186336,0.0,8.393787,7,0.8379183560609818,34.39240050315857,121,21549,109.975,55.9976991743268,111.23009
0.005669454,0.059243612,0.059243612,0.0,8.367539,7,0.8560240417718887,38.78298759460449,128,24699,129.175,68.67592411006399,128.37589
0.0057683727,0.06258642,0.06258642,0.0,8.344314,6,0.8194493502378464,43.083462953567505,134,27570,137.6,73.5399129350587,133.42868
0.0066876225,0.0677611,0.0677611,0.0,8.330988,5,0.8673888742923737,47.474682569503784,139,30735,150.1,84.08449824815243,142.43263
0.005997593,0.060659286,0.060659286,0.0,8.343871,5,0.8735318779945374,51.97410607337952,144,34305,166.675,108.31269271573642,156.26482
0.0064751576,0.079138346,0.079138346,0.0,8.324207,6,0.8642475455999374,56.412126779556274,150,37797,175.2,126.26864322596666,161.6875
0.0054696007,0.05574719,0.05574719,0.0,8.287472,4,0.9290881305932999,60.84645676612854,154,40434,185.0,140.90269066601866,168.89459
0.0065088887,0.06619406,0.06619406,0.0,8.308102,5,0.9303504750132561,65.25216770172119,159,43026,185.35,153.60580392027788,168.559
0.005930849,0.055037852,0.055037852,0.0,8.311524,6,0.9257820025086403,69.70102310180664,165,46227,192.3,163.30115188443597,171.67874
0.00574064,0.06266819,0.06266819,0.0,8.299025,5,0.9320626184344292,74.2144947052002,170,49200,195.75,186.2616931258306,173.02097
0.0060940315,0.058246948,0.058246948,0.0,8.288682,5,0.9521564021706581,78.7107720375061,175,54507,220.325,224.57848516044243,190.38019
0.005971443,0.062401697,0.062401697,0.0,8.2841835,3,0.930211141705513,83.16267943382263,178,57900,230.9,250.77601588873145,196.83952
0.005889528,0.061334513,0.061334513,0.0,8.261234,5,0.9320013299584389,87.6207685470581,183,61152,227.175,255.45132555484543,189.49861
0.0067584645,0.06102281,0.06102281,0.0,8.184569,2,0.9014068096876144,92.19715023040771,185,64047,238.75,259.73693610775837,193.5581
0.005837488,0.07698045,0.07698045,0.0,8.18781,2,0.9355905055999756,96.71924138069153,187,66996,253.725,283.78803769524274,203.64182
0.005600569,0.067044154,0.067044154,0.0,8.117355,3,0.9413406513631344,101.2980751991272,190,69315,262.65,306.26874776675305,209.74268
0.007972906,0.037631392,0.037631392,0.0,8.119262,1,-0.04211926460266113,105.80737638473511,191,72315,282.5,322.7228870680608,219.63272
0.0067032687,0.044900097,0.044900097,0.0,8.131213,1,0.15651994943618774,110.38879871368408,192,75315,299.95,333.898226564381,226.00266
0.0071654744,0.05028946,0.05028946,0.0,8.137572,1,-0.032697200775146484,115.01136374473572,193,78315,321.95,355.9493759145252,237.50093
0.007029918,0.05320298,0.05320298,0.0,8.131885,1,0.027980506420135498,119.58885836601257,194,81315,340.675,371.15676961985565,244.83699
0.0071358727,0.052685972,0.052685972,0.0,8.1119375,2,0.43333756923675537,124.10222315788269,196,85446,366.325,396.5743792614198,258.72192
0.006602576,0.08197499,0.08197499,0.0,8.09277,2,0.942103199660778,128.541841506958,198,87222,371.6,402.3790769960953,261.45282
0.0065825344,0.07856814,0.07856814,0.0,8.051895,3,0.9393784925341606,133.04071140289307,201,90480,386.675,413.85579137855774,271.7005
0.007356766,0.066703245,0.066703245,0.0,8.063909,1,0.6679596602916718,137.4852156639099,202,93480,407.275,434.8409070690128,281.0795
0.0060447035,0.074351385,0.074351385,0.0,8.069714,1,0.8998592644929886,141.95979475975037,203,95724,422.275,449.6652890897317,288.82373
0.007256891,0.0761857,0.0761857,0.0,8.034423,1,0.883487731218338,146.46860790252686,204,96243,421.35,454.204233409112,289.02066
0.007523749,0.09727903,0.09727903,0.0,8.027358,1,0.9532189629971981,151.0326144695282,205,98415,434.9,471.9609965846609,296.8405
0.006922635,0.09629284,0.09629284,0.0,8.034306,2,0.8913175612688065,155.51339316368103,207,100695,443.725,481.4396863944954,303.26093
0.0078267455,0.066020265,0.066020265,0.0,8.009689,2,0.7611560523509979,159.90467357635498,209,105231,473.325,504.3839926285702,314.35873
0.006715732,0.07822888,0.07822888,0.0,7.9888954,1,0.9571728967130184,164.39986062049866,210,106233,475.275,508.0450164781886,315.44855
0.006381912,0.07000685,0.07000685,0.0,8.005004,3,0.9068997651338577,168.93892765045166,213,109191,464.625,501.0973387580643,306.27258
0.0069669727,0.08107483,0.08107483,0.0,7.9696074,4,0.9473421759903431,173.50617289543152,217,112581,462.3,489.98881623249383,300.69733
0.0075319903,0.08018892,0.08018892,0.0,7.94426,3,0.9461064375936985,178.0591471195221,220,115782,468.825,494.4365225426444,302.1264
