entloss,entropy,surrgain,EpLenMean,EpisodesSoFar,TimeElapsed,EpThisIter,ev_tdlam_before,meankl,EpRewMean,optimgain,TimestepsSoFar,EpTrueRewMean
0.0,4.209963,0.046410188,33.3,30,4.634556770324707,30,0.273439884185791,0.007469434,37.706443419598095,0.046410188,2997,37.706443419598095
0.0,4.177309,0.040883113,43.875,50,8.37928056716919,20,0.16229766607284546,0.006695011,59.991689584667846,0.040883113,6015,59.991689584667846
0.0,4.138848,0.04022984,57.575,65,12.135386228561401,15,0.2588490843772888,0.0067801676,93.2483621687323,0.04022984,9291,93.2483621687323
0.0,4.0867023,0.04774069,70.125,76,15.85485577583313,11,0.35928380489349365,0.0072442163,123.52150101628709,0.04774069,12483,123.52150101628709
0.0,4.113653,0.043414094,84.35,88,19.495003938674927,12,0.5278757512569427,0.007218188,160.4682827175224,0.043414094,15708,160.4682827175224
0.0,4.076776,0.046036094,89.375,99,23.093995809555054,11,0.5732163190841675,0.007057346,175.11852707704216,0.046036094,18627,175.11852707704216
0.0,4.0644145,0.041155256,94.275,108,26.84617042541504,9,0.911764994263649,0.0068288636,190.96155614142063,0.041155256,21696,190.96155614142063
0.0,4.030334,0.039508004,100.125,117,30.507884740829468,9,0.8916699513792992,0.0061188512,207.9638383742095,0.039508004,24792,207.9638383742095
0.0,4.01248,0.047011815,107.625,126,34.11908030509949,9,0.84723299741745,0.0066101328,227.23207681854996,0.047011815,27981,227.23207681854996
0.0,3.9809499,0.046664886,112.325,135,37.77835202217102,9,0.8537105470895767,0.0063559143,242.04665376973963,0.046664886,31008,242.04665376973963
0.0,3.945397,0.0486847,116.825,143,41.417821407318115,8,0.9218290224671364,0.007639503,258.90253450731655,0.0486847,33996,258.90253450731655
0.0,3.969856,0.042060148,120.575,150,45.034236907958984,7,0.9401577450335026,0.0063392064,271.3739661913713,0.042060148,36837,271.3739661913713
0.0,3.9255922,0.051323418,119.9,159,48.759578227996826,9,0.7953107953071594,0.007041256,275.7796083743715,0.051323418,39984,275.7796083743715
0.0,3.901129,0.051126022,124.2,167,52.415364503860474,8,0.8699359446763992,0.006994856,292.8427882514099,0.051126022,43230,292.8427882514099
0.0,3.9146974,0.041668955,130.75,175,56.04198455810547,8,0.9544119238853455,0.0072435383,314.69029215336616,0.041668955,46698,314.69029215336616
0.0,3.894171,0.045492172,132.6,182,59.786271810531616,7,0.9483590461313725,0.007563239,321.3755199952567,0.045492172,49545,321.3755199952567
0.0,3.8944168,0.041976027,133.625,189,63.48164129257202,7,0.9757318813353777,0.0063787717,331.40671388467297,0.041976027,52500,331.40671388467297
0.0,3.905464,0.038008586,138.725,195,67.1822361946106,6,0.9795519672334194,0.0068443473,348.2176476111721,0.038008586,55143,348.2176476111721
0.0,3.9000263,0.041337594,142.175,202,70.65979027748108,7,0.9803401883691549,0.0068479897,365.0282543132633,0.041337594,58311,365.0282543132633
0.0,3.865668,0.04639043,144.875,208,74.27643275260925,6,0.9741840120404959,0.0071424795,378.3051797635531,0.04639043,61095,378.3051797635531
0.0,3.8675005,0.043899,145.725,216,77.94398903846741,8,0.9274945929646492,0.0069097294,387.3291796998921,0.043899,64512,387.3291796998921
0.0,3.8567488,0.041751236,147.925,223,81.61636066436768,7,0.984636964276433,0.0076095746,396.47159188530986,0.041751236,67728,396.47159188530986
0.0,3.855231,0.040632688,150.15,229,85.22587132453918,6,0.9910798436030746,0.0074344706,406.62406574578006,0.040632688,70518,406.62406574578006
0.0,3.8241289,0.040073227,150.45,236,88.79492354393005,7,0.9919294835999608,0.007553398,411.4374952286474,0.040073227,73668,411.4374952286474
0.0,3.8145523,0.05219304,151.175,242,92.46579480171204,6,0.9831640608608723,0.0073533524,413.62950542220307,0.05219304,76452,413.62950542220307
0.0,3.7826536,0.043679014,149.975,249,96.12243556976318,7,0.9962005175184458,0.007863299,414.28023037572456,0.043679014,79563,414.28023037572456
0.0,3.7635798,0.040053293,150.45,256,99.74526190757751,7,0.9492634125053883,0.007361583,417.6948158198114,0.040053293,82566,417.6948158198114
0.0,3.743628,0.048510145,150.975,262,103.34318947792053,6,0.9960440946742892,0.008028882,421.9833404932324,0.048510145,85347,421.9833404932324
0.0,3.6996458,0.041652985,149.525,269,106.90765070915222,7,0.9954551351256669,0.00717695,420.5295697990644,0.041652985,88461,420.5295697990644
0.0,3.6942368,0.06828834,150.925,275,110.55030679702759,6,0.9963456229306757,0.0075734383,424.05952461564505,0.06828834,91293,424.05952461564505
0.0,3.6929257,0.061731476,150.125,282,114.19347929954529,7,0.9176443740725517,0.006876479,423.3364908152654,0.061731476,94467,423.3364908152654
0.0,3.710756,0.043313913,150.65,289,117.79968357086182,7,0.9951254860498011,0.007281767,425.5855468786373,0.043313913,97641,425.5855468786373
0.0,3.6828854,0.05382669,154.375,295,121.46616005897522,6,0.935094840824604,0.008188483,437.41887507199147,0.05382669,100653,437.41887507199147
0.0,3.6798644,0.040268213,156.7,301,125.21008062362671,6,0.8762283846735954,0.007239624,444.1902749176462,0.040268213,103704,444.1902749176462
0.0,3.6664367,0.045996055,159.5,308,128.8010551929474,7,0.9760125540196896,0.0073698414,450.8686640531963,0.045996055,107178,450.8686640531963
0.0,3.6492376,0.042627513,166.025,313,132.42810249328613,5,0.9034958407282829,0.0071857995,469.54316456715367,0.042627513,110295,469.54316456715367
0.0,3.613517,0.051553532,174.1,317,136.09979701042175,4,0.9432592950761318,0.007719501,493.61989642066493,0.051553532,113103,493.61989642066493
0.0,3.6017148,0.05458673,185.35,322,139.7672302722931,5,0.9746996685862541,0.0069574243,529.552659725553,0.05458673,116709,529.552659725553
0.0,3.5782084,0.065303445,193.75,325,143.4964723587036,3,0.9495412185788155,0.008156723,553.8323738058722,0.065303445,119082,553.8323738058722
