EpTrueRewMean,meankl,TimestepsSoFar,surrgain,optimgain,ev_tdlam_before,entloss,EpRewMean,EpLenMean,TimeElapsed,EpThisIter,entropy,EpisodesSoFar
578.3122738109247,0.006850281,144330,0.08489935,0.08489935,0.9561951756477356,0.0,469.049,596.4,313.14358949661255,4,7.642147,249
600.1202954959901,0.0070576333,147384,0.13319069,0.13319069,0.8589518815279007,0.0,476.06348,600.975,319.43874764442444,2,7.648495,251
607.801748981465,0.0068924464,149898,0.09224343,0.09224343,0.9522887244820595,0.0,468.92303,583.675,325.7972114086151,3,7.6455655,254
608.5134029150984,0.0074362224,152481,0.086579315,0.086579315,0.9589633941650391,0.0,456.78107,563.725,332.07556533813477,3,7.6648107,257
601.4409903366937,0.006307156,157053,0.104913354,0.104913354,0.9648424498736858,0.0,445.28036,553.025,338.34998655319214,3,7.6674814,260
538.8838755587861,0.006930174,160278,0.081178,0.081178,0.9213621020317078,0.0,390.55582,475.1,344.68190813064575,5,7.6581993,265
537.0505481836533,0.006893078,165033,0.10057901,0.10057901,0.9221301600337029,0.0,384.04337,467.375,350.9027569293976,3,7.641662,268
511.26431249791585,0.006381098,168876,0.09103161,0.09103161,0.9616181701421738,0.0,355.61133,419.5,357.2388503551483,4,7.6320033,272
492.69687483257985,0.007800587,171408,0.09467186,0.09467186,0.9321769624948502,0.0,329.09424,370.15,363.6120116710663,4,7.6234136,276
495.04470970647736,0.006754297,175401,0.08342712,0.08342712,0.9773015379905701,0.0,324.95834,367.0,369.9276351928711,3,7.63359,279
465.5220308066646,0.007952779,178257,0.10767206,0.10767206,0.9716706890612841,0.0,297.14255,328.75,376.29215908050537,4,7.641309,283
461.7740663123961,0.006829022,181173,0.08144739,0.08144739,0.9857164844870567,0.0,288.10327,324.525,382.64213275909424,3,7.6383514,286
460.3511641288895,0.007604793,181779,0.078389406,0.078389406,0.9070824682712555,0.0,285.14172,323.925,388.96515107154846,1,7.6281133,287
474.23527592210814,0.0067717107,184215,0.08575621,0.08575621,0.9815435204654932,0.0,293.3958,337.275,395.2694733142853,1,7.6359096,288
467.4514638002136,0.0072164293,187980,0.07443673,0.07443673,0.8776936680078506,0.0,290.74023,343.975,401.61056566238403,2,7.633607,290
475.45420532034257,0.006870536,190920,0.09411703,0.09411703,0.9087929576635361,0.0,291.74307,348.0,407.978492975235,3,7.635372,293
483.9754230777162,0.00733785,193866,0.08718658,0.08718658,0.9786795787513256,0.0,293.1008,351.85,414.27397656440735,3,7.626403,296
487.26300911081836,0.0068814987,197418,0.08655573,0.08655573,0.9525819160044193,0.0,289.6491,349.375,420.64141964912415,3,7.628907,299
497.43454124658973,0.0074331043,201411,0.08852264,0.08852264,0.965244896709919,0.0,292.47183,358.55,427.0146906375885,3,7.618514,302
505.5715261939405,0.007357303,204522,0.09639605,0.09639605,0.9451537765562534,0.0,288.32794,345.425,433.3698492050171,4,7.6243157,306
496.18714806728406,0.006730657,207591,0.0653139,0.0653139,0.9222197383642197,0.0,281.71478,342.0,439.66164326667786,3,7.6276727,309
508.48968158367654,0.008721104,210591,0.07577516,0.07577516,0.1955457329750061,0.0,290.449,359.5,446.02932572364807,1,7.6285396,310
514.3783760848144,0.007391814,212700,0.09377696,0.09377696,0.9575146809220314,0.0,292.57047,365.2,452.3449683189392,2,7.613477,312
529.5433520035042,0.007316009,216222,0.10155456,0.10155456,0.8721620738506317,0.0,301.6698,381.225,458.61776518821716,3,7.6167564,315
531.2850384410642,0.0076759304,218757,0.12169644,0.12169644,0.8775828704237938,0.0,305.59393,384.15,464.9833993911743,2,7.6357875,317
529.9016984467285,0.00713232,219534,0.098510794,0.098510794,0.9066974744200706,0.0,302.05188,376.425,471.2393434047699,1,7.6490483,318
541.6212579640145,0.007395628,221949,0.11269927,0.11269927,0.8735205382108688,0.0,310.2924,382.35,477.47909355163574,2,7.6400914,320
559.0841395161959,0.0066244854,224475,0.11268857,0.11268857,0.8918261155486107,0.0,320.2625,390.725,483.8635411262512,2,7.6326165,322
582.918700589309,0.0069347913,228447,0.094333306,0.094333306,0.9307773634791374,0.0,335.2763,413.3,490.1487662792206,2,7.626086,324
597.3547777177346,0.007731756,232947,0.09298381,0.09298381,0.5593030750751495,0.0,346.1334,431.45,496.46162939071655,2,7.6186514,326
613.8069561327435,0.0063775685,235947,0.08094983,0.08094983,-0.1895160675048828,0.0,357.8896,451.4,502.79047560691833,1,7.6103063,327
609.58128151125,0.0076741916,238578,0.13315168,0.13315168,0.8919653296470642,0.0,349.12457,421.65,509.1611080169678,3,7.604127,330
611.5725548840211,0.007215404,241845,0.10518771,0.10518771,0.8432936519384384,0.0,352.57562,424.375,515.527027130127,3,7.6161504,333
610.9344344932995,0.007991502,242628,0.10403539,0.10403539,0.8005350530147552,0.0,351.88364,420.125,521.8253118991852,1,7.6171837,334
620.6803746183166,0.0076951184,246264,0.12251234,0.12251234,0.8444961309432983,0.0,363.41174,436.65,528.1220481395721,2,7.6131554,336
634.6242488594611,0.0075264447,248985,0.12009303,0.12009303,0.6872365772724152,0.0,375.0639,446.125,534.423015832901,1,7.5911827,337
638.7509730364606,0.006815931,251034,0.0871364,0.0871364,0.707951694726944,0.0,380.072,452.575,540.6513102054596,1,7.5841804,338
615.6943430144819,0.008049009,254634,0.096705854,0.096705854,0.8927724286913872,0.0,373.18805,443.525,546.99134516716,4,7.5763702,342
616.8544089038363,0.00745673,256482,0.14895952,0.14895952,0.8488994687795639,0.0,375.31143,444.425,553.346949338913,2,7.5586557,344
632.3119814916223,0.00721569,259875,0.1017625,0.1017625,0.9391279928386211,0.0,389.7362,454.225,559.5261149406433,3,7.556381,347
659.2796921620002,0.00824192,261972,0.15132433,0.15132433,0.8843730464577675,0.0,401.97784,462.975,565.7818100452423,1,7.554215,348
674.6314677463256,0.007519912,265032,0.13026366,0.13026366,0.9071094840764999,0.0,408.56265,453.675,572.1167988777161,2,7.5630527,350
691.2482979627737,0.0078091286,268032,0.08600763,0.08600763,0.256758451461792,0.0,421.07788,472.475,578.4242868423462,1,7.5531626,351
702.3354938741738,0.0069671674,270348,0.09536793,0.09536793,0.7443425059318542,0.0,426.77667,473.175,584.7533383369446,2,7.5334435,353
723.9758331909239,0.0072055217,273855,0.10354705,0.10354705,0.7863959968090057,0.0,437.5005,480.275,591.0877864360809,2,7.5286245,355
745.5580694679174,0.0072632977,275682,0.101144224,0.101144224,0.8666351586580276,0.0,444.99506,484.75,597.4086921215057,1,7.522095,356
760.9827971408215,0.007560771,278781,0.09541418,0.09541418,0.7408897578716278,0.0,452.50107,481.95,603.7228989601135,3,7.523193,359
786.1504337344849,0.007806318,282363,0.13063417,0.13063417,0.7337574660778046,0.0,466.67612,495.2,609.9945232868195,2,7.528683,361
788.3335927365288,0.007652987,285216,0.12558705,0.12558705,0.8635451942682266,0.0,464.14508,490.325,616.3057677745819,2,7.5241103,363
797.1000582536046,0.0074263867,288462,0.09756821,0.09756821,0.8722926825284958,0.0,461.26154,476.275,622.5833749771118,2,7.5198517,365
