TimestepsSoFar,entropy,EpThisIter,EpRewMean,EpisodesSoFar,meankl,entloss,EpLenMean,ev_tdlam_before,TimeElapsed,EpTrueRewMean,surrgain,optimgain
682134,23.514423,11,64.15529,2831,0.0037871744,0.0,102.125,0.8772896006703377,1448.7592079639435,519.5713580744152,0.14180961,0.14180961
684990,23.510664,9,67.64154,2840,0.0038706227,0.0,104.125,0.9089673310518265,1455.5254476070404,522.7988942313524,0.1543336,0.1543336
687864,23.511168,9,68.47147,2849,0.0038981016,0.0,104.975,0.8574219793081284,1462.1629400253296,527.0352514064234,0.15037206,0.15037206
690900,23.510073,10,67.24669,2859,0.003939569,0.0,103.275,0.9094472005963326,1468.8484361171722,514.99122689619,0.14731598,0.14731598
694083,23.510027,10,67.25771,2869,0.0040896907,0.0,103.825,0.8645631968975067,1475.5073177814484,513.2404178439738,0.14766815,0.14766815
697281,23.510235,10,66.171455,2879,0.0042130863,0.0,104.55,0.8813643604516983,1482.132521867752,516.2953891502464,0.1479413,0.1479413
700215,23.508368,8,68.9951,2887,0.003985322,0.0,107.725,0.7965042591094971,1488.8182425498962,535.5012022417444,0.14093079,0.14093079
703245,23.50773,10,69.80737,2897,0.0037571148,0.0,108.275,0.8282835632562637,1495.4650211334229,536.7478987794617,0.1409269,0.1409269
706074,23.505632,9,73.260895,2906,0.004031919,0.0,108.925,0.8696892857551575,1502.0434336662292,550.8980160829333,0.1430636,0.1430636
708891,23.506575,9,73.872696,2915,0.0038315572,0.0,106.4,0.917748935520649,1508.6344003677368,544.3581933228579,0.14821541,0.14821541
711858,23.505129,9,74.26737,2924,0.0038090139,0.0,107.1,0.8579847514629364,1515.3123733997345,545.3471293042088,0.14271533,0.14271533
715170,23.505354,12,67.745224,2936,0.0040802187,0.0,101.3,0.8710590153932571,1521.9571285247803,511.9895564973896,0.15001547,0.15001547
718137,23.503923,9,67.48282,2945,0.004195546,0.0,103.25,0.8068751692771912,1528.5668947696686,519.7767438279345,0.17523757,0.17523757
721275,23.501387,10,67.47611,2955,0.003993267,0.0,103.2,0.8609933406114578,1535.2171428203583,516.0400949551631,0.14421913,0.14421913
724395,23.495363,10,65.99364,2965,0.01477674,0.0,101.825,0.8372505158185959,1541.858564376831,508.7982986363775,0.28228962,0.28228962
727425,23.49583,10,68.66299,2975,0.0042853463,0.0,104.2,0.8679923117160797,1548.566013097763,524.3279920389436,0.14481178,0.14481178
730098,23.498114,9,65.46706,2984,0.0039464203,0.0,101.85,0.8985356241464615,1555.2658216953278,510.0495679130607,0.14935796,0.14935796
732999,23.496904,9,67.10724,2993,0.0147641245,0.0,104.05,0.8970208615064621,1562.1703135967255,522.3954383297857,0.28320774,0.28320774
736203,23.497396,11,66.480225,3004,0.014259068,0.0,101.175,0.8728571832180023,1568.8427550792694,514.5896616883922,0.3039633,0.3039633
739245,23.490963,9,66.508514,3013,0.0038453587,0.0,103.725,0.8885252475738525,1575.422462463379,526.7050746162743,0.14101142,0.14101142
742218,23.494078,10,67.05253,3023,0.014983743,0.0,103.05,0.8955967053771019,1582.0132455825806,520.4992880502928,0.32009846,0.32009846
745467,23.495356,10,66.68672,3033,0.014247738,0.0,103.9,0.8389061987400055,1588.5748009681702,525.0869983927153,0.30648082,0.30648082
748749,23.49518,10,68.16429,3043,0.0037551606,0.0,106.25,0.8712702691555023,1595.177274465561,534.674171569028,0.14356484,0.14356484
751914,23.49333,10,67.947815,3053,0.0040625683,0.0,105.575,0.8699808716773987,1601.7507629394531,529.3265799012175,0.13581744,0.13581744
754830,23.493734,9,71.57904,3062,0.0037872512,0.0,107.85,0.9037349000573158,1608.4584865570068,539.9829906690209,0.1494066,0.1494066
757722,23.490726,10,69.53497,3072,0.0040606624,0.0,104.15,0.882739283144474,1615.0912458896637,520.5943966453724,0.16106915,0.16106915
760770,23.488993,10,67.4052,3082,0.004236454,0.0,102.975,0.8781838864088058,1621.8042900562286,513.1180954489545,0.15768756,0.15768756
764040,23.487814,10,69.0977,3092,0.003805796,0.0,103.55,0.8922572955489159,1628.5460758209229,519.5070957155209,0.14800352,0.14800352
767181,23.488691,9,71.31709,3101,0.0039134067,0.0,106.075,0.8728308230638504,1635.3044250011444,538.4741718768848,0.14969993,0.14969993
770145,23.488214,10,71.4171,3111,0.0038211094,0.0,106.1,0.9054443687200546,1642.0559167861938,538.2730597986387,0.15859613,0.15859613
773259,23.489191,10,71.68342,3121,0.003755759,0.0,106.775,0.8816366642713547,1648.7493567466736,540.9196795391011,0.13575245,0.13575245
776376,23.49056,11,69.422,3132,0.0043088486,0.0,102.8,0.9296270310878754,1655.4220950603485,522.5786512754373,0.15203169,0.15203169
779172,23.490252,10,65.44509,3142,0.0042337487,0.0,97.075,0.8704473674297333,1662.1271107196808,491.94615203039666,0.13956048,0.13956048
782217,23.489828,10,67.306854,3152,0.0037647476,0.0,98.925,0.8783326596021652,1668.7574996948242,499.79890170736815,0.14621198,0.14621198
785220,23.489336,10,67.76933,3162,0.0037901995,0.0,97.75,0.8486888259649277,1675.4325354099274,496.87006189584974,0.14062923,0.14062923
788073,23.486998,9,67.23043,3171,0.0041150916,0.0,100.625,0.9105247035622597,1682.095291376114,496.65690510312936,0.13939255,0.13939255
791052,23.484308,9,70.74067,3180,0.0039710393,0.0,104.75,0.8650231808423996,1688.8661336898804,519.1500655387254,0.14242461,0.14242461
794154,23.484556,10,67.63485,3190,0.0039556865,0.0,103.5,0.883908748626709,1695.6374549865723,512.1479035466596,0.14213654,0.14213654
797247,23.482359,11,69.33989,3201,0.0043163546,0.0,103.6,0.8681029826402664,1702.2900459766388,516.5910230066868,0.14844064,0.14844064
800256,23.48118,11,66.48364,3212,0.0039099907,0.0,99.325,0.8675063848495483,1708.8720388412476,500.34023369397835,0.13920271,0.13920271
803424,23.484213,10,63.576607,3222,0.0038628578,0.0,96.15,0.9123733788728714,1715.6701707839966,481.7983178727885,0.14516896,0.14516896
806451,23.485106,10,63.70807,3232,0.004139345,0.0,97.4,0.8791035041213036,1722.4237921237946,491.2608949057394,0.14716864,0.14716864
809472,23.484356,9,66.15321,3241,0.014853423,0.0,101.875,0.8924248442053795,1729.097918510437,511.22254258211194,0.32997108,0.32997108
812814,23.481195,11,69.15381,3252,0.014033114,0.0,104.65,0.885163739323616,1735.8419406414032,527.4260978002163,0.26179394,0.26179394
815892,23.482195,10,71.66023,3262,0.0040464136,0.0,103.9,0.8774739801883698,1742.5639469623566,527.4602346293782,0.15246396,0.15246396
818988,23.478254,11,68.07293,3273,0.0037981998,0.0,101.075,0.8781579285860062,1749.2190024852753,509.50714979431785,0.14566249,0.14566249
822156,23.476984,10,66.05216,3283,0.00397108,0.0,100.35,0.9032407179474831,1755.933284521103,504.2434522607749,0.14204516,0.14204516
825366,23.475824,11,62.582813,3294,0.004097221,0.0,98.4,0.8767395913600922,1762.6313574314117,495.95386050060523,0.14552058,0.14552058
828243,23.477459,9,61.34902,3303,0.005119917,0.0,100.275,0.8911661058664322,1769.3410234451294,506.50191745293193,0.18518978,0.18518978
831009,23.478743,9,64.05055,3312,0.0038329586,0.0,102.15,0.8502499461174011,1775.9444742202759,515.9292331063199,0.15574443,0.15574443
834114,23.479414,11,63.627308,3323,0.0038619642,0.0,99.65,0.9175089374184608,1782.6332890987396,501.2938141954877,0.14496699,0.14496699
837171,23.48045,10,65.34087,3333,0.0039938185,0.0,101.6,0.8914981186389923,1789.261169910431,513.7848881990515,0.1425783,0.1425783
840282,23.481771,9,66.81751,3342,0.0039046523,0.0,102.15,0.8607835024595261,1795.9752690792084,511.50383009543873,0.16811895,0.16811895
843375,23.481443,10,65.947,3352,0.004529994,0.0,103.05,0.83790522813797,1802.5968599319458,519.2770086957056,0.2209549,0.2209549
846327,23.486654,11,65.30285,3363,0.004344749,0.0,101.775,0.8899931460618973,1809.193127155304,514.4151825419082,0.14856449,0.14856449
849474,23.486982,8,69.133545,3371,0.004055001,0.0,108.425,0.874841496348381,1815.711201429367,546.5871735993303,0.14512047,0.14512047
852708,23.48755,9,70.55299,3380,0.0038550869,0.0,108.825,0.910177081823349,1822.3940827846527,549.487133750378,0.14830637,0.14830637
856047,23.484356,10,71.928635,3390,0.0043342183,0.0,111.275,0.8903793320059776,1829.0154483318329,567.96246734092,0.14876834,0.14876834
858966,23.483883,10,72.01807,3400,0.0039434703,0.0,111.725,0.9272819012403488,1835.6975510120392,569.0988577760902,0.14567757,0.14567757
862077,23.48299,10,69.30489,3410,0.004354885,0.0,108.075,0.8860911130905151,1842.4826188087463,550.8872857846783,0.15389341,0.15389341
864933,23.483707,9,67.50315,3419,0.00396786,0.0,105.075,0.9247282147407532,1849.0504682064056,535.9285086026341,0.16294488,0.16294488
867954,23.480734,9,67.42365,3428,0.004295534,0.0,104.575,0.8980149477720261,1855.6860172748566,530.9323571458865,0.16922168,0.16922168
871062,23.473898,10,68.90305,3438,0.014592618,0.0,105.775,0.8601129949092865,1862.328792333603,530.8806764110974,0.3214833,0.3214833
873921,23.472906,9,67.87198,3447,0.0042245975,0.0,106.35,0.8736946880817413,1868.9347910881042,531.3315980223854,0.16725188,0.16725188
876885,23.472921,10,68.41317,3457,0.003921052,0.0,105.225,0.8924510478973389,1875.5804417133331,531.3877311562286,0.15258592,0.15258592
880116,23.472591,10,69.440125,3467,0.0041556708,0.0,104.45,0.9001815393567085,1882.4956097602844,529.434629456091,0.15195274,0.15195274
883203,23.466879,9,68.38418,3476,0.014504839,0.0,105.425,0.9032713547348976,1889.1419594287872,541.1245240301357,0.28909144,0.28909144
