entloss,TimeElapsed,EpisodesSoFar,EpLenMean,ev_tdlam_before,EpRewMean,surrgain,TimestepsSoFar,EpThisIter,meankl,optimgain,EpTrueRewMean,entropy
0.0,7.205540657043457,45,23.5,0.4995202422142029,17.659428,0.20260108,3117,45,0.0066754236,0.20260108,110.09484666120265,24.12669
0.0,13.412468910217285,88,23.725,0.48819494247436523,16.214727,0.1516092,6156,43,0.006817134,0.1516092,111.32216515146472,24.144537
0.0,19.59964919090271,130,23.325,0.6064509153366089,13.204173,0.16476165,9198,42,0.0077368626,0.16476165,110.1530277111085,24.144548
0.0,25.94026231765747,167,28.025,0.45265597105026245,17.96816,0.15624592,12294,37,0.0068988,0.15624592,131.7672016411463,24.158201
0.0,32.27661371231079,203,28.225,0.3437068462371826,15.163742,0.1347439,15399,36,0.007431184,0.1347439,132.81455492569285,24.145998
0.0,38.57299184799194,236,30.1,0.33314424753189087,17.079567,0.15708697,18489,33,0.006824677,0.15708697,141.675179789003,24.117918
0.0,44.81653022766113,266,32.85,0.5055043697357178,19.844847,0.15168163,21618,30,0.0070025064,0.15168163,156.3604402105657,24.091818
0.0,51.118772983551025,293,38.425,0.43088966608047485,27.199207,0.16071531,24738,27,0.0070519047,0.16071531,183.10174861250897,24.063904
0.0,57.50284814834595,318,38.3,0.42984461784362793,28.829931,0.17665398,27738,25,0.007700522,0.17665398,185.79919093153427,24.050617
0.0,63.91536569595337,343,39.6,0.4171295762062073,25.696285,0.1574049,30738,25,0.007183732,0.1574049,189.81660240169447,24.040693
0.0,70.28297233581543,364,44.65,0.5773038566112518,29.966755,0.15906468,33822,21,0.0074923867,0.15906468,212.94960040250822,24.03176
0.0,76.77928757667542,385,47.575,0.4117884635925293,33.44559,0.15522328,36810,21,0.007504225,0.15522328,227.83158806702517,23.990541
0.0,83.20534777641296,407,47.175,0.5048481523990631,30.79591,0.2034607,39921,22,0.0082534645,0.2034607,228.73394012843863,23.973146
0.0,89.551344871521,427,49.225,0.598682314157486,29.29783,0.1612328,43035,20,0.008350587,0.1612328,239.4764782392637,23.935043
0.0,95.99617719650269,446,52.9,0.6212626397609711,29.866093,0.16823484,46074,19,0.00798015,0.16823484,261.04186037401655,23.919758
0.0,102.39062190055847,465,54.175,0.4249219298362732,30.603802,0.21261391,49212,19,0.007863572,0.21261391,271.2083648608931,23.910664
0.0,108.8102445602417,484,54.45,0.6572081446647644,34.33053,0.18308365,52251,19,0.008542857,0.18308365,271.0244406665546,23.905437
0.0,115.16941571235657,501,55.35,0.6405762434005737,34.452858,0.19561267,55380,17,0.008422306,0.19561267,272.14286558694,23.905268
0.0,121.58390736579895,520,56.925,0.6105654835700989,35.7374,0.17053935,58527,19,0.008459788,0.17053935,278.2357266774457,23.845953
0.0,127.9161639213562,536,58.8,0.6301541030406952,41.699944,0.20346344,61521,16,0.00865062,0.20346344,283.1508138371248,23.814682
0.0,134.31034517288208,552,60.9,0.6796477138996124,46.568504,0.19077073,64485,16,0.008538926,0.19077073,291.97259575455973,23.80593
0.0,140.76815629005432,568,61.125,0.7252181470394135,43.614582,0.17759514,67434,16,0.00867166,0.17759514,293.6922997614626,23.802507
0.0,147.1399405002594,584,61.675,0.7273854315280914,41.510933,0.1952105,70362,16,0.008753716,0.1952105,302.47761481204526,23.792303
0.0,153.65558123588562,600,62.9,0.6566135287284851,41.931255,0.1906367,73482,16,0.008959341,0.1906367,304.9980690590595,23.783712
0.0,160.1245837211609,616,65.6,0.6679698824882507,46.451874,0.18995653,76731,16,0.009820804,0.18995653,318.149144625395,23.760332
0.0,166.45450592041016,632,66.675,0.6691458821296692,49.06788,0.20153867,80010,16,0.009336265,0.20153867,323.67748454656214,23.745443
0.0,172.9837293624878,648,66.075,0.6503806114196777,48.46187,0.179402,83163,16,0.008977683,0.179402,319.6693530293528,23.770931
0.0,179.4176745414734,663,65.725,0.7494207322597504,45.236237,0.21050233,86187,15,0.009370055,0.21050233,316.92806631696914,23.752607
0.0,185.88129115104675,678,66.775,0.7804630249738693,45.742775,0.1923224,89250,15,0.009145643,0.1923224,322.2568049612665,23.735031
0.0,192.33971905708313,692,69.575,0.6972642242908478,45.666748,0.19986935,92217,14,0.009403776,0.19986935,332.3219376290441,23.724302
0.0,198.83987522125244,706,70.675,0.6944796144962311,48.059265,0.19050243,95292,14,0.009264819,0.19050243,338.1924481290001,23.717855
0.0,205.41212964057922,720,71.725,0.7438649535179138,48.92525,0.20758453,98298,14,0.009900578,0.20758453,343.17822126957964,23.694803
0.0,211.95186042785645,736,69.9,0.7339836359024048,46.93094,0.19728191,101523,16,0.009237637,0.19728191,336.61371276385444,23.703924
0.0,218.55583477020264,752,68.75,0.6831173598766327,42.24386,0.22939691,104646,16,0.009192098,0.22939691,330.6244753516436,23.705
0.0,225.03693747520447,767,67.3,0.7022598087787628,44.53074,0.21049875,107724,15,0.009300491,0.21049875,321.321077373848,23.691408
0.0,231.59387278556824,781,69.9,0.7010540068149567,45.13163,0.20263794,110853,14,0.010029668,0.20263794,330.74354064274394,23.668196
0.0,238.03773736953735,794,72.85,0.6159877479076385,53.97187,0.22794133,113772,13,0.0100955665,0.22794133,350.3547432839797,23.630453
0.0,244.45289254188538,809,74.55,0.7354373931884766,56.796673,0.22571653,117066,15,0.009822228,0.22571653,365.8655905176746,23.619307
0.0,251.03964686393738,824,72.075,0.8398579657077789,59.42159,0.22815779,120201,15,0.009537561,0.22815779,360.6926909233802,23.641294
0.0,257.5469448566437,837,72.575,0.7924688309431076,56.920483,0.21314406,123114,13,0.010632917,0.21314406,362.8521065758967,23.623295
0.0,264.00427436828613,850,75.85,0.7806380987167358,59.95407,0.21858831,126348,13,0.00948502,0.21858831,375.6575443577725,23.593767
0.0,270.4012792110443,865,74.55,0.7873322665691376,53.66793,0.2140207,129360,15,0.009396681,0.2140207,371.6435864481481,23.580975
0.0,276.982004404068,880,71.925,0.8199807107448578,47.827835,0.20161742,132507,15,0.010285589,0.20161742,360.504739859691,23.581766
0.0,283.41858315467834,895,69.525,0.7098342478275299,45.801125,0.3597479,135756,15,0.011734425,0.3597479,349.04397887663595,23.590021
