EpTrueRewMean,TimestepsSoFar,TimeElapsed,EpThisIter,ev_tdlam_before,optimgain,meankl,entropy,surrgain,EpisodesSoFar,EpLenMean,EpRewMean,entloss
2154.2354038304375,824766,1078.1523706912994,1,0.627923458814621,0.0972402,0.008543154,6.9071226,0.0972402,736,705.075,778.49963,0.0
2148.217588094948,827766,1084.4284646511078,1,0.04456514120101929,0.09213363,0.0095186215,6.9273057,0.09213363,737,705.075,777.13306,0.0
2114.6710784431643,831384,1090.744392633438,2,0.8741685897111893,0.112048596,0.0096674375,6.9357257,0.112048596,739,692.65,764.5604,0.0
2115.520028807123,834384,1097.0942571163177,1,0.014162898063659668,0.0823809,0.010258827,6.9128585,0.0823809,740,695.625,766.6679,0.0
2144.291509905073,836583,1103.4150955677032,1,0.8348838686943054,0.09823398,0.008845634,6.905317,0.09823398,741,703.375,776.6843,0.0
2105.391363200331,838254,1109.791302204132,1,0.8872266411781311,0.11644954,0.010705256,6.88753,0.11644954,742,692.3,762.5791,0.0
2145.00140517248,841254,1116.103779554367,1,-0.13781487941741943,0.106200464,0.0107252095,6.901353,0.106200464,743,705.7,775.00134,0.0
2107.116626695694,844137,1122.435861825943,2,0.8347139805555344,0.13691536,0.009782808,6.951657,0.13691536,745,692.6,760.73987,0.0
2072.190401484364,845805,1128.7672214508057,1,0.8141043037176132,0.09945371,0.009973453,6.9647865,0.09945371,746,681.5,747.8468,0.0
2066.3515301012953,848805,1135.0269584655762,1,-0.0018553733825683594,0.0744742,0.009508615,6.9516773,0.0744742,747,681.5,747.0589,0.0
2021.915810109455,849954,1141.2574248313904,1,0.775530681014061,0.13317311,0.009986075,6.960445,0.13317311,748,670.15,732.2748,0.0
2080.3536582065685,854679,1147.4304196834564,2,0.7329747080802917,0.113904946,0.008865099,6.947706,0.113904946,750,690.575,751.8967,0.0
2121.954901890117,857205,1153.6047253608704,1,0.8679684102535248,0.113402,0.009735029,6.9568043,0.113402,751,702.575,765.2307,0.0
2119.6479162037244,858840,1159.7994532585144,1,0.8864532113075256,0.14249787,0.009148302,7.0111737,0.14249787,752,703.4,763.9283,0.0
2104.287853435731,862170,1166.0562307834625,2,0.7291150093078613,0.12731463,0.0102162305,7.04102,0.12731463,754,698.6,756.9789,0.0
2106.307704853099,863979,1172.294084072113,1,0.8359631299972534,0.09472491,0.0103070475,7.0415177,0.09472491,755,699.95,758.1434,0.0
2157.3969985980634,866979,1178.520733833313,1,0.0014257431030273438,0.080670804,0.009840379,7.066389,0.080670804,756,716.55,776.31036,0.0
2200.7192133756703,869979,1184.8166851997375,1,0.5275822877883911,0.1023833,0.009099479,7.0802617,0.1023833,757,732.175,792.8349,0.0
2279.8444876174035,874158,1191.1668257713318,2,0.6381492614746094,0.08519484,0.00907501,7.0933704,0.08519484,759,754.35,819.21466,0.0
2304.198137649407,876792,1197.5104541778564,1,0.8685605823993683,0.11312509,0.0089744255,7.0835433,0.11312509,760,763.6,825.25116,0.0
2266.3759051379698,880368,1203.9388601779938,2,0.4136117696762085,0.10069254,0.009953182,7.1136003,0.10069254,762,750.275,810.73047,0.0
2250.685426511713,883368,1210.282467842102,1,-0.13078808784484863,0.08192746,0.008702982,7.1047845,0.08192746,763,750.275,805.8693,0.0
2246.668101105357,886368,1216.6053256988525,1,0.42833107709884644,0.102847904,0.009054125,7.085099,0.102847904,764,750.275,803.6139,0.0
2149.478380357219,890139,1222.955001115799,3,0.8565324395895004,0.10207879,0.009550421,7.0665765,0.10207879,767,722.25,771.19354,0.0
2173.363407376501,893079,1229.2512414455414,1,0.9328725636005402,0.098716244,0.00900938,7.0582714,0.098716244,768,728.275,777.29755,0.0
2223.021741873808,896079,1235.584058046341,1,0.25467950105667114,0.09999563,0.010049935,7.0482306,0.09999563,769,741.075,791.4344,0.0
2150.997078466998,899412,1241.9263751506805,2,0.8851417824625969,0.10477473,0.009561162,7.0347767,0.10477473,771,718.85,769.2201,0.0
2150.918540880627,902412,1248.2647793293,1,-0.022487759590148926,0.1086895,0.009878721,7.0420094,0.1086895,772,718.85,770.2103,0.0
2123.292480108554,905250,1254.5643026828766,2,0.900170773267746,0.13626479,0.009649932,7.0504317,0.13626479,774,710.725,760.8541,0.0
1996.0774837962836,908415,1260.9414155483246,3,0.8997375518083572,0.11025205,0.010860823,7.0384383,0.11025205,777,672.075,720.10803,0.0
1916.352652094832,911724,1267.3205099105835,3,0.947543028742075,0.109927475,0.008730084,7.028566,0.109927475,780,644.5,691.4917,0.0
1924.2376032851967,914724,1273.9854707717896,1,0.04620414972305298,0.06816832,0.010011908,7.0488853,0.06816832,781,651.175,695.70764,0.0
1929.1520883106127,919368,1280.347853899002,2,0.5847511291503906,0.102533124,0.009469617,7.02577,0.102533124,783,650.95,699.5138,0.0
1916.591178674814,923673,1286.7514243125916,3,0.7617864608764648,0.121193446,0.009828321,7.0164022,0.121193446,786,648.9,693.2815,0.0
1912.8179441462896,926361,1293.1562850475311,1,0.9378993585705757,0.10986222,0.009321088,6.997698,0.10986222,787,646.3,691.35767,0.0
1965.0598572613737,929361,1299.5366868972778,1,-0.06287848949432373,0.1454001,0.010720935,6.9985957,0.1454001,788,661.725,708.35645,0.0
1964.048086663468,932361,1305.9259903430939,1,0.020785093307495117,0.08205971,0.009321591,6.9798007,0.08205971,789,664.65,710.67914,0.0
1968.0771172741922,934737,1312.279682636261,1,0.9384335912764072,0.14255665,0.011574386,6.9353466,0.14255665,790,667.15,711.4885,0.0
1973.9892319507883,937737,1318.7121150493622,1,0.033822834491729736,0.091955855,0.008452454,6.910465,0.091955855,791,671.1,714.3835,0.0
1958.0481063320137,941550,1325.1241047382355,2,0.8403220623731613,0.11523059,0.010451229,6.8924556,0.11523059,793,665.625,709.39874,0.0
2008.0847809702736,943689,1331.510684967041,1,0.881900392472744,0.12666813,0.010341443,6.8978286,0.12666813,794,679.325,725.18274,0.0
2045.336627132161,946689,1337.9215352535248,1,-0.10789883136749268,0.11106577,0.010418812,6.8902755,0.11106577,795,689.25,736.0368,0.0
2007.1864010816316,951018,1344.2808673381805,2,0.6778165698051453,0.10490471,0.010245929,6.8735785,0.10490471,797,675.325,720.0619,0.0
2000.4302845658967,954018,1350.6542603969574,1,0.3787177801132202,0.096376285,0.011643818,6.87758,0.096376285,798,675.325,716.78644,0.0
2054.703750642982,957018,1357.0196855068207,1,0.7349593341350555,0.10440012,0.009533322,6.867184,0.10440012,799,690.5,735.6569,0.0
2059.913825493296,963018,1363.3654024600983,2,-0.018596649169921875,0.08658537,0.009903141,6.8633986,0.08658537,801,693.55,740.056,0.0
2067.098209118637,966093,1369.7390985488892,2,0.8327744901180267,0.11257659,0.010116143,6.855543,0.11257659,803,689.375,740.54913,0.0
2077.6238892261235,971352,1376.1341950893402,3,0.6956642866134644,0.089969665,0.009416468,6.841566,0.089969665,806,689.825,744.40515,0.0
