EpThisIter,EpLenMean,EpTrueRewMean,TimeElapsed,optimgain,entropy,entloss,surrgain,meankl,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar,EpRewMean
6,195.675,195.675,196.6999089717865,0.011265572,0.5346329,0.0,0.011265572,0.007719645,0.07988446950912476,41984,333,150.21098
5,195.675,195.675,200.82127737998962,0.0078573655,0.5417974,0.0,0.0078573655,0.0032012553,-0.002082228660583496,42984,338,153.2847
5,195.675,195.675,205.595201253891,0.005589425,0.5685301,0.0,0.005589425,0.007429821,0.07652395963668823,43984,343,155.44534
5,197.55,197.55,210.249192237854,0.0057741986,0.5638014,0.0,0.0057741986,0.0075083063,0.34136903285980225,44984,348,155.12408
6,191.9,191.9,214.63042783737183,0.0077623045,0.55330616,0.0,0.0077623045,0.0041761217,-0.0033475160598754883,45944,354,145.51846
6,187.2,187.2,219.12123703956604,0.009766015,0.52806354,0.0,0.009766015,0.005895092,-0.0034455060958862305,46932,360,136.05295
6,184.15,184.15,223.57382011413574,0.013215471,0.53381145,0.0,0.013215471,0.004751448,-0.003531813621520996,47975,366,126.91681
7,178.45,178.45,228.34803342819214,0.0076953815,0.52515423,0.0,0.0076953815,0.0062690703,-0.002245306968688965,49122,373,116.91084
5,176.4,176.4,232.7985019683838,0.0070388378,0.54456156,0.0,0.0070388378,0.0056634336,-0.001386880874633789,50040,378,114.2643
6,175.0,175.0,237.86615872383118,0.011163123,0.57658595,0.0,0.011163123,0.009467294,-0.00044167041778564453,51184,384,111.40845
5,175.025,175.025,242.109388589859,0.015939135,0.54083997,0.0,0.015939135,0.006179995,-0.0009781122207641602,52132,389,110.716
5,178.2,178.2,246.46370196342468,0.011486888,0.5330367,0.0,0.011486888,0.0053561665,-0.00041794776916503906,53072,394,111.85158
6,183.5,183.5,251.1179587841034,0.016888428,0.51334035,0.0,0.016888428,0.008154346,-0.0007314682006835938,54272,400,114.86296
5,186.25,186.25,255.6353211402893,0.011362175,0.5177236,0.0,0.011362175,0.007077329,-0.0004731416702270508,55265,405,117.26616
5,190.625,190.625,259.65977716445923,0.00631518,0.55634636,0.0,0.00631518,0.0065950453,-0.00027060508728027344,56265,410,121.283104
5,194.65,194.65,263.9376060962677,0.012994845,0.5143635,0.0,0.012994845,0.0058661196,-0.0011829137802124023,57265,415,126.1141
5,196.725,196.725,268.5105390548706,0.011586167,0.53493524,0.0,0.011586167,0.009159143,-0.0005201101303100586,58265,420,129.382
5,197.025,197.025,273.1823410987854,0.004924479,0.52102005,0.0,0.004924479,0.005773922,-0.00043451786041259766,59265,425,133.41699
5,198.475,198.475,277.83651423454285,0.006221507,0.50771,0.0,0.006221507,0.0062087285,-0.00026679039001464844,60265,430,136.12909
5,199.825,199.825,282.7160654067993,0.019511681,0.54028386,0.0,0.019511681,0.010295702,0.09248584508895874,61265,435,136.60144
5,199.825,199.825,287.2953097820282,0.015572676,0.52145,0.0,0.015572676,0.007351838,-0.0011366605758666992,62265,440,135.4551
6,200.0,200.0,292.135374546051,0.006890295,0.54757464,0.0,0.006890295,0.0046012844,0.19554954767227173,63465,446,131.3407
5,197.7,197.7,297.59405517578125,0.0102308635,0.5159524,0.0,0.0102308635,0.008255333,0.2401612401008606,64373,451,127.385826
5,197.7,197.7,302.26551723480225,0.014940072,0.5488932,0.0,0.014940072,0.009639429,-0.008237957954406738,65373,456,122.16536
5,197.7,197.7,306.9541645050049,0.010172446,0.5392773,0.0,0.010172446,0.007021179,-0.004215836524963379,66373,461,118.215866
6,197.275,197.275,311.703088760376,0.0064653363,0.515973,0.0,0.0064653363,0.005358478,0.6474836766719818,67556,467,112.07564
5,197.275,197.275,316.2954466342926,0.017937088,0.5069938,0.0,0.017937088,0.0059909993,0.8127989172935486,68556,472,106.5812
5,197.275,197.275,320.0838768482208,0.016346477,0.54461056,0.0,0.016346477,0.005789284,0.8004403710365295,69556,477,105.431175
5,197.275,197.275,325.1257905960083,0.008265524,0.539281,0.0,0.008265524,0.0075104153,0.4427987337112427,70556,482,106.99556
5,195.8,195.8,329.12123799324036,0.008579644,0.5583815,0.0,0.008579644,0.008640396,0.44493353366851807,71497,487,110.40615
6,197.9,197.9,333.56551003456116,0.010523666,0.5721365,0.0,0.010523666,0.008504942,0.6298795640468597,72689,493,115.732445
5,197.9,197.9,338.88013458251953,0.006977598,0.5590211,0.0,0.006977598,0.0070370673,0.7247987389564514,73689,498,122.38971
6,192.95,192.95,343.91872119903564,0.011855826,0.5156079,0.0,0.011855826,0.0058882395,0.4505223035812378,74674,504,118.99282
5,192.95,192.95,348.58777141571045,0.0066948705,0.5512483,0.0,0.0066948705,0.0065670675,0.8767386972904205,75674,509,126.80205
5,192.775,192.775,352.9608407020569,0.009583756,0.54929936,0.0,0.009583756,0.004803985,0.8038792908191681,76667,514,131.19461
5,192.775,192.775,357.0244994163513,0.008811373,0.54318845,0.0,0.008811373,0.007623219,0.7630063146352768,77667,519,134.03056
5,193.675,193.675,361.65734791755676,0.0154872555,0.562937,0.0,0.0154872555,0.008320434,0.693990170955658,78667,524,134.44733
6,191.75,191.75,366.7046654224396,0.0075577055,0.5176655,0.0,0.0075577055,0.0072742472,0.813292846083641,79759,530,131.55751
5,191.75,191.75,371.241329908371,0.011605384,0.52420795,0.0,0.011605384,0.0065767225,0.6778556108474731,80759,535,130.2886
5,191.75,191.75,376.37766122817993,0.0048090136,0.54185283,0.0,0.0048090136,0.005786322,0.6233124136924744,81759,540,128.33354
5,197.125,197.125,381.3760883808136,0.024696851,0.53637856,0.0,0.024696851,0.007924421,0.8501660525798798,82759,545,130.67575
6,197.125,197.125,386.0350799560547,0.014915787,0.52943563,0.0,0.014915787,0.00815003,0.5452187061309814,83959,551,126.67739
5,197.3,197.3,391.0091257095337,0.009965481,0.5470704,0.0,0.009965481,0.0079955235,0.5303617119789124,84959,556,123.07558
5,197.3,197.3,395.5306854248047,0.011424603,0.56692123,0.0,0.011424603,0.009419252,0.46829962730407715,85959,561,119.00838
6,193.675,193.675,400.07794213294983,0.0076213367,0.50312793,0.0,0.0076213367,0.0046299556,0.26278650760650635,87014,567,112.46399
5,196.375,196.375,405.2407205104828,0.011091175,0.54511905,0.0,0.011091175,0.009555573,0.5008447170257568,88014,572,108.73186
5,196.375,196.375,409.8358824253082,0.010232752,0.5498899,0.0,0.010232752,0.009634575,0.7081032991409302,89014,577,103.05139
5,196.375,196.375,414.5123403072357,0.0038101533,0.49307513,0.0,0.0038101533,0.0057887114,0.11305755376815796,90014,582,97.22992
5,196.375,196.375,418.7716131210327,0.009197193,0.57627815,0.0,0.009197193,0.009684009,-0.19614779949188232,91014,587,90.37537
5,196.375,196.375,423.48567485809326,0.010703104,0.57515067,0.0,0.010703104,0.00770125,0.07045453786849976,92014,592,83.74974
6,194.15,194.15,427.82730412483215,0.013304872,0.51557744,0.0,0.013304872,0.00784889,-0.028380632400512695,93125,598,76.6758
6,192.375,192.375,432.61519289016724,0.004917129,0.5205767,0.0,0.004917129,0.0049159415,-0.10135722160339355,94183,604,70.25155
5,194.225,194.225,437.4224603176117,0.007950681,0.5508485,0.0,0.007950681,0.005662189,-0.18918097019195557,95183,609,66.71763
5,194.225,194.225,441.8173897266388,0.0087274425,0.5419816,0.0,0.0087274425,0.0052931,-0.17932367324829102,96183,614,62.001904
5,194.225,194.225,445.79713129997253,0.0042832727,0.5513316,0.0,0.0042832727,0.007957966,-0.12048280239105225,97183,619,58.00193
7,186.625,186.625,450.5217933654785,0.010677511,0.48529252,0.0,0.010677511,0.0062637366,-0.026007771492004395,98279,626,53.09151
5,186.625,186.625,455.3265552520752,0.0048574335,0.5380213,0.0,0.0048574335,0.006822412,0.0148162841796875,99279,631,50.98689
5,188.85,188.85,460.36193799972534,0.0064456817,0.48794353,0.0,0.0064456817,0.0056629675,-0.013375639915466309,100279,636,50.278027
5,188.85,188.85,465.0803813934326,0.0030069533,0.49674034,0.0,0.0030069533,0.008308916,0.0419498085975647,101279,641,49.26052
5,192.4,192.4,469.2260949611664,0.004769873,0.49578172,0.0,0.004769873,0.0040917136,0.17650586366653442,102279,646,48.490124
5,192.4,192.4,474.8887369632721,0.0067861993,0.5287439,0.0,0.0067861993,0.008368528,0.2672770023345947,103279,651,48.2328
5,192.4,192.4,479.6612684726715,0.009287433,0.51192486,0.0,0.009287433,0.0078043165,0.23301678895950317,104279,656,48.15017
5,193.475,193.475,484.63074588775635,0.0070668976,0.51243716,0.0,0.0070668976,0.008046569,0.14151394367218018,105279,661,48.582005
6,200.0,200.0,489.5987732410431,0.0077930163,0.5262602,0.0,0.0077930163,0.0077623487,-0.06937170028686523,106479,667,51.325665
5,200.0,200.0,494.46626591682434,0.009662161,0.51679194,0.0,0.009662161,0.007863669,-0.1473010778427124,107479,672,53.172962
5,200.0,200.0,499.3124327659607,0.0069977995,0.54399204,0.0,0.0069977995,0.007411373,0.12078303098678589,108479,677,55.55193
5,200.0,200.0,504.4104652404785,0.008772068,0.56904984,0.0,0.008772068,0.007980397,0.5512692034244537,109479,682,61.180195
5,200.0,200.0,509.6513407230377,0.0070157233,0.5708181,0.0,0.0070157233,0.0064977915,0.26353269815444946,110479,687,64.17334
10,176.7,176.7,514.7444727420807,0.018367767,0.47406074,0.0,0.018367767,0.007936541,0.2400164008140564,111547,697,62.815857
5,174.35,174.35,519.6785430908203,0.0046158056,0.48224214,0.0,0.0046158056,0.0061555486,0.1614060401916504,112453,702,64.84119
6,172.5,172.5,524.6856775283813,0.0054537524,0.51055557,0.0,0.0054537524,0.008055129,0.34971117973327637,113579,708,65.77035
5,172.5,172.5,528.4129230976105,0.011650313,0.51941776,0.0,0.011650313,0.008172641,0.13087159395217896,114579,713,67.161545
5,172.5,172.5,533.8786437511444,0.004885539,0.5433104,0.0,0.004885539,0.010671507,0.4966557025909424,115579,718,66.709015
5,172.5,172.5,538.9034316539764,0.008946957,0.5268624,0.0,0.008946957,0.0064203916,0.5758331418037415,116579,723,65.53941
