EpRewMean,surrgain,ev_tdlam_before,EpThisIter,EpisodesSoFar,optimgain,EpLenMean,EpTrueRewMean,entloss,TimeElapsed,meankl,TimestepsSoFar,entropy
191.68196,0.11363141,-0.48888564109802246,1,902,0.11363141,703.825,2241.5295731053366,0.0,7411.6360058784485,0.011306031,907053,6.476758
190.99896,0.12238959,0.8900215774774551,2,904,0.12238959,701.575,2213.989586156369,0.0,7436.450013399124,0.011111354,911298,6.4715586
186.40134,0.10064964,0.5900518298149109,2,906,0.10064964,686.1,2152.8520582874276,0.0,7462.9888162612915,0.010713876,913173,6.482426
181.73193,0.12458116,0.8490474671125412,2,908,0.12458116,669.525,2089.9033158524935,0.0,7488.011077404022,0.0105721345,916677,6.419166
181.72206,0.11229981,0.542383223772049,2,910,0.11229981,665.9,2080.8666948572077,0.0,7513.103113412857,0.010519976,921372,6.382847
187.45761,0.08134892,-0.08852386474609375,1,911,0.08134892,684.9,2148.386761713422,0.0,7538.547520637512,0.009157038,924372,6.387762
188.63849,0.104914695,0.7320224642753601,2,913,0.104914695,689.925,2161.102355108723,0.0,7564.837300777435,0.011975914,929388,6.409608
187.49228,0.14306271,0.9179983139038086,1,914,0.14306271,682.825,2143.7983494935193,0.0,7589.881495952606,0.010363861,931536,6.4154024
187.21994,0.14709145,0.7443537712097168,1,915,0.14709145,681.575,2137.8700002323103,0.0,7615.307209253311,0.011014731,933120,6.4314985
190.86212,0.1187759,0.819288045167923,1,916,0.1187759,697.75,2197.2909112162456,0.0,7640.490926742554,0.011609876,936069,6.4478416
195.23396,0.08220707,0.12851881980895996,1,917,0.08220707,714.575,2250.277153639359,0.0,7666.2809715271,0.010708725,939069,6.4299765
195.5713,0.105354294,-0.13320624828338623,1,918,0.105354294,714.575,2250.0966890128534,0.0,7692.200284481049,0.010241818,942069,6.421696
194.41374,0.09628238,0.16480153799057007,1,919,0.09628238,714.575,2248.628300909961,0.0,7717.32404255867,0.010099272,945069,6.4229856
