TimeElapsed,surrgain,EpLenMean,EpTrueRewMean,entloss,EpThisIter,meankl,optimgain,entropy,EpRewMean,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before
6.14392352104187,0.06144187,20.375,-2.0967255182795403,0.0,50,0.008031875,0.06144187,8.484997,14.945692,1026,50,0.4144417643547058
10.685520648956299,0.061420795,30.425,2.239511233814333,0.0,30,0.007569014,0.061420795,8.450072,22.05714,2057,80,0.5367512404918671
14.987377166748047,0.06376589,42.2,1.811873923460888,0.0,18,0.007198286,0.06376589,8.3920355,31.48261,3042,98,0.4602552056312561
19.206112146377563,0.06331005,59.025,-1.7679062654127418,0.0,13,0.006222601,0.06331005,8.345715,43.993813,4145,111,0.8644377440214157
23.479358196258545,0.06327511,73.4,-0.4976793217775599,0.0,12,0.006402533,0.06327511,8.353275,54.61018,5208,123,0.765663281083107
27.71174383163452,0.071263105,92.8,11.284654500968983,0.0,6,0.006275736,0.071263105,8.339219,68.97363,6213,129,0.7627673447132111
32.01018571853638,0.06343632,109.975,13.790142248777249,0.0,8,0.006405512,0.06343632,8.308536,81.88222,7290,137,0.8733197301626205
36.71224093437195,0.06439749,120.425,24.501743667500868,0.0,7,0.00693815,0.06439749,8.32918,89.45145,8368,144,0.8596697598695755
41.03132247924805,0.069751725,133.725,38.58713661512942,0.0,4,0.006949342,0.069751725,8.317138,99.081924,9249,148,0.8362392634153366
45.28121089935303,0.0620952,147.35,58.22662747444714,0.0,5,0.005850146,0.0620952,8.310258,109.626114,10222,153,0.8746716678142548
49.55530571937561,0.058102787,163.175,77.09219761351105,0.0,4,0.0057048975,0.058102787,8.342162,121.765724,11113,157,0.9034784212708473
53.84749102592468,0.05601474,181.875,103.54051092446227,0.0,5,0.0057964707,0.05601474,8.302123,136.55681,12440,162,0.9193295389413834
58.12836790084839,0.06165813,191.825,132.91777419054003,0.0,5,0.006343266,0.06165813,8.244991,144.74792,13470,167,0.9433244727551937
62.40006065368652,0.05957444,200.3,147.79083469768779,0.0,4,0.0063601164,0.05957444,8.205921,151.88634,14407,171,0.913915827870369
66.68990063667297,0.057319697,211.475,191.8818456307106,0.0,5,0.0063285166,0.057319697,8.209396,161.02937,15566,176,0.9318283051252365
70.94879293441772,0.065278485,227.375,228.87855802270695,0.0,4,0.006770188,0.065278485,8.267686,174.0898,16674,180,0.9459568001329899
75.24451494216919,0.062203642,234.925,237.7609654973136,0.0,4,0.006338645,0.062203642,8.332465,179.6943,17765,184,0.883822962641716
79.56016039848328,0.05884832,233.425,247.31743486543036,0.0,5,0.005862001,0.05884832,8.273981,179.0917,18763,189,0.914891816675663
83.82771110534668,0.065033525,239.9,258.7252631752987,0.0,3,0.006064439,0.065033525,8.244615,183.17188,19688,192,0.9010300114750862
88.09130859375,0.059129037,249.825,263.123713822813,0.0,4,0.006522777,0.059129037,8.183424,190.10156,20847,196,0.9116430059075356
92.41211438179016,0.064511724,257.7,282.1780055341587,0.0,2,0.0063977917,0.064511724,8.145019,196.23738,21941,198,0.9452764391899109
96.70076036453247,0.05899193,276.725,310.83288865461606,0.0,3,0.006315085,0.05899193,8.144885,210.84099,23337,201,0.9376574829220772
100.94381189346313,0.07275011,283.325,320.6115751842241,0.0,3,0.006188209,0.07275011,8.200314,215.68428,24102,204,0.9569186270236969
105.16920924186707,0.067198925,298.175,338.60045393513855,0.0,2,0.006735909,0.067198925,8.163622,226.23694,25142,206,0.9523779712617397
109.40783739089966,0.0703584,320.1,353.5312084243361,0.0,2,0.0066622756,0.0703584,8.16724,240.47798,26433,208,0.877384826540947
113.61530494689941,0.044881836,337.275,363.3623144062299,0.0,1,0.007883299,0.044881836,8.190844,251.1049,27433,209,-0.04498767852783203
117.8131971359253,0.063095,354.675,374.4832070168838,0.0,1,0.0077396203,0.063095,8.204542,261.28796,28433,210,0.3951948881149292
121.97510838508606,0.06483957,375.65,393.43670438164816,0.0,2,0.0059826677,0.06483957,8.17371,273.2604,29738,212,0.5411833822727203
126.18794441223145,0.06857784,399.95,417.3563490270227,0.0,2,0.006226696,0.06857784,8.148056,287.32532,31194,214,0.903748594224453
130.40658140182495,0.0522938,420.675,431.94773464514975,0.0,1,0.00711851,0.0522938,8.145323,298.5564,32194,215,-0.03466629981994629
134.62986040115356,0.0569264,439.1,441.50015959341926,0.0,1,0.0064241085,0.0569264,8.15343,307.35703,33130,216,0.8464883267879486
138.86298990249634,0.058743216,466.7,457.8035125239179,0.0,2,0.0066582253,0.058743216,8.137192,319.72125,34559,218,0.6507915556430817
143.06950616836548,0.051061206,484.65,468.3407291517822,0.0,1,0.0075454665,0.051061206,8.114914,326.6591,35559,219,0.07162070274353027
147.2770426273346,0.048616223,497.125,477.4197431586691,0.0,1,0.0069020865,0.048616223,8.133546,328.8825,36559,220,-0.14242899417877197
151.52147912979126,0.09766872,511.475,502.16530724049227,0.0,1,0.006153074,0.09766872,8.131847,336.3351,37399,221,0.8709145337343216
155.81391310691833,0.068537466,523.85,517.3239259976797,0.0,2,0.0068502873,0.068537466,8.121885,335.7894,38570,223,0.4508984684944153
160.095032453537,0.06604305,545.125,535.8573055714367,0.0,1,0.007520411,0.06604305,8.106449,344.57126,39570,224,0.559505045413971
