entloss,EpTrueRewMean,surrgain,EpRewMean,optimgain,EpisodesSoFar,meankl,TimeElapsed,TimestepsSoFar,EpThisIter,EpLenMean,entropy,ev_tdlam_before
0.0,27.035615188919255,0.04179849,39.406662,0.04179849,36,0.007809572,5.304407358169556,3084,36,28.555555555555557,4.187827,0.149300217628479
0.0,49.27535827229208,0.040495228,60.727215,0.040495228,49,0.006510645,9.658066272735596,6105,13,44.55,4.1320806,0.14010047912597656
0.0,79.01882174598957,0.04305776,89.29818,0.04305776,56,0.0051590065,13.934026718139648,9396,7,66.85,4.1182475,0.39987993240356445
0.0,111.14634080100487,0.039140362,115.682495,0.039140362,63,0.005789968,18.1364688873291,12693,7,88.9,4.0972905,0.7002124786376953
0.0,140.73459856705855,0.04927253,142.22554,0.04927253,67,0.0055372706,22.31806230545044,15714,4,110.825,4.07444,0.7069787383079529
0.0,171.03508400850077,0.03855947,170.1897,0.03855947,68,0.0055405926,26.51691460609436,18714,1,135.15,4.075554,-0.4952455759048462
0.0,195.1320424063287,0.048380863,193.41252,0.048380863,70,0.0069077853,30.722344160079956,21420,2,156.55,4.1310368,0.10851633548736572
0.0,213.17018624019988,0.049121656,210.57014,0.049121656,71,0.0054358607,34.93641233444214,23511,1,173.45,4.083779,0.28437066078186035
0.0,234.59096534098973,0.03800666,231.1722,0.03800666,72,0.005725603,39.21104598045349,25953,1,193.45,4.0777903,0.025057077407836914
0.0,269.8917526966387,0.04016128,264.7325,0.04016128,74,0.005478516,43.445327281951904,30129,2,227.5,4.084258,0.21588927507400513
0.0,283.615955096427,0.042300887,275.95468,0.042300887,75,0.0059251795,47.623860359191895,31593,1,239.1,4.0780025,0.6113512814044952
0.0,308.55375424258773,0.034524918,297.9225,0.034524918,76,0.006061785,51.87235736846924,34593,1,262.575,4.056275,-0.13868319988250732
0.0,331.75319410873664,0.04216872,318.94403,0.04216872,78,0.0064382767,56.1625862121582,38004,2,287.1,4.0643606,0.21601372957229614
0.0,349.54817303274905,0.06040292,331.83395,0.06040292,79,0.0061905137,60.40944957733154,39957,1,301.15,4.0484614,0.8563382774591446
0.0,368.967750972468,0.027007451,348.549,0.027007451,80,0.0056954683,64.61269783973694,42957,1,322.6,4.0992656,-0.07355296611785889
0.0,388.63385739748793,0.044932734,363.41843,0.044932734,81,0.0049197106,68.84974527359009,45615,1,341.75,4.1291575,0.7959770560264587
0.0,434.91225520186856,0.034259725,401.20508,0.034259725,83,0.005981857,73.13383460044861,51615,2,388.475,4.1337614,0.00882178544998169
0.0,459.7011691975966,0.03362105,421.01337,0.03362105,84,0.00529,77.33437442779541,54615,1,412.9,4.0670238,-0.011985301971435547
0.0,482.43709679204915,0.041392695,439.5502,0.041392695,85,0.008176262,81.45307064056396,57615,1,436.575,4.103782,-0.021056532859802246
0.0,496.3761726570427,0.046669424,450.93756,0.046669424,86,0.006916618,85.69314312934875,59496,1,451.475,4.140715,0.6052483916282654
0.0,519.3428116560942,0.043624066,468.95026,0.043624066,87,0.0064786477,89.86450362205505,62496,1,474.65,4.169306,-0.09647905826568604
0.0,542.1673422684846,0.026865236,483.70752,0.026865236,88,0.0048231212,94.07816052436829,65496,1,495.6,4.229372,0.0008532404899597168
0.0,550.8085023702348,0.058983132,490.84277,0.058983132,89,0.0069814767,98.30586576461792,66717,1,505.1,4.2107005,0.8001586198806763
0.0,569.1382864023315,0.042941146,504.35968,0.042941146,90,0.005189981,102.60943222045898,69717,1,525.775,4.2347183,-0.06563079357147217
0.0,588.2050822630948,0.028921597,519.9221,0.028921597,91,0.0058883354,106.93356156349182,72717,1,547.95,4.278292,-0.02193152904510498
0.0,606.3191014329874,0.032938913,532.64404,0.032938913,92,0.005282861,111.22831797599792,75717,1,568.15,4.27853,-0.02460324764251709
0.0,627.6188022496647,0.032838732,548.6516,0.032838732,93,0.00678814,115.50705027580261,78717,1,590.9,4.276971,-0.017957448959350586
0.0,649.2434965682626,0.034970008,564.9463,0.034970008,94,0.0055148625,119.82845711708069,81717,1,613.625,4.2577186,-0.017117857933044434
0.0,666.6067763082956,0.046069413,575.14716,0.046069413,95,0.007048956,124.12798619270325,84717,1,632.05,4.2077403,0.5428661406040192
0.0,687.6708219749946,0.02848978,588.0368,0.02848978,96,0.0077422475,128.467524766922,87717,1,652.675,4.164064,-0.014895796775817871
0.0,704.4718962677449,0.023031197,599.21106,0.023031197,97,0.0068102893,132.7903769016266,90717,1,671.725,4.133888,0.005826592445373535
0.0,723.5986098626352,0.027428025,613.74475,0.027428025,98,0.006404785,137.0428991317749,93717,1,693.425,4.1334214,0.011813998222351074
0.0,739.5802358145378,0.0441591,624.4622,0.0441591,99,0.0061940756,141.32736825942993,96717,1,711.5,4.110174,-0.07341384887695312
0.0,760.7653563472215,0.028480802,641.2306,0.028480802,100,0.006277162,145.5678288936615,99717,1,735.0,4.04989,-0.05140101909637451
0.0,776.4409524578863,0.038339272,653.66864,0.038339272,101,0.0066942507,149.77513194084167,102717,1,754.775,4.070526,0.015063643455505371
0.0,797.3537956393584,0.037502557,670.504,0.037502557,102,0.0073514413,153.95857095718384,105717,1,778.175,4.0471725,0.021401584148406982
0.0,805.1787469589004,0.056977462,678.03076,0.056977462,104,0.0069375597,158.17216181755066,107952,2,791.65,4.059267,0.7988540083169937
0.0,817.1291892871361,0.037244096,684.2219,0.037244096,105,0.0059603625,162.39536476135254,110952,1,806.875,4.066073,-0.032344937324523926
0.0,835.1450394786852,0.042569514,699.44995,0.042569514,106,0.006384088,166.60928869247437,113952,1,829.125,4.076904,-0.06240379810333252
0.0,847.2168495355436,0.04110191,704.93036,0.04110191,107,0.0071988045,170.83754920959473,116952,1,843.65,4.0320377,0.0046787261962890625
0.0,839.5742810123911,0.028905096,694.604,0.028905096,108,0.0065858685,175.03310561180115,119952,1,843.65,4.0795283,-0.0353701114654541
0.0,831.5173705908206,0.038304493,685.7461,0.038304493,109,0.007398621,179.20533227920532,121236,1,838.925,4.10038,0.8155717551708221
0.0,828.4514403695408,0.06245474,683.9884,0.06245474,110,0.0068032737,183.45187044143677,122265,1,840.375,4.080628,0.8983576968312263
0.0,834.6505068815566,0.029807553,684.11945,0.029807553,111,0.0057195267,187.7156114578247,125265,1,847.95,4.0836797,-0.022674918174743652
0.0,837.0271663159361,0.030461531,681.3804,0.030461531,112,0.0063190125,192.00574159622192,128265,1,852.6,4.104586,0.00620877742767334
0.0,833.9116545850893,0.037133027,675.6082,0.037133027,113,0.008261934,196.22416305541992,131265,1,852.6,4.0946593,-0.014449596405029297
0.0,837.013103556078,0.052086335,677.24426,0.052086335,115,0.0071697743,200.44622015953064,135063,2,862.25,4.0609136,0.008558869361877441
0.0,820.4232382179647,0.047303077,661.19836,0.047303077,117,0.0069863065,204.67897987365723,139842,2,854.25,4.0645523,0.6387323439121246
0.0,827.6188566198273,0.04351864,666.9683,0.04351864,118,0.007196632,209.00856113433838,141567,1,863.025,4.078552,0.07405900955200195
0.0,832.3267659273394,0.044600602,669.13025,0.044600602,119,0.006616284,213.30920243263245,144567,1,871.75,4.0501103,0.06753402948379517
0.0,815.6333195005101,0.04590054,652.4589,0.04590054,121,0.009004908,217.6072380542755,148416,2,856.675,4.0451045,-0.008961677551269531
0.0,813.3124063135978,0.036122248,650.36395,0.036122248,122,0.006834164,221.88121676445007,151416,1,856.675,4.046783,-0.03259897232055664
0.0,808.0617054402544,0.059999198,646.5676,0.059999198,123,0.0074590733,226.1517698764801,154299,1,855.7,4.0212727,0.7188759744167328
0.0,806.6772131691124,0.046820283,644.7407,0.046820283,124,0.006972173,230.43542551994324,157299,1,855.7,4.019438,-0.028240084648132324
0.0,804.7441983729402,0.04922386,642.78253,0.04922386,125,0.0061662477,234.68114471435547,160299,1,855.7,4.0248713,0.04039311408996582
0.0,790.5010908578417,0.061322883,631.7035,0.061322883,127,0.007754076,238.9636948108673,163728,2,843.6,4.024111,-0.11200177669525146
0.0,785.0220673813956,0.0565662,626.7497,0.0565662,129,0.0074024443,243.28498125076294,167475,2,839.65,4.0544662,-0.19824469089508057
0.0,783.5809921466071,0.028029755,625.711,0.028029755,130,0.007549187,247.5515491962433,170475,1,839.65,4.0820007,-0.012811660766601562
0.0,782.0063157043339,0.034918107,625.1707,0.034918107,131,0.008369943,251.85755443572998,173475,1,839.65,4.077394,0.009048640727996826
0.0,777.9058178840347,0.03829171,624.8502,0.03829171,132,0.006739838,256.1067805290222,176475,1,839.65,4.0763264,-0.04886674880981445
0.0,775.1081062134323,0.034590658,624.0029,0.034590658,133,0.00742167,260.3660604953766,179475,1,839.65,4.076561,0.021151721477508545
0.0,771.4294004760754,0.03749127,623.10486,0.03749127,134,0.0076528667,264.59373021125793,182475,1,839.65,4.062615,0.0014677047729492188
0.0,769.0116824549702,0.042509608,622.97327,0.042509608,135,0.0068470235,268.8465542793274,185475,1,839.65,4.0700455,-0.04591858386993408
0.0,764.5986866798595,0.046984293,622.8341,0.046984293,136,0.007895257,273.1481156349182,188475,1,839.65,4.0567565,-0.0198824405670166
0.0,760.7862934208703,0.032639984,621.8756,0.032639984,137,0.00805134,277.4304840564728,191475,1,839.65,4.0692754,0.02055203914642334
0.0,750.8793591755734,0.05222638,616.65283,0.05222638,138,0.0068561435,281.69242238998413,193767,1,833.75,4.088647,0.6514620184898376
0.0,738.5442563294351,0.043424934,608.946,0.043424934,140,0.007623052,285.970210313797,198828,2,825.925,4.0991836,0.6431262791156769
0.0,733.9779799804803,0.037219748,607.8577,0.037219748,141,0.0066096666,290.2268841266632,201828,1,825.925,4.1044326,0.0009300112724304199
0.0,731.1486054520689,0.045739416,606.9287,0.045739416,142,0.0061493013,294.4442718029022,204828,1,825.925,4.115445,0.009556949138641357
0.0,743.6894027749943,0.036710348,617.9087,0.036710348,143,0.006081441,298.7102553844452,207828,1,841.8,4.1341224,-0.011544585227966309
0.0,722.352739008328,0.058695383,600.44055,0.058695383,146,0.007928997,302.9614791870117,212247,3,819.125,4.1379323,0.33395814895629883
0.0,718.6262670718463,0.044089697,600.20844,0.044089697,147,0.0075202947,307.1856470108032,215247,1,819.125,4.1162715,0.003256857395172119
0.0,718.4487065427738,0.036700107,599.3254,0.036700107,148,0.007760118,311.50263833999634,218247,1,819.125,4.1277227,-0.02847909927368164
0.0,731.124178521465,0.03194419,609.4743,0.03194419,149,0.0069524418,315.76150035858154,221247,1,833.425,4.105781,0.04264938831329346
0.0,746.3710782005344,0.030865677,621.4382,0.030865677,150,0.007791828,320.0531325340271,224247,1,849.85,4.1425166,0.015810132026672363
0.0,743.1359735059167,0.040379535,621.4745,0.040379535,151,0.007263368,324.2396912574768,227247,1,849.85,4.154687,-0.1372818946838379
0.0,740.5329174544228,0.040312648,621.1283,0.040312648,152,0.005766565,328.4420340061188,230247,1,849.85,4.168735,-0.017889976501464844
0.0,739.3822712117756,0.041233905,620.5731,0.041233905,153,0.0073546153,332.6405761241913,233247,1,849.85,4.1581497,0.02626568078994751
0.0,742.3577237326167,0.039886903,623.9406,0.039886903,154,0.0082666725,336.7417004108429,236247,1,855.65,4.149903,0.04017341136932373
0.0,751.2429106438985,0.042180218,632.76306,0.042180218,155,0.0076166126,340.893262386322,239247,1,868.2,4.160704,-0.026392102241516113
0.0,742.5397845575596,0.04982879,628.24133,0.04982879,157,0.007906128,345.0469946861267,243396,2,862.95,4.157158,0.07626104354858398
0.0,750.1698568349616,0.038344625,634.04425,0.038344625,158,0.0071705533,349.1855399608612,246165,1,871.65,4.160851,0.28320592641830444
0.0,745.555714047963,0.045776322,634.2504,0.045776322,159,0.0072529437,353.3523817062378,249165,1,871.65,4.1550627,-0.03387856483459473
0.0,743.0055647877371,0.052397296,633.9328,0.052397296,160,0.007933594,357.4810628890991,252165,1,871.65,4.122436,0.36810827255249023
0.0,755.5602401457925,0.049599707,646.9828,0.049599707,161,0.007681902,361.5936291217804,255165,1,889.575,4.0957327,-0.04230964183807373
0.0,753.3695667053881,0.04525641,646.2856,0.04525641,162,0.007961946,365.5852515697479,258165,1,889.575,4.1032424,-0.027640104293823242
0.0,755.6694374449728,0.05589295,647.40283,0.05589295,163,0.007262143,369.6622495651245,261165,1,890.55,4.090417,0.021405458450317383
0.0,754.0404648274505,0.04140718,646.52924,0.04140718,164,0.006689535,373.6790497303009,264165,1,890.55,4.082129,-0.13545143604278564
0.0,739.2455804003828,0.049604043,634.9653,0.049604043,166,0.0067177177,377.72239804267883,268248,2,876.55,4.0882883,0.004922449588775635
0.0,749.8733011670025,0.06446832,644.58606,0.06446832,167,0.0070152734,381.8044834136963,270504,1,889.8,4.0885067,0.7501391619443893
0.0,747.5461700900062,0.048606887,643.74146,0.048606887,168,0.008603277,385.84808826446533,273504,1,889.8,4.07937,0.0470881462097168
0.0,760.85331364239,0.039931428,656.4826,0.039931428,169,0.007365497,390.0041677951813,276504,1,908.575,4.0697947,0.008718669414520264
0.0,758.9558428730085,0.051427007,656.0177,0.051427007,170,0.008150823,394.1002984046936,279504,1,908.575,4.0956426,-0.14742767810821533
0.0,756.3356813639978,0.046258643,655.3368,0.046258643,171,0.0077200825,398.2244908809662,282504,1,908.575,4.0870056,0.025133609771728516
0.0,755.3492360409348,0.0691566,654.98914,0.0691566,172,0.0089913765,402.30840706825256,285504,1,908.575,4.0936813,-0.1976604461669922
0.0,757.2667812247353,0.05640006,654.1678,0.05640006,174,0.0070802947,406.4464843273163,291504,2,908.575,4.090034,-0.013608098030090332
0.0,758.3154378979095,0.039458707,653.81213,0.039458707,175,0.0061050677,410.6385533809662,294504,1,908.575,4.0878887,0.008374512195587158
0.0,758.3734482350985,0.04355182,653.2844,0.04355182,176,0.007871778,414.7630023956299,297504,1,908.575,4.0860825,-0.0074318647384643555
0.0,759.2364900032483,0.04050222,653.3647,0.04050222,177,0.007689221,418.899790763855,300504,1,908.575,4.09127,-0.004907965660095215
0.0,766.4564551510405,0.038562726,657.7516,0.038562726,178,0.008135865,422.9885137081146,303504,1,914.475,4.07757,-0.007611274719238281
0.0,765.1527747575085,0.060138613,657.44104,0.060138613,179,0.01050629,427.2709982395172,306264,1,912.475,4.06698,0.3673703670501709
0.0,756.2722413059594,0.06943656,647.30774,0.06943656,181,0.008195462,431.4235498905182,309468,2,897.0,4.0474553,0.3572356104850769
0.0,758.7708899409738,0.042823084,647.23065,0.042823084,182,0.0077129006,435.62550950050354,312468,1,897.0,4.061739,-0.04208827018737793
0.0,758.7887285252492,0.051225953,647.1315,0.051225953,183,0.008327387,439.77018117904663,315468,1,897.0,4.07068,-0.005487203598022461
0.0,758.5641180088875,0.06956361,647.0995,0.06956361,184,0.008630149,443.97040915489197,318468,1,897.0,4.056002,-0.26979267597198486
0.0,776.0772028283654,0.05153268,660.95276,0.05153268,185,0.008248444,448.09412002563477,321468,1,916.625,4.075133,-0.019543886184692383
0.0,792.5916759927588,0.045127615,674.73456,0.045127615,186,0.007500319,452.20515418052673,324468,1,935.175,4.073945,-0.046832919120788574
0.0,793.6459836980907,0.03987652,674.40295,0.03987652,187,0.008036046,456.4258360862732,327468,1,935.175,4.0808773,-0.017838001251220703
0.0,793.6249476388952,0.047237784,674.4137,0.047237784,188,0.008185362,460.61129331588745,330468,1,935.175,4.079962,-0.14534175395965576
0.0,794.1332392057556,0.051689226,674.03107,0.051689226,189,0.00695381,464.7584261894226,333468,1,935.175,4.07499,0.00031256675720214844
0.0,792.8527115016695,0.051060155,669.8165,0.051060155,191,0.009071803,468.95514249801636,338559,2,927.6,4.103183,0.16408520936965942
0.0,792.5262934533785,0.04989399,669.57947,0.04989399,192,0.00931911,473.1196963787079,341559,1,927.6,4.0986347,0.006523787975311279
0.0,794.6018165085752,0.047093235,669.19794,0.047093235,193,0.00813832,477.32949781417847,344559,1,927.6,4.1070485,-0.0009691715240478516
0.0,797.2647336833306,0.046935476,669.1398,0.046935476,194,0.0081718685,481.5706489086151,347559,1,927.6,4.1015916,-0.025019288063049316
0.0,800.5877739843824,0.050992765,668.80585,0.050992765,195,0.008517581,485.67156457901,350559,1,927.6,4.109412,0.0014731884002685547
0.0,810.7634873829296,0.06352388,669.72375,0.06352388,196,0.00860711,489.7738788127899,353559,1,927.6,4.1253657,-0.467465877532959
0.0,824.7114012670148,0.046335287,681.04266,0.046335287,197,0.007479377,494.0053815841675,356559,1,943.025,4.1283236,-0.026012182235717773
0.0,829.210693831427,0.043804165,682.30115,0.043804165,198,0.007757319,498.2236964702606,359559,1,944.95,4.1108418,-0.009514093399047852
0.0,834.0234378249525,0.05625829,681.8661,0.05625829,199,0.00824068,502.3838384151459,362559,1,944.95,4.1109304,-0.015150904655456543
0.0,839.149881369202,0.046463184,681.78015,0.046463184,200,0.008259971,506.5298578739166,365559,1,944.95,4.1144943,-0.04176342487335205
0.0,827.3542694548545,0.07001524,667.3661,0.07001524,202,0.0076707047,510.6860613822937,369174,2,925.075,4.104576,0.10667568445205688
0.0,828.6009363927766,0.06448299,666.75635,0.06448299,203,0.006812558,514.8761684894562,372174,1,925.075,4.1120315,0.871541827917099
0.0,814.0924360730144,0.06308361,653.0617,0.06308361,205,0.00733528,519.0810418128967,375777,2,905.1,4.10598,0.4892123341560364
0.0,828.852493575852,0.056125958,664.2853,0.056125958,206,0.008821478,523.3854479789734,378777,1,921.075,4.1037917,-0.020541667938232422
0.0,835.9912908762278,0.04694008,668.0895,0.04694008,207,0.008590777,527.6856958866119,381777,1,927.275,4.1061068,-0.020290255546569824
0.0,816.9247960201585,0.06589953,649.8436,0.06589953,210,0.009026716,531.9569392204285,386892,3,894.9,4.0964036,0.6979619264602661
0.0,809.6420550586748,0.05444394,637.69403,0.05444394,212,0.007930201,536.1351912021637,390972,2,878.9,4.1056447,-0.037053585052490234
0.0,809.5436423791768,0.045328192,637.45105,0.045328192,213,0.008508513,540.3518240451813,393972,1,878.9,4.09857,-0.008158087730407715
0.0,810.2479436629549,0.059673887,637.7791,0.059673887,214,0.0079755755,544.6190721988678,396972,1,878.9,4.09931,-0.028948664665222168
0.0,812.8870710619541,0.04365972,637.90247,0.04365972,215,0.007715326,548.8689548969269,399972,1,878.9,4.126558,0.0694047212600708
