EpLenMean,entloss,TimeElapsed,EpRewMean,EpThisIter,EpisodesSoFar,optimgain,surrgain,meankl,ev_tdlam_before,TimestepsSoFar,entropy,EpTrueRewMean
75.45,0.0,2539.813290119171,14.097804,12,1409,0.23194318,0.23194318,0.010679324,0.7206400334835052,265473,23.266068,386.32355659839016
81.375,0.0,2567.9460167884827,15.8677845,11,1420,0.24803865,0.24803865,0.010621894,0.6625910997390747,268584,23.274914,420.48538521030633
83.15,0.0,2596.424691438675,17.061207,13,1433,0.23318508,0.23318508,0.011379952,0.7409661412239075,271659,23.245747,435.205218197882
81.85,0.0,2623.836696624756,17.509207,14,1447,0.21544966,0.21544966,0.010877762,0.7560767084360123,274749,23.254927,429.1269658976482
73.275,0.0,2653.0329337120056,14.090329,15,1462,0.21578704,0.21578704,0.011787652,0.7903221696615219,277935,23.259626,387.6896191425758
72.475,0.0,2681.7266306877136,13.9920635,14,1476,0.23629268,0.23629268,0.011108013,0.6419507265090942,280983,23.255722,376.15650559675436
72.975,0.0,2709.0497908592224,12.933548,13,1489,0.22243541,0.22243541,0.010640271,0.683885931968689,284010,23.250813,377.30450996783276
77.75,0.0,2738.177318572998,14.696948,12,1501,0.2715263,0.2715263,0.010997899,0.7051941454410553,287046,23.26302,400.5558553501596
82.275,0.0,2765.776687145233,14.994983,13,1514,0.25314,0.25314,0.0115965195,0.7184677422046661,290316,23.258589,426.17041957335675
87.625,0.0,2794.8593912124634,16.824308,11,1525,0.27392638,0.27392638,0.012218429,0.7853487133979797,293442,23.25513,453.7034509297979
86.525,0.0,2822.1291584968567,17.022089,12,1537,0.25506783,0.25506783,0.0117658265,0.7686137109994888,296547,23.261213,443.7809560733607
81.7,0.0,2851.171770334244,15.943781,15,1552,0.23007493,0.23007493,0.012197068,0.7939418256282806,299682,23.260326,417.36728576298464
78.5,0.0,2879.202773332596,14.790128,12,1564,0.26506078,0.26506078,0.012819959,0.7725653499364853,302610,23.266777,399.60778651183966
75.05,0.0,2908.1594614982605,13.071043,13,1577,0.24426016,0.24426016,0.011328013,0.8074535429477692,305553,23.249693,390.3051894775842
79.05,0.0,2936.389867067337,14.346644,12,1589,0.24646261,0.24646261,0.01095145,0.7730982750654221,308547,23.246992,412.68258809530033
77.6,0.0,2964.6062557697296,14.501516,14,1603,0.22940516,0.22940516,0.011527352,0.8163739293813705,311664,23.24712,402.0990774043446
78.75,0.0,2993.7023944854736,15.349429,13,1616,0.23260741,0.23260741,0.012124387,0.7708848714828491,314784,23.25272,406.56638765151814
78.55,0.0,3020.690613746643,14.616165,13,1629,0.22619297,0.22619297,0.011369949,0.8095743805170059,317973,23.274868,403.8005318300681
78.6,0.0,3049.6837220191956,14.485853,14,1643,0.24168545,0.24168545,0.011808655,0.8176611065864563,321096,23.273497,408.42913511071845
82.9,0.0,3077.875070333481,14.890808,12,1655,0.26287532,0.26287532,0.01205668,0.6900232136249542,324402,23.277575,428.5942189717201
84.675,0.0,3107.0588262081146,15.832364,12,1667,0.24533536,0.24533536,0.0116186645,0.6689459681510925,327657,23.268373,432.75856286341576
88.85,0.0,3134.5992243289948,16.061514,12,1679,0.2362846,0.2362846,0.012573269,0.7977115660905838,330855,23.2704,452.46176482142636
91.45,0.0,3163.5117812156677,16.286877,11,1690,0.22269976,0.22269976,0.011877917,0.783101037144661,333882,23.260588,464.40309039416223
89.55,0.0,3192.3856637477875,15.606705,12,1702,0.2417126,0.2417126,0.01137458,0.784935399889946,337050,23.2652,452.3628063285388
86.275,0.0,3219.9251041412354,15.181043,13,1715,0.23801237,0.23801237,0.012602911,0.777726948261261,340245,23.247051,434.62561989353236
89.025,0.0,3248.598167181015,15.794711,11,1726,0.24151665,0.24151665,0.012042932,0.8135248124599457,343410,23.247955,450.0950827118615
88.125,0.0,3276.256509065628,15.763425,12,1738,0.26631972,0.26631972,0.012246268,0.721632331609726,346587,23.24393,446.78893808289706
86.375,0.0,3305.5772449970245,16.080017,13,1751,0.25131565,0.25131565,0.01192867,0.7770213931798935,349566,23.239376,441.91959713808444
83.525,0.0,3333.1226856708527,17.419468,12,1763,0.24840152,0.24840152,0.011569492,0.8490461558103561,352602,23.223103,434.6206369839598
80.45,0.0,3361.6254301071167,16.621141,14,1777,0.26654363,0.26654363,0.011588646,0.7793264836072922,355968,23.225191,417.86519781786683
83.125,0.0,3390.6426107883453,16.999777,12,1789,0.26667783,0.26667783,0.010984587,0.5863098502159119,358992,23.218946,431.3090394614216
82.3,0.0,3418.4303896427155,16.380375,12,1801,0.2201812,0.2201812,0.011000656,0.7884328961372375,362049,23.218452,426.14017270696456
84.675,0.0,3447.42493224144,16.087093,13,1814,0.2560878,0.2560878,0.011852044,0.8095309734344482,365262,23.216003,439.5435565657714
83.8,0.0,3475.337989807129,14.759865,13,1827,0.23859727,0.23859727,0.011177827,0.8020734786987305,368460,23.218992,435.8482832729927
86.85,0.0,3504.4546179771423,14.530817,11,1838,0.2485272,0.2485272,0.012002791,0.8031810373067856,371655,23.217384,449.93475710714955
84.05,0.0,3532.0166997909546,13.992338,14,1852,0.31718013,0.31718013,0.012173041,0.8449261486530304,374886,23.218224,437.81015432631483
89.025,0.0,3560.4051616191864,14.834155,11,1863,0.22788906,0.22788906,0.011071067,0.863723635673523,378042,23.21979,461.72145145658595
87.3,0.0,3589.1014268398285,14.627258,12,1875,0.22823709,0.22823709,0.012396665,0.8375022411346436,381219,23.224913,446.407575843389
