meankl,EpLenMean,EpThisIter,EpRewMean,ev_tdlam_before,entloss,TimeElapsed,surrgain,EpisodesSoFar,EpTrueRewMean,optimgain,entropy,TimestepsSoFar
0.007536077,26.153846153846153,39,30.517857,0.26921945810317993,0.0,5.981771945953369,0.060291506,39,1.0269464199430236,0.060291506,8.469792,3060
0.0071628243,29.9,33,30.223461,0.5627487599849701,0.0,10.87195110321045,0.064920925,72,2.802852755424665,0.064920925,8.456476,6144
0.0066376305,43.95,15,42.091003,0.44627612829208374,0.0,15.785114288330078,0.07001184,87,9.0551174565984,0.07001184,8.443238,9087
0.006709349,59.625,13,56.041992,0.6539611518383026,0.0,20.674124479293823,0.06275111,100,10.279254337432585,0.06275111,8.392932,12177
0.00664577,78.575,7,72.11838,0.8163326680660248,0.0,25.38620400428772,0.06702459,107,9.8795489379484,0.06702459,8.3659115,15201
0.0058591887,95.6,8,86.73498,0.791283130645752,0.0,29.826573848724365,0.05506356,115,18.46276171964015,0.05506356,8.337347,18252
0.006321473,107.15,8,95.17218,0.879383809864521,0.0,34.302414894104004,0.06005121,123,17.480864670945213,0.06005121,8.310736,21363
0.0063710306,124.9,5,111.638794,0.8689224272966385,0.0,38.72090721130371,0.064505115,128,36.658353556278115,0.064505115,8.274281,24354
0.005740269,136.85,7,120.62634,0.887966476380825,0.0,43.04561758041382,0.06254676,135,46.22163742004617,0.06254676,8.2775135,27300
0.0069397003,147.075,6,128.26802,0.9064821302890778,0.0,47.51019549369812,0.061245352,141,62.10548208935762,0.061245352,8.194321,30105
0.0072385566,151.2,5,132.9899,0.9269275888800621,0.0,51.94131898880005,0.06140346,146,88.701354963976,0.06140346,8.124633,32919
0.0056569576,159.45,5,136.94041,0.9333207830786705,0.0,56.358848333358765,0.06391168,151,98.99802866882501,0.06391168,8.119137,35721
0.007052469,170.3,5,146.94124,0.8112597614526749,0.0,60.8100700378418,0.08233525,156,132.0557260249322,0.08233525,8.05609,39129
0.006799482,182.85,4,158.30475,0.9360016509890556,0.0,65.22893500328064,0.057549722,160,162.98591418099014,0.057549722,8.020511,42237
0.0072860783,194.925,4,165.7937,0.9078963249921799,0.0,69.7546558380127,0.06263766,164,182.86504430385125,0.06263766,7.976684,45753
0.006564807,223.85,2,183.30734,0.7908788770437241,0.0,74.26154923439026,0.06326554,166,204.9979492434408,0.06326554,7.9612455,50025
0.006493819,228.8,4,188.08383,0.9423655271530151,0.0,78.71896934509277,0.06890662,170,230.67868163063986,0.06890662,7.990738,52554
0.0064025647,243.5,1,195.52182,0.9378720484673977,0.0,83.26623201370239,0.057964344,171,240.46185319228115,0.057964344,7.910404,54777
0.007166179,254.55,1,199.75644,0.9073607251048088,0.0,87.80051374435425,0.05164638,172,244.36157376804596,0.05164638,7.910656,56547
0.005945421,269.15,3,209.1962,0.9061437770724297,0.0,92.36131072044373,0.074103974,175,270.8750223302218,0.074103974,7.9112062,59598
0.0073698307,279.325,3,214.57954,0.9665865637362003,0.0,96.83870887756348,0.06830941,178,282.53391861192915,0.06830941,7.886551,62511
0.0060533406,297.775,2,226.90544,0.7427153885364532,0.0,101.44789242744446,0.08628921,180,310.71292413256026,0.08628921,7.874756,65532
0.0070317397,312.4,3,233.02983,0.9298118576407433,0.0,106.00277543067932,0.06890619,183,326.1721934608863,0.06890619,7.8806124,68832
0.0064079836,332.35,3,239.43433,0.8741212487220764,0.0,110.58294892311096,0.08376832,186,337.70742217357156,0.08376832,7.8410616,72801
0.006810201,335.7,3,240.30095,0.62685826420784,0.0,115.20355796813965,0.08067939,189,343.6509880198076,0.08067939,7.8500514,74655
0.0061224727,345.1,3,249.8908,0.8068105131387711,0.0,119.69206809997559,0.07477741,192,375.55036201617656,0.07477741,7.847303,78114
0.0067355805,354.15,2,255.74553,0.7640733271837234,0.0,124.20513963699341,0.08121549,194,386.2312730798129,0.08121549,7.844312,80040
0.0076556136,371.175,2,263.91266,0.5898155272006989,0.0,128.6547212600708,0.064214855,196,400.687478836939,0.064214855,7.814316,83670
0.0062302966,378.8,3,268.60385,0.8479964733123779,0.0,133.13668823242188,0.084001884,199,415.000659936944,0.084001884,7.7975926,86262
0.006783899,372.6,3,262.43106,0.7468917965888977,0.0,137.6259937286377,0.07867474,202,415.7831166009295,0.07867474,7.7492685,89238
0.006315219,383.375,2,268.6463,0.9515913650393486,0.0,142.14012360572815,0.0767308,204,428.28279174767994,0.0767308,7.753117,91758
0.007124545,369.7,2,257.68076,0.9284869134426117,0.0,146.6519274711609,0.09211419,206,419.9026668257363,0.09211419,7.7442746,94389
0.0064022243,379.575,1,264.03497,0.8805763274431229,0.0,151.15092825889587,0.1495958,207,431.26116261272364,0.1495958,7.738224,96195
0.006473724,395.325,3,272.19604,0.9348721504211426,0.0,155.65344858169556,0.08678767,210,450.6154644210944,0.08678767,7.7161098,99993
0.006383815,372.325,3,259.72955,0.9275675266981125,0.0,160.1668701171875,0.081637025,213,447.68817228673123,0.081637025,7.720963,103062
0.0070376177,385.45,2,268.4806,0.8861585408449173,0.0,164.76816391944885,0.13111717,215,466.9686152955425,0.13111717,7.715466,105852
0.0073729064,396.35,1,275.685,0.8069489449262619,0.0,169.37319898605347,0.08847055,216,482.33333870070084,0.08847055,7.705155,108474
0.0069768373,380.2,4,264.7338,0.822417363524437,0.0,173.8774654865265,0.0857604,220,471.57448185915547,0.0857604,7.701481,111156
0.0065716607,368.3,4,268.39246,0.768966406583786,0.0,178.44830346107483,0.08951206,224,500.3630845139763,0.08951206,7.675492,114762
0.0066121435,369.925,2,274.12274,0.8678582608699799,0.0,182.99719953536987,0.11235056,226,514.7802259537546,0.11235056,7.6748195,117192
0.0062662233,397.25,2,286.38354,0.3225698471069336,0.0,187.5532398223877,0.07902916,228,540.218408507704,0.07902916,7.660828,121773
0.006731523,412.7,2,302.12006,0.8295169919729233,0.0,192.09426426887512,0.10208106,230,583.6643121860546,0.10208106,7.6636314,125304
0.0067910263,425.075,1,314.8534,0.7126930356025696,0.0,196.63316345214844,0.10997078,231,609.1365183253723,0.10997078,7.666073,128304
0.0064802053,425.525,2,311.79727,0.8962122052907944,0.0,201.15290069580078,0.10029874,233,604.0569396468766,0.10029874,7.690476,130731
0.006523152,410.775,2,299.60034,0.7539398223161697,0.0,205.72292613983154,0.09951351,235,585.4092586517769,0.09951351,7.6748776,132216
0.0069349925,439.775,2,314.552,0.6719090938568115,0.0,210.26149225234985,0.08197345,237,625.1886551435214,0.08197345,7.676651,137661
0.007431738,458.85,3,336.63962,0.7705754935741425,0.0,214.75625085830688,0.09465505,240,679.089814137745,0.09465505,7.6812754,141933
0.007259884,448.95,3,338.3889,0.8483514338731766,0.0,219.2276201248169,0.092111215,243,693.1931646629389,0.092111215,7.699772,144867
0.00698298,459.4,3,338.12857,0.7683521211147308,0.0,223.76958417892456,0.0755909,246,694.2915808405612,0.0755909,7.698731,149517
0.0077306004,447.2,2,333.0201,0.7601924538612366,0.0,228.29681944847107,0.11905573,248,687.5313349420386,0.11905573,7.6865716,151782
0.007303043,442.05,3,331.87857,0.7512072175741196,0.0,232.7517762184143,0.101089,251,691.9293469612551,0.101089,7.6704674,154770
0.0066787302,437.225,4,329.08774,0.7997163087129593,0.0,237.32133078575134,0.08265467,255,696.9327577767395,0.08265467,7.6698036,158319
0.0077660065,426.625,3,325.11298,0.728954553604126,0.0,241.81748032569885,0.09457626,258,705.6426529085463,0.09457626,7.6550894,161214
0.0076302467,436.75,1,332.99393,0.8855393975973129,0.0,246.3432102203369,0.12608498,259,726.3900638748433,0.12608498,7.6624155,163017
0.007015677,438.775,4,331.7585,0.8040735572576523,0.0,250.79998660087585,0.110203676,263,725.1659850618819,0.110203676,7.6571774,166398
0.0069632884,451.65,2,340.2906,0.8534849435091019,0.0,255.3655343055725,0.08842802,265,755.1875965514387,0.08842802,7.6355557,170550
0.0065996125,440.8,3,350.03427,0.8946936875581741,0.0,259.8452010154724,0.10007155,268,784.9965872462968,0.10007155,7.632584,174669
0.007155923,439.75,1,351.628,0.6504974067211151,0.0,264.3353228569031,0.09256133,269,786.6040670397509,0.09256133,7.622803,176193
0.00755763,426.775,2,345.5063,0.722587525844574,0.0,268.82504415512085,0.09351684,271,784.6139881564925,0.09351684,7.6262856,179517
0.0068152677,434.0,2,356.46503,0.7820115238428116,0.0,273.3586046695709,0.099615954,273,817.4777489198264,0.099615954,7.6312103,182811
0.006684283,423.575,3,353.56012,0.7147278189659119,0.0,277.65374636650085,0.09187816,276,823.9671218598509,0.09187816,7.6262693,186045
0.00714862,406.25,3,342.45203,0.7991275191307068,0.0,282.05525183677673,0.1582719,279,806.9060427308322,0.1582719,7.642078,189534
0.0064543905,413.9,2,340.3322,0.896562822163105,0.0,286.5360224246979,0.097695276,281,811.9262475454701,0.097695276,7.6139402,192582
0.007450954,402.5,3,342.58716,0.8652092665433884,0.0,290.9915466308594,0.09451097,284,833.3392274870781,0.09451097,7.605026,196167
0.007774521,420.475,1,355.72897,0.1831607222557068,0.0,295.51592087745667,0.093183935,285,871.961092946825,0.093183935,7.5941896,199167
0.00793623,434.675,1,371.3249,0.8721912354230881,0.0,299.98085737228394,0.1111905,286,913.9633795403897,0.1111905,7.584469,201678
0.0070623676,441.525,1,375.20554,0.7579315155744553,0.0,304.5196285247803,0.08458017,287,935.1253852998667,0.08458017,7.582959,203886
0.007655159,452.925,3,379.06454,0.8650659620761871,0.0,309.04844903945923,0.09617449,290,963.4295337568516,0.09617449,7.5863657,208242
0.0068177665,460.55,1,387.0779,0.9051318392157555,0.0,313.5360128879547,0.10699007,291,987.0160483704458,0.10699007,7.5740514,210036
0.006773284,464.95,2,395.3438,0.8953806236386299,0.0,318.07691287994385,0.10173306,293,1007.6534147372553,0.10173306,7.564283,212661
0.007440811,469.175,2,399.23126,0.7983518540859222,0.0,322.5051121711731,0.093412094,295,1016.6816053016242,0.093412094,7.560071,214620
0.0075285276,471.625,2,405.9902,0.6945965886116028,0.0,326.9273281097412,0.10703327,297,1029.06825667687,0.10703327,7.5598106,217086
0.0075367847,467.35,4,399.826,0.8472780138254166,0.0,331.3376588821411,0.08760965,301,1014.2715686518798,0.08760965,7.554123,220395
0.007994397,465.15,3,401.5901,0.8844849094748497,0.0,335.82683753967285,0.09530629,304,1028.673443935932,0.09530629,7.542557,225138
0.0072902977,468.25,2,400.68176,0.8155892938375473,0.0,340.2857503890991,0.093990624,306,1033.6154333717777,0.093990624,7.519211,228663
0.007790711,464.775,3,392.50848,0.8640247732400894,0.0,344.7833969593048,0.10127008,309,1026.4893826874898,0.10127008,7.5125256,231966
0.008354509,454.85,2,379.09573,0.9120244979858398,0.0,349.25685381889343,0.09971633,311,995.6563389463321,0.09971633,7.49731,234099
0.0072883563,453.875,3,376.92694,0.87720537930727,0.0,353.7011368274689,0.08861242,314,1006.0473002866117,0.08861242,7.5024548,238179
0.007898982,453.8,3,383.5794,0.8322839587926865,0.0,358.14404368400574,0.0967279,317,1020.6994706391946,0.0967279,7.5070796,242238
