# {"t_start": 1551116452.1831782, "env_id": "CartPole-v0"} 
r,l,t
21.0,21,10.143057
25.0,25,10.325145
14.0,14,10.414385
35.0,35,10.682653
10.0,10,10.74946
46.0,46,10.868861
27.0,27,10.932889
26.0,26,11.205069
11.0,11,11.35711
16.0,16,11.48969
21.0,21,11.737966
15.0,15,11.857381
13.0,13,11.992524
16.0,16,12.076163
11.0,11,12.177999
47.0,47,12.446299
33.0,33,12.687995
27.0,27,12.959715
23.0,23,13.143739
13.0,13,13.214847
11.0,11,13.238828
21.0,21,13.325701
19.0,19,13.404832
15.0,15,13.467936
17.0,17,13.53121
65.0,65,14.096793
32.0,32,14.388591
34.0,34,14.645424
37.0,37,14.949355
15.0,15,15.06664
12.0,12,15.174771
12.0,12,15.238305
22.0,22,15.321933
11.0,11,15.350862
22.0,22,15.426581
12.0,12,15.531396
16.0,16,15.663562
25.0,25,15.803293
10.0,10,15.847338
17.0,17,15.960957
15.0,15,16.022437
13.0,13,16.058877
31.0,31,16.165911
21.0,21,16.22194
10.0,10,16.249537
22.0,22,16.324928
22.0,22,16.550451
24.0,24,19.586055
8.0,8,19.631353
13.0,13,19.714364
58.0,58,20.194666
25.0,25,20.356499
13.0,13,20.477678
40.0,40,20.680612
16.0,16,20.797919
20.0,20,20.981442
52.0,52,21.324371
41.0,41,21.561479
42.0,42,21.686967
13.0,13,21.801964
45.0,45,22.23952
53.0,53,22.416417
17.0,17,22.499888
64.0,64,23.000138
25.0,25,23.087816
43.0,43,23.320876
26.0,26,23.44308
24.0,24,23.502108
22.0,22,23.660448
80.0,80,24.213701
28.0,28,24.353941
25.0,25,24.583538
32.0,32,24.824768
25.0,25,24.963645
34.0,34,25.159507
11.0,11,25.219277
52.0,52,25.583843
25.0,25,25.802421
41.0,41,26.056047
37.0,37,26.737139
34.0,34,26.941771
67.0,67,27.399056
21.0,21,27.596823
65.0,65,28.126178
23.0,23,28.233276
11.0,11,28.301897
23.0,23,28.418271
19.0,19,28.541512
42.0,42,28.789936
19.0,19,28.906976
43.0,43,29.359206
26.0,26,29.570693
56.0,56,30.05347
15.0,15,30.132718
41.0,41,30.3237
143.0,143,31.241861
43.0,43,31.390116
19.0,19,31.447998
27.0,27,31.572487
17.0,17,31.758988
17.0,17,31.853774
49.0,49,32.130767
89.0,89,32.541852
79.0,79,33.13819
77.0,77,33.87659
57.0,57,34.290736
143.0,143,35.531922
48.0,48,35.72211
14.0,14,35.80691
38.0,38,36.044218
41.0,41,36.469282
40.0,40,36.760566
28.0,28,36.884067
54.0,54,37.327408
78.0,78,37.811807
134.0,134,38.897789
43.0,43,39.134852
87.0,87,39.622064
102.0,102,40.337046
104.0,104,41.452513
177.0,177,42.706373
26.0,26,42.882657
122.0,122,43.915667
26.0,26,44.108081
40.0,40,44.389424
77.0,77,44.810673
137.0,137,45.874896
156.0,156,46.813606
167.0,167,48.246269
144.0,144,50.062815
165.0,165,51.240721
200.0,200,52.645529
180.0,180,53.917195
140.0,140,54.827065
16.0,16,54.952289
200.0,200,56.553875
189.0,189,58.503123
121.0,121,59.184039
36.0,36,59.287379
60.0,60,59.478643
60.0,60,59.972936
112.0,112,60.789699
19.0,19,60.878067
168.0,168,62.16405
84.0,84,62.786729
110.0,110,63.378942
166.0,166,65.073093
126.0,126,65.791372
43.0,43,66.026891
200.0,200,66.743349
151.0,151,67.957891
181.0,181,69.14393
197.0,197,70.426373
200.0,200,72.171728
200.0,200,73.462502
174.0,174,74.237634
184.0,184,75.523457
60.0,60,75.856046
98.0,98,76.467986
200.0,200,78.668756
200.0,200,79.925556
200.0,200,81.432555
186.0,186,82.666358
200.0,200,84.155027
200.0,200,85.843595
200.0,200,87.074351
200.0,200,88.276428
161.0,161,89.128714
200.0,200,90.361037
200.0,200,91.784959
200.0,200,93.212322
200.0,200,94.21141
200.0,200,95.570796
200.0,200,96.82018
200.0,200,98.467048
200.0,200,100.417146
200.0,200,102.030297
200.0,200,102.936708
138.0,138,104.119791
200.0,200,105.339618
121.0,121,106.116386
196.0,196,107.875206
200.0,200,108.899692
122.0,122,109.785705
134.0,134,110.642807
200.0,200,111.776841
176.0,176,112.905633
118.0,118,114.13141
200.0,200,115.109417
121.0,121,116.073975
200.0,200,117.191578
200.0,200,118.85043
200.0,200,120.033381
200.0,200,121.971693
188.0,188,123.19349
183.0,183,124.173354
200.0,200,125.273994
131.0,131,126.363517
200.0,200,128.481027
176.0,176,129.415049
149.0,149,130.529171
172.0,172,131.710838
142.0,142,132.653436
152.0,152,133.733877
130.0,130,134.738349
200.0,200,136.460808
195.0,195,137.83406
150.0,150,138.773762
149.0,149,139.700737
141.0,141,140.421388
130.0,130,141.305156
165.0,165,142.706989
186.0,186,143.976468
200.0,200,145.456816
195.0,195,146.891379
121.0,121,147.650115
161.0,161,148.89835
200.0,200,150.891746
183.0,183,152.115152
187.0,187,153.257565
165.0,165,154.512512
190.0,190,156.131649
185.0,185,157.357656
200.0,200,159.17463
200.0,200,160.255211
200.0,200,161.399171
176.0,176,162.623887
200.0,200,163.984848
176.0,176,165.636024
173.0,173,167.028593
127.0,127,167.935168
200.0,200,168.957464
200.0,200,170.363943
176.0,176,171.519224
200.0,200,173.006552
200.0,200,174.182624
200.0,200,175.391739
200.0,200,176.368409
200.0,200,177.741939
106.0,106,179.049777
167.0,167,179.917997
55.0,55,180.147458
200.0,200,181.643345
200.0,200,183.139823
200.0,200,184.441549
200.0,200,186.133617
200.0,200,187.110513
200.0,200,188.554209
194.0,194,189.833299
200.0,200,191.189089
200.0,200,193.236024
200.0,200,194.480504
184.0,184,195.779415
200.0,200,197.247504
200.0,200,198.399858
200.0,200,199.831476
200.0,200,201.811525
171.0,171,203.245116
143.0,143,204.422503
177.0,177,205.699333
200.0,200,206.941591
200.0,200,208.550925
200.0,200,209.948266
200.0,200,211.312529
131.0,131,212.223866
200.0,200,213.701962
152.0,152,215.013837
175.0,175,216.430356
134.0,134,217.298688
192.0,192,218.544539
171.0,171,219.749589
200.0,200,221.195841
200.0,200,222.266359
132.0,132,223.397782
192.0,192,225.026577
200.0,200,226.55672
200.0,200,227.656613
147.0,147,228.35774
200.0,200,230.06535
200.0,200,231.15927
142.0,142,231.805592
200.0,200,233.267892
200.0,200,234.736387
200.0,200,236.116686
200.0,200,237.720573
200.0,200,239.113088
200.0,200,240.640161
135.0,135,241.384664
200.0,200,242.683064
200.0,200,244.392951
150.0,150,245.199976
145.0,145,246.235578
121.0,121,246.744902
158.0,158,247.972629
200.0,200,249.263706
161.0,161,250.233813
200.0,200,251.694106
200.0,200,253.092292
200.0,200,254.433624
200.0,200,255.706859
200.0,200,257.081158
200.0,200,258.948897
198.0,198,260.1259
200.0,200,261.63162
200.0,200,263.196549
200.0,200,264.263274
200.0,200,266.356228
200.0,200,267.544105
200.0,200,268.926202
200.0,200,270.011914
200.0,200,271.3108
200.0,200,272.819571
200.0,200,274.368347
200.0,200,275.71958
200.0,200,277.04657
200.0,200,278.315347
169.0,169,279.595545
140.0,140,280.138472
200.0,200,280.910981
174.0,174,282.097595
200.0,200,282.975785
200.0,200,284.575671
144.0,144,286.032381
200.0,200,287.128045
186.0,186,288.319096
200.0,200,289.893226
200.0,200,291.44183
200.0,200,292.950062
200.0,200,294.281973
200.0,200,295.551927
200.0,200,296.897527
200.0,200,298.432975
200.0,200,299.713799
135.0,135,301.083167
126.0,126,301.696903
200.0,200,302.932461
200.0,200,304.049333
200.0,200,305.355683
200.0,200,306.953666
200.0,200,308.637917
200.0,200,309.885388
130.0,130,310.542391
200.0,200,311.927474
200.0,200,313.06111
200.0,200,315.190395
168.0,168,316.360413
200.0,200,317.740304
200.0,200,319.004537
200.0,200,320.015666
126.0,126,321.030757
200.0,200,323.008803
200.0,200,323.994306
200.0,200,325.286947
124.0,124,325.883154
200.0,200,327.287218
200.0,200,329.143409
200.0,200,330.473088
200.0,200,331.959768
200.0,200,333.067741
200.0,200,334.532012
200.0,200,336.149642
200.0,200,337.540712
