TimeElapsed,entloss,EpThisIter,EpRewMean,EpLenMean,optimgain,ev_tdlam_before,meankl,TimestepsSoFar,surrgain,EpTrueRewMean,EpisodesSoFar,entropy
3566.345849275589,0.0,3,112.57247,343.975,0.112103574,0.8337620049715042,0.008571623,416997,0.112103574,1019.1920127059853,635,7.137028
3591.5678510665894,0.0,3,113.73714,346.225,0.11557147,0.9080811068415642,0.009359938,420174,0.11557147,1032.3980379578072,638,7.125121
3618.051267385483,0.0,3,113.803345,344.975,0.15333214,0.9138016775250435,0.008648034,422805,0.15333214,1030.2035608724207,641,7.133885
3643.5513586997986,0.0,4,113.779274,343.925,0.104753956,0.864339217543602,0.00914048,426240,0.104753956,1031.8443860860966,645,7.126496
3669.8342571258545,0.0,3,111.96887,343.25,0.10765261,0.8737142831087112,0.008006684,429609,0.10765261,1020.0065459807531,648,7.098881
3695.344115972519,0.0,2,112.92493,345.85,0.11816484,0.8853794932365417,0.008454654,431481,0.11816484,1029.554050870111,650,7.0969086
3721.6499683856964,0.0,3,108.28611,333.05,0.10699759,0.8867654800415039,0.008815202,434454,0.10699759,987.0402785768987,653,7.0904045
3747.4765684604645,0.0,2,107.35563,334.175,0.14097214,0.8769940063357353,0.009036227,437484,0.14097214,987.1644340594697,655,7.0800476
3774.0350689888,0.0,2,112.47898,352.925,0.09101526,0.6546220481395721,0.009040786,441252,0.09101526,1039.7375804105463,657,7.071236
3799.5553965568542,0.0,2,116.99489,370.325,0.107377045,0.8332905620336533,0.010491595,444729,0.107377045,1090.9255925283112,659,7.060661
3826.013412475586,0.0,2,118.584,375.65,0.10529876,0.8206020295619965,0.009413179,446703,0.10529876,1101.4534333778424,661,7.051469
3851.4395167827606,0.0,1,124.399155,393.4,0.14990462,0.7418003380298615,0.009764262,449703,0.14990462,1156.0200209595132,662,6.994495
3878.3107447624207,0.0,3,123.88174,394.425,0.118023515,0.9217878058552742,0.008657528,453213,0.118023515,1156.13978045607,665,6.9948378
3903.699838399887,0.0,1,124.99878,396.375,0.110699676,0.7745960503816605,0.008576481,454464,0.110699676,1164.6264659052274,666,7.002872
3930.0685238838196,0.0,1,129.65005,413.15,0.0936432,0.38684743642807007,0.008617946,457464,0.0936432,1210.7720403642159,667,6.9863424
3955.611213207245,0.0,1,134.40994,424.525,0.100103356,0.7585591971874237,0.008557198,460233,0.100103356,1253.5992265821246,668,6.957627
3982.3637092113495,0.0,3,137.98099,441.425,0.08953171,0.7557836920022964,0.009621931,465030,0.08953171,1298.8965854908563,671,6.93512
4007.3826429843903,0.0,2,137.7317,445.225,0.12612174,0.8313695341348648,0.008473375,467958,0.12612174,1305.8486893299264,673,6.9309688
4034.0514044761658,0.0,3,137.42743,444.45,0.10741191,0.9025281071662903,0.008928617,471558,0.10741191,1300.4780501579523,676,6.8930364
4059.4540243148804,0.0,2,143.8306,464.125,0.10194112,0.8078242838382721,0.009321911,475869,0.10194112,1363.0337343004655,678,6.9082565
4085.895522594452,0.0,1,150.6578,482.825,0.09248193,-0.3963233232498169,0.008801721,478869,0.09248193,1437.7097325703708,679,6.907616
4110.635630130768,0.0,3,152.97115,486.2,0.12433393,0.9335891231894493,0.0087808985,482403,0.12433393,1453.5161769805752,682,6.9134936
4137.536172151566,0.0,2,164.26541,522.5,0.1097278,0.9530504308640957,0.009246243,487881,0.1097278,1569.1693977803527,684,6.91177
4162.751884222031,0.0,1,167.30356,538.675,0.07659597,0.4027974009513855,0.009045536,490881,0.07659597,1609.3746666977245,685,6.940147
4189.465857028961,0.0,1,171.24542,549.6,0.123570666,0.8526967614889145,0.009243558,493383,0.123570666,1653.427177982268,686,6.9286995
4214.3494784832,0.0,1,174.0359,560.55,0.12867025,0.7638226747512817,0.008501393,496080,0.12867025,1689.992677749317,687,6.918324
4241.32364988327,0.0,2,174.87537,564.0,0.09620988,0.8630782961845398,0.0095593,498468,0.09620988,1700.3720066770425,689,6.923149
4266.561857700348,0.0,1,180.05194,583.225,0.0851741,0.5728591978549957,0.008713267,501468,0.0851741,1760.9611577290773,690,6.91954
4293.2644810676575,0.0,1,185.10837,602.25,0.08241231,0.1453189253807068,0.012546,504468,0.08241231,1819.886537033486,691,6.898018
4318.443438768387,0.0,1,187.23038,614.725,0.08132111,-0.05543184280395508,0.009763238,507468,0.08132111,1851.6515581553358,692,6.8857803
4344.956049442291,0.0,1,190.62,626.6,0.10603761,0.6776491403579712,0.009715144,509646,0.10603761,1883.5663912010325,693,6.861851
4370.295701503754,0.0,1,188.75406,624.45,0.124191605,0.942475575953722,0.010311233,510255,0.124191605,1862.5860079410784,694,6.8822827
4396.920155763626,0.0,1,187.5311,627.125,0.09265919,0.8880705833435059,0.009543919,512739,0.09265919,1853.2577838429766,695,6.8619924
