entloss,meankl,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar,optimgain,EpRewMean,TimeElapsed,surrgain,entropy,EpTrueRewMean,EpLenMean,EpThisIter
0.0,0.013232496,0.835005134344101,527940,2329,0.30941892,62.848503,1124.8832376003265,0.30941892,23.038836,461.94623729911416,90.425,10
0.0,0.013735003,0.8322001695632935,531024,2339,0.29346448,65.09556,1131.475732088089,0.29346448,23.033754,475.62847665374255,94.225,10
0.0,0.013955113,0.8827726021409035,534189,2350,0.26105195,65.067665,1138.0246975421906,0.26105195,23.033686,487.2091187163771,97.175,11
0.0,0.0037759503,0.8739842772483826,537327,2360,0.14990297,66.19037,1144.6475448608398,0.14990297,23.03176,500.1670475761076,99.975,10
0.0,0.0040302547,0.8726688176393509,540612,2372,0.14664298,62.993366,1151.119563817978,0.14664298,23.036312,487.9146182811355,97.075,12
0.0,0.014860294,0.8512952327728271,543801,2383,0.31771302,62.33716,1157.6422808170319,0.31771302,23.03367,494.6020710910414,98.2,11
0.0,0.0039050197,0.8634131252765656,546882,2394,0.1412693,60.95472,1164.1780271530151,0.1412693,23.029783,477.4070553982391,94.6,11
0.0,0.0038465336,0.8932718709111214,549897,2404,0.14040184,62.7248,1170.8547518253326,0.14040184,23.0342,486.6757229200622,96.575,10
0.0,0.014255631,0.8407216370105743,552843,2414,0.38828766,61.5306,1177.5025429725647,0.38828766,23.032064,483.495207391704,97.375,10
0.0,0.0146153895,0.852772057056427,556101,2424,0.40235794,64.14523,1184.0549387931824,0.40235794,23.033628,501.6870611563751,100.45,10
0.0,0.004403824,0.853340283036232,559317,2435,0.1803445,65.19786,1190.5029466152191,0.1803445,23.035162,512.424789696355,101.6,11
0.0,0.014568197,0.8610684722661972,562497,2447,0.24302407,63.14386,1196.9690177440643,0.24302407,23.037111,496.18192622938477,97.225,12
0.0,0.013656622,0.8896377012133598,565467,2457,0.2883434,62.903687,1203.4976062774658,0.2883434,23.02685,488.8283879913291,95.425,10
0.0,0.013998421,0.842723935842514,568827,2468,0.3027007,64.08502,1210.0971689224243,0.3027007,23.030008,487.8366840496571,95.475,11
0.0,0.014452884,0.8448036760091782,571866,2479,0.30132633,64.055756,1216.7376914024353,0.30132633,23.02938,484.8955570968701,95.275,11
0.0,0.012797872,0.8679979741573334,574965,2492,0.31031847,63.000317,1223.2638800144196,0.31031847,23.027428,466.59497152307586,92.45,13
0.0,0.003979247,0.8423103839159012,578478,2503,0.14868812,62.04885,1229.8742291927338,0.14868812,23.030455,477.1034420336845,93.75,11
0.0,0.014451848,0.8406440019607544,581559,2512,0.28615898,64.18846,1236.5034391880035,0.28615898,23.033134,479.9918501786509,94.675,9
0.0,0.0149149485,0.8851356953382492,584424,2523,0.28794903,66.920975,1242.9847633838654,0.28794903,23.033512,491.87084387618887,96.95,11
0.0,0.014616169,0.8602661341428757,587739,2535,0.4149623,66.636536,1249.8135116100311,0.4149623,23.036844,497.5157454133717,97.775,12
0.0,0.014558887,0.9051336646080017,590910,2545,0.2768301,69.31693,1256.380215883255,0.2768301,23.040215,499.4856720126676,98.975,10
0.0,0.014333673,0.9022179916501045,593910,2555,0.29039043,65.63707,1262.8910312652588,0.29039043,23.041239,484.97997253700976,96.1,10
0.0,0.014595283,0.8638299852609634,596895,2565,0.2764271,67.38847,1269.409345626831,0.2764271,23.03953,489.77550446660507,97.35,10
0.0,0.014664655,0.9130328372120857,600030,2577,0.3432691,66.24661,1276.0203552246094,0.3432691,23.040056,482.14882018931695,96.625,12
0.0,0.0142703485,0.8779978007078171,603300,2588,0.26554266,65.54629,1282.5283229351044,0.26554266,23.041727,481.23035746706626,95.775,11
0.0,0.003838613,0.8413678705692291,606249,2598,0.14859608,68.3383,1289.1387450695038,0.14859608,23.040693,470.68191039317554,94.85,10
0.0,0.004016257,0.8542380779981613,609453,2609,0.15174332,68.135086,1295.7604806423187,0.15174332,23.034588,478.196093824003,95.475,11
0.0,0.014939446,0.875632107257843,612330,2618,0.29555,70.6485,1302.3131203651428,0.29555,23.032959,506.38396588585675,100.125,9
0.0,0.0040232996,0.8609908670186996,615282,2627,0.15707675,72.47288,1308.8548576831818,0.15707675,23.027094,522.4731796746938,102.925,9
0.0,0.0039874623,0.8897714614868164,618249,2636,0.14780694,69.3336,1315.8941624164581,0.14780694,23.02531,526.0700001443487,103.95,9
0.0,0.014079846,0.8981695398688316,621318,2647,0.2775218,67.803116,1322.5682418346405,0.2775218,23.027079,526.0334639131952,104.025,11
0.0,0.014824939,0.9071132615208626,624351,2658,0.31091392,64.21975,1329.2890884876251,0.31091392,23.02352,503.5324884782502,100.175,11
0.0,0.014208799,0.887595646083355,627243,2668,0.27149433,61.586487,1335.9035913944244,0.27149433,23.025084,479.6015195170967,96.55,10
0.0,0.003808478,0.8922429084777832,630183,2678,0.13105825,60.59784,1342.5581102371216,0.13105825,23.023909,469.8800341725808,94.9,10
0.0,0.0038857716,0.8596510887145996,633204,2688,0.14247315,61.153053,1349.1720700263977,0.14247315,23.025797,481.25815943891064,96.925,10
0.0,0.0039684414,0.8295230716466904,636252,2699,0.13294855,63.74944,1355.9320628643036,0.13294855,23.024153,485.29386305241025,97.525,11
0.0,0.012512067,0.8810928910970688,639228,2709,0.2595433,62.368492,1362.6122660636902,0.2595433,23.022478,481.397460415105,97.65,10
0.0,0.0037654391,0.8907228782773018,642321,2720,0.14653748,63.52372,1369.256751537323,0.14653748,23.021238,477.5839399217175,95.9,11
0.0,0.0038624858,0.8747907429933548,645405,2732,0.14678253,62.917828,1375.950609445572,0.14678253,23.020933,472.46366783704633,93.875,12
0.0,0.014209515,0.9057784825563431,648612,2742,0.2815199,63.743053,1382.5983896255493,0.2815199,23.022947,487.4941105031802,96.875,10
0.0,0.0037733978,0.8985799625515938,651984,2755,0.13188612,62.450127,1389.1873605251312,0.13188612,23.022867,472.68157998983423,91.775,13
0.0,0.014077492,0.8979940339922905,654984,2764,0.3170212,65.00199,1395.9331529140472,0.3170212,23.027323,497.7244670784732,97.3,9
0.0,0.004132683,0.8637028932571411,658218,2774,0.14117336,66.73021,1402.5228967666626,0.14117336,23.021566,505.92991427332055,99.025,10
0.0,0.00410729,0.8434334695339203,661464,2784,0.15718721,69.15202,1409.1731441020966,0.15718721,23.021809,522.7270367123923,102.075,10
0.0,0.004426378,0.919081561267376,664488,2795,0.1534699,72.22136,1415.8262813091278,0.1534699,23.022467,535.7238519802277,104.2,11
0.0,0.0038166516,0.8914457708597183,667530,2804,0.14147869,71.93779,1422.462610244751,0.14147869,23.018717,538.3453371606219,104.55,9
0.0,0.003854407,0.8721108287572861,670482,2813,0.15570667,72.135284,1429.2336971759796,0.15570667,23.019037,535.3422380306567,104.475,9
0.0,0.0038846647,0.8383905440568924,673755,2823,0.14311555,73.123405,1435.9403669834137,0.14311555,23.020018,533.3285398522759,104.825,10
0.0,0.014702346,0.8947764411568642,676656,2832,0.292569,73.80992,1442.6041374206543,0.292569,23.02197,550.8748080498057,108.95,9
0.0,0.0037950743,0.9159353375434875,679569,2843,0.1372976,68.94722,1449.2957544326782,0.1372976,23.021059,525.6806346705494,103.425,11
0.0,0.004283169,0.9030136466026306,682791,2854,0.15419209,66.22286,1455.9440479278564,0.15419209,23.02173,510.64525925353126,99.425,11
0.0,0.0040130285,0.8725592941045761,685875,2863,0.15128185,69.14174,1462.624927997589,0.15128185,23.023373,522.3206468343199,101.0,9
0.0,0.013807317,0.8624974638223648,688920,2873,0.28634572,70.98007,1469.356633424759,0.28634572,23.02082,518.7507825250377,100.475,10
0.0,0.003786192,0.9037127420306206,691776,2883,0.14693289,71.404785,1476.0499591827393,0.14693289,23.017073,522.2625520159781,101.725,10
0.0,0.0042463685,0.8910282403230667,695034,2894,0.15703471,70.63196,1482.688482284546,0.15703471,23.019222,519.2407571811293,102.025,11
0.0,0.003942852,0.8956723287701607,698364,2905,0.14609677,67.08279,1489.4050776958466,0.14609677,23.022152,512.4116302081012,100.45,11
0.0,0.0038793986,0.8923868611454964,701610,2915,0.17581007,65.2054,1496.028421163559,0.17581007,23.0227,517.1523995904238,101.625,10
0.0,0.003988876,0.919555090367794,704892,2926,0.15089601,65.541214,1502.8319211006165,0.15089601,23.021797,512.59284093786,100.725,11
0.0,0.0038624324,0.8566461652517319,707967,2936,0.1601587,68.19025,1509.6186163425446,0.1601587,23.022478,521.9382451591649,101.975,10
0.0,0.013480388,0.8752396479249,711105,2944,0.29956934,71.218956,1516.31120967865,0.29956934,23.022955,546.5447733268722,107.975,8
0.0,0.0039524883,0.8531658202409744,714105,2952,0.15442905,73.1799,1523.0624513626099,0.15442905,23.02271,572.4451970096178,112.3,8
0.0,0.0040054657,0.8722997754812241,717069,2961,0.15566847,74.37841,1529.8159790039062,0.15566847,23.024187,583.620425269282,114.375,9
0.0,0.00400345,0.8839228004217148,720093,2972,0.13655633,71.75256,1536.534318447113,0.13655633,23.024239,570.9720917234204,112.925,11
0.0,0.0040621497,0.8848737254738808,723030,2982,0.16015032,68.4286,1543.1920320987701,0.16015032,23.025557,546.005637278567,106.4,10
0.0,0.00431345,0.8622675836086273,726189,2991,0.16306531,66.43151,1549.8691246509552,0.16306531,23.026611,526.2950103564062,102.45,9
0.0,0.004266523,0.8683429658412933,728967,3000,0.1532588,67.47689,1556.4208209514618,0.1532588,23.024412,528.6428476597739,102.1,9
0.0,0.004422001,0.8882306516170502,731973,3010,0.15986353,68.2944,1563.2855637073517,0.15986353,23.02197,544.0539238669382,104.85,10
0.0,0.0042476514,0.8235311955213547,735045,3020,0.16270211,67.7436,1570.0041749477386,0.16270211,23.021967,540.5146026511377,104.675,10
0.0,0.0041615744,0.8777188509702682,737856,3030,0.15259358,63.65394,1576.6843798160553,0.15259358,23.022041,518.442099486316,99.7,10
0.0,0.01457883,0.8767944872379303,740781,3040,0.29536492,62.468872,1583.3539307117462,0.29536492,23.015947,505.4666723250495,98.45,10
0.0,0.014480087,0.878986306488514,743976,3050,0.31679338,64.9198,1590.0132503509521,0.31679338,23.013018,511.5494826428118,100.025,10
0.0,0.0041592685,0.8650623708963394,747117,3060,0.15804256,64.88206,1596.5935430526733,0.15804256,23.012384,518.0377958590879,100.6,10
0.0,0.0041414183,0.8685622364282608,750267,3070,0.14100017,66.8903,1603.3509140014648,0.14100017,23.009342,534.7225289910755,103.425,10
0.0,0.014870262,0.8938032761216164,753729,3082,0.3126045,65.92432,1610.0471971035004,0.3126045,23.007082,530.1861355304276,102.425,12
0.0,0.004227887,0.8941159173846245,756546,3090,0.16414739,67.93257,1616.76127576828,0.16414739,23.00301,542.4442485101156,104.75,8
0.0,0.00441426,0.8567797988653183,759030,3098,0.18396226,68.29067,1623.4597396850586,0.18396226,22.99543,537.984213927494,104.5,8
0.0,0.004290167,0.8677190542221069,761874,3107,0.14967968,68.782715,1630.1891412734985,0.14967968,22.999495,536.774254517275,105.0,9
0.0,0.0038376492,0.8774033412337303,764886,3115,0.14283401,71.25203,1636.9168729782104,0.14283401,23.000553,554.7354964095805,109.125,8
0.0,0.0037744953,0.8715138584375381,768072,3124,0.15005079,72.81394,1643.378424167633,0.15005079,22.999289,587.7464045428937,114.45,9
0.0,0.00379343,0.887317843735218,771075,3135,0.1328156,70.16769,1649.9822223186493,0.1328156,22.99836,560.2356204320904,109.5,11
0.0,0.014724627,0.8622610419988632,773886,3143,0.33613485,73.15587,1656.5760440826416,0.33613485,23.001396,566.8345941221345,112.1,8
0.0,0.014854319,0.8905473053455353,776841,3152,0.2972005,70.744026,1663.135532617569,0.2972005,22.999754,548.0217970047788,108.15,9
0.0,0.0038322816,0.8964826241135597,779952,3163,0.14791164,66.85284,1669.783029794693,0.14791164,22.99388,514.1152720740904,101.675,11
0.0,0.0043306444,0.7879059761762619,783024,3171,0.16272405,68.82951,1676.3186810016632,0.16272405,22.993343,545.832886752949,107.45,8
