TimeElapsed,EpThisIter,surrgain,EpTrueRewMean,entropy,ev_tdlam_before,EpisodesSoFar,optimgain,EpRewMean,TimestepsSoFar,meankl,entloss,EpLenMean
1210.4745433330536,1,0.039520487,2277.3733947550636,2.4806619,0.006106197834014893,489,0.039520487,549.804,855906,0.011205359,0.0,631.475
1214.8118333816528,1,0.053997375,2291.384199580436,2.5071113,0.9743676129728556,490,0.053997375,550.9058,857424,0.010253777,0.0,635.6
1219.1573023796082,1,0.05732309,2230.1689879399482,2.5352502,0.9723727088421583,491,0.05732309,536.65515,858399,0.01209231,0.0,618.725
1223.4276628494263,2,0.05155746,2188.2122019164535,2.524487,0.9870414426550269,493,0.05155746,530.9768,862257,0.010846587,0.0,605.525
1227.6741707324982,2,0.043765027,2194.8254852728946,2.519207,0.7027397751808167,495,0.043765027,534.86865,867861,0.012223289,0.0,607.075
1231.9846279621124,4,0.06581554,1972.3551849310018,2.5467641,0.9784075058996677,499,0.06581554,487.2667,870609,0.01009514,0.0,545.8
1236.29651761055,3,0.068090156,1997.166999739471,2.4727578,0.9873143080621958,502,0.068090156,491.39005,874125,0.010467464,0.0,551.525
1240.5562357902527,2,0.049937554,1982.9977362258965,2.4167778,0.09011834859848022,504,0.049937554,487.44727,877311,0.011284285,0.0,549.25
1244.837574481964,2,0.05158039,1965.8391914096187,2.3762238,0.759897768497467,506,0.05158039,485.94424,881238,0.011095829,0.0,545.0
1249.0410726070404,2,0.057568662,2028.8658704765464,2.3441267,0.9826308432966471,508,0.057568662,500.41913,885306,0.012951262,0.0,561.975
1253.3057270050049,1,0.05185113,2086.820960838116,2.3923438,0.3265409469604492,509,0.05185113,513.23486,888306,0.011750014,0.0,578.75
1257.5932631492615,1,0.12115302,2096.7670859680543,2.3847625,0.9663016721606255,510,0.12115302,515.92865,891306,0.012243461,0.0,581.325
1261.7642505168915,1,0.06482902,2119.8156602803183,2.3741329,0.9460521228611469,511,0.06482902,520.6476,894045,0.012024928,0.0,587.65
1266.0468225479126,2,0.046066295,2077.6867905056133,2.3617375,0.7531638592481613,513,0.046066295,510.02557,897978,0.010874998,0.0,575.85
1270.312489748001,2,0.051742747,2159.5695559831606,2.362305,0.7411214709281921,515,0.051742747,526.7863,903870,0.010917177,0.0,596.975
1274.6577949523926,1,0.088548034,2095.8589449797128,2.328616,0.9901386462152004,516,0.088548034,513.69336,904647,0.012845751,0.0,578.45
1278.9761888980865,2,0.06246634,2090.8676431267054,2.3549469,0.9894700367003679,518,0.06246634,512.7875,907842,0.011646149,0.0,577.475
