meankl,EpLenMean,TimeElapsed,entloss,ev_tdlam_before,TimestepsSoFar,surrgain,EpRewMean,optimgain,EpTrueRewMean,EpisodesSoFar,entropy,EpThisIter
0.0078055332,26.153846153846153,7.158245086669922,0.0,0.30282700061798096,3060,0.0662557,28.092339,0.0662557,1.4198352574630686,39,8.475995,39
0.007041838,28.45,12.808784008026123,0.0,0.5506043136119843,6030,0.064474165,25.255312,0.064474165,2.7794377184325816,72,8.483198,33
0.006736314,43.0,17.976163864135742,0.0,0.5096608400344849,8847,0.06861212,35.633064,0.06861212,4.010725728167736,86,8.419509,14
0.005678893,58.975,23.133939027786255,0.0,0.6638482511043549,11601,0.06483887,47.91564,0.06483887,9.783749710332872,96,8.418501,10
0.0063146865,75.475,28.29218554496765,0.0,0.7730492055416107,14715,0.05658532,61.08602,0.05658532,15.001048826171441,107,8.38672,11
0.006719077,92.55,33.11654257774353,0.0,0.8599535077810287,17769,0.06691894,72.60283,0.06691894,17.89325645616939,115,8.347899,8
0.0059222523,103.45,37.889419078826904,0.0,0.8335288465023041,20721,0.060102016,82.42353,0.060102016,33.74674555471159,123,8.298632,8
0.0066268775,120.425,42.65261626243591,0.0,0.7508536130189896,23691,0.060359817,98.27552,0.060359817,63.49268737495031,128,8.291637,5
0.00611083,129.0,47.36921715736389,0.0,0.8761801421642303,25923,0.057366602,104.84763,0.057366602,74.5487739683173,131,8.295721,3
0.0067797685,142.675,51.96047806739807,0.0,0.8765703961253166,28722,0.0657243,113.02498,0.0657243,86.09370638669346,136,8.335464,5
0.006874634,151.075,56.33184099197388,0.0,0.891429141163826,31572,0.060553513,118.26021,0.060553513,105.19047117408456,143,8.344805,7
0.0061378954,159.225,60.75017714500427,0.0,0.7832047641277313,34362,0.06761002,122.66508,0.06761002,118.7546753416594,149,8.321519,6
0.0062645683,163.7,65.20976448059082,0.0,0.8731045871973038,37053,0.08068949,125.61977,0.08068949,143.57498430771994,154,8.34527,5
0.005892594,176.775,69.5694830417633,0.0,0.8898522108793259,40122,0.055353843,133.23428,0.055353843,166.27518631689435,158,8.306563,4
0.0063085696,207.075,74.0038230419159,0.0,0.8670418560504913,44259,0.06241192,150.3363,0.06241192,193.07795823972685,160,8.275391,2
0.0057051657,220.525,78.33080172538757,0.0,0.8008644431829453,47184,0.084493995,156.44087,0.084493995,210.51923690900185,163,8.290591,3
0.006030859,223.825,82.71004986763,0.0,0.910014770925045,50550,0.06288089,153.85118,0.06288089,216.735390080589,168,8.2874,5
0.006150107,221.2,87.15135955810547,0.0,0.9469091296195984,53721,0.063116044,150.37717,0.063116044,230.55882352993225,172,8.293157,4
0.006347835,249.825,91.68829226493835,0.0,0.9382895827293396,58338,0.05287153,163.3912,0.05287153,260.32399929932046,175,8.225097,3
0.006737154,284.275,96.08467602729797,0.0,0.8599703758955002,63339,0.06636158,177.9624,0.06636158,292.13283469692294,177,8.263186,2
0.005902908,306.425,100.4645688533783,0.0,0.757692739367485,66339,0.07499064,189.20816,0.07499064,316.1462186425078,178,8.264705,1
0.006852101,329.25,104.85946488380432,0.0,0.07671135663986206,69339,0.06364164,198.38895,0.06364164,338.18405370769733,179,8.29651,1
0.0064582494,338.35,109.19711112976074,0.0,0.8314444869756699,70692,0.082274586,202.5213,0.082274586,349.1860183408367,180,8.281802,1
0.007180043,358.35,113.56538963317871,0.0,-0.038055419921875,73692,0.05269671,207.89847,0.05269671,362.8962017308469,181,8.25502,1
0.0057289707,367.95,117.93436574935913,0.0,0.8955415189266205,76788,0.07434993,214.73203,0.07434993,383.71451260232834,185,8.228937,4
0.0067053325,381.475,122.3215274810791,0.0,0.9159527942538261,79518,0.08838064,224.62212,0.08838064,406.51529605564974,188,8.271117,3
0.006566392,391.525,126.66260600090027,0.0,0.868353471159935,82290,0.070661426,228.90947,0.070661426,418.16802051710346,191,8.278568,3
0.0063360822,402.4,131.09092450141907,0.0,0.8210673481225967,84570,0.07961814,234.09668,0.07961814,422.71711651829474,193,8.261905,2
0.0062066056,407.05,135.45790934562683,0.0,0.8716468662023544,87138,0.068598285,231.91599,0.068598285,419.343121530262,195,8.278875,2
0.006359078,427.275,139.81447458267212,0.0,0.4925702214241028,90702,0.05433474,238.06377,0.05433474,430.2985490722578,197,8.276808,2
0.0059924982,414.975,144.3528983592987,0.0,0.8457040786743164,94056,0.08322788,235.81735,0.08322788,438.12564295644097,200,8.30676,3
