EpTrueRewMean,EpisodesSoFar,surrgain,ev_tdlam_before,entropy,EpThisIter,TimestepsSoFar,EpRewMean,EpLenMean,TimeElapsed,meankl,optimgain,entloss
200.0,4221,0.0064210603,0.9568838812410831,0.43598947,5,807821,148.81454,200.0,3921.731984615326,0.003978431,0.0064210603,0.0
200.0,4226,0.013073975,0.9606270752847195,0.38731697,5,808821,147.64882,200.0,3927.2649869918823,0.008607365,0.013073975,0.0
200.0,4231,0.012159212,0.9729754086583853,0.40012842,5,809821,142.58635,200.0,3932.4274129867554,0.0068584587,0.012159212,0.0
200.0,4236,0.010565037,0.9603283740580082,0.3780666,5,810821,138.28647,200.0,3937.8653206825256,0.0053214896,0.010565037,0.0
200.0,4242,0.013711761,0.9602456577122211,0.3741162,6,812021,134.56393,200.0,3942.9415669441223,0.007768519,0.013711761,0.0
200.0,4247,0.011718348,0.9738066717982292,0.39927146,5,813021,131.86794,200.0,3947.915624141693,0.009778274,0.011718348,0.0
200.0,4252,0.018336944,0.9632244855165482,0.37399948,5,814021,129.75206,200.0,3953.068618774414,0.008723417,0.018336944,0.0
200.0,4257,0.0089305565,0.9723136629909277,0.40362608,5,815021,128.7214,200.0,3958.148578643799,0.0069995765,0.0089305565,0.0
200.0,4262,0.01284533,0.8402422517538071,0.3476767,5,816021,131.62137,200.0,3963.0141036510468,0.0069273636,0.01284533,0.0
200.0,4267,0.009174362,0.9678007401525974,0.41929445,5,817021,132.3296,200.0,3968.061888694763,0.008869486,0.009174362,0.0
200.0,4272,0.020427706,0.9550819918513298,0.40803403,5,818021,133.10886,200.0,3973.370944738388,0.007722724,0.020427706,0.0
200.0,4277,0.0151004065,0.9707262106239796,0.39960694,5,819021,133.9213,200.0,3978.8151314258575,0.0069977464,0.0151004065,0.0
200.0,4283,0.014762464,0.9288431853055954,0.368806,6,820221,136.1877,200.0,3984.5329246520996,0.00833186,0.014762464,0.0
200.0,4288,0.010506533,0.8967543244361877,0.37540394,5,821221,136.071,200.0,3990.4903984069824,0.0068233786,0.010506533,0.0
200.0,4293,0.005751992,0.9149568304419518,0.41398114,5,822221,136.87212,200.0,3995.260772228241,0.004000788,0.005751992,0.0
200.0,4298,0.015768077,0.8837457820773125,0.38628337,5,823221,138.52254,200.0,4000.2604553699493,0.00738001,0.015768077,0.0
200.0,4303,0.012157687,0.8688873797655106,0.3732261,5,824221,134.12178,200.0,4004.971738576889,0.0066164704,0.012157687,0.0
200.0,4308,0.006970235,0.8230781406164169,0.40760258,5,825221,131.7416,200.0,4010.134588241577,0.0056909276,0.006970235,0.0
199.25,4313,0.016555823,0.9169424325227737,0.37147,5,826191,129.87396,199.25,4015.5624940395355,0.0075610476,0.016555823,0.0
199.25,4319,0.011565453,0.9473869651556015,0.40801883,6,827391,128.0032,199.25,4020.5494680404663,0.00809668,0.011565453,0.0
199.25,4324,0.01834598,0.9617686718702316,0.4134912,5,828391,126.74544,199.25,4024.9475758075714,0.008234165,0.01834598,0.0
197.525,4329,0.021701131,0.9372004717588425,0.38447326,5,829322,125.75498,197.525,4030.549192428589,0.0081309825,0.021701131,0.0
197.525,4334,0.010872407,0.9739857073873281,0.41051552,5,830322,125.03937,197.525,4036.003438472748,0.0072449557,0.010872407,0.0
197.525,4339,0.009464102,0.9638240523636341,0.43451804,5,831322,122.731224,197.525,4041.018839120865,0.0072434857,0.009464102,0.0
197.125,4345,0.0117450105,0.9711337052285671,0.40985194,6,832506,124.307556,197.125,4045.884157896042,0.00674343,0.0117450105,0.0
197.6,4350,0.020865388,0.9649133533239365,0.4257192,5,833506,123.59501,197.6,4051.7105469703674,0.007967144,0.020865388,0.0
197.575,4355,0.018932426,0.9686525724828243,0.44850126,5,834494,124.792786,197.575,4057.4219212532043,0.0076969424,0.018932426,0.0
197.575,4360,0.010388494,0.977725263684988,0.42052844,5,835494,123.90332,197.575,4062.703254699707,0.005718252,0.010388494,0.0
198.325,4365,0.013352249,0.9648218266665936,0.42453325,5,836494,123.301,198.325,4067.4042913913727,0.007905381,0.013352249,0.0
198.4,4370,0.014779031,0.9774821605533361,0.43381017,5,837458,122.79856,198.4,4072.6301770210266,0.009322712,0.014779031,0.0
198.4,4375,0.020422718,0.9748597536236048,0.44801307,5,838458,122.74153,198.4,4077.4063725471497,0.006981794,0.020422718,0.0
198.4,4381,0.0119452635,0.9802412111312151,0.4445293,6,839658,123.32705,198.4,4083.100342273712,0.0080283955,0.0119452635,0.0
198.8,4386,0.016330281,0.960268210619688,0.41480538,5,840658,123.67271,198.8,4087.9321286678314,0.009720185,0.016330281,0.0
198.8,4391,0.013555496,0.9655082747340202,0.406673,5,841658,123.676575,198.8,4092.7295179367065,0.008240845,0.013555496,0.0
199.1,4396,0.01211761,0.9581011980772018,0.41689318,5,842658,123.983665,199.1,4098.010765075684,0.0066713933,0.01211761,0.0
199.1,4401,0.006836109,0.9377343840897083,0.40920871,5,843658,123.61611,199.1,4102.505928277969,0.0071669007,0.006836109,0.0
200.0,4406,0.0064188754,0.7815307527780533,0.34931672,5,844658,121.95337,200.0,4107.681343793869,0.0059606014,0.0064188754,0.0
200.0,4411,0.009069663,0.7997457087039948,0.33960533,5,845658,119.84434,200.0,4112.802343845367,0.0062090163,0.009069663,0.0
200.0,4416,0.010197039,0.7176371216773987,0.30910015,5,846658,116.412865,200.0,4118.710476160049,0.0064265104,0.010197039,0.0
200.0,4422,0.0049875593,0.7450397312641144,0.32859665,6,847858,110.29063,200.0,4123.454501867294,0.0043891403,0.0049875593,0.0
200.0,4427,0.013385591,0.7440312802791595,0.3282792,5,848858,105.15945,200.0,4128.833854198456,0.008022832,0.013385591,0.0
200.0,4432,0.009061508,0.31847959756851196,0.35329938,5,849858,98.33268,200.0,4132.849958658218,0.0073116445,0.009061508,0.0
200.0,4437,0.0073440713,0.27855801582336426,0.2984559,5,850858,90.38397,200.0,4137.437702417374,0.006706738,0.0073440713,0.0
200.0,4442,0.0075677037,-0.05164635181427002,0.31718135,5,851858,84.263374,200.0,4142.792523860931,0.006016218,0.0075677037,0.0
200.0,4447,0.003010489,0.17476528882980347,0.31611654,5,852858,77.07593,200.0,4148.1185665130615,0.0035159925,0.003010489,0.0
200.0,4452,0.011098305,0.021488189697265625,0.2906437,5,853858,70.84593,200.0,4153.41983127594,0.0077074645,0.011098305,0.0
200.0,4457,0.034716718,0.1655939221382141,0.3081091,5,854858,66.45497,200.0,4158.565230607986,0.0069801128,0.034716718,0.0
200.0,4463,0.012790901,0.10105156898498535,0.31877962,6,856058,66.93618,200.0,4163.471644878387,0.010306397,0.012790901,0.0
200.0,4468,0.00831144,0.06589400768280029,0.29920846,5,857058,68.79567,200.0,4168.002655267715,0.0070431186,0.00831144,0.0
200.0,4473,0.019553462,0.33220648765563965,0.30983663,5,858058,73.87761,200.0,4172.705290079117,0.010045395,0.019553462,0.0
200.0,4478,0.008789761,0.4650515913963318,0.2908578,5,859058,78.33972,200.0,4177.361942052841,0.0065736654,0.008789761,0.0
