TimestepsSoFar,EpRewMean,EpLenMean,TimeElapsed,ev_tdlam_before,surrgain,meankl,EpThisIter,entropy,EpisodesSoFar,entloss,EpTrueRewMean,optimgain
327375,547.97363,563.325,444.6499774456024,0.9611970782279968,0.050653618,0.009533557,2,3.2099087,324,0.0,1836.0326815662097,0.050653618
330375,545.9693,564.0,448.8298637866974,0.35419541597366333,0.04046323,0.008547766,1,3.1888099,325,0.0,1830.4820140934476,0.04046323
333375,549.12714,569.775,453.08708906173706,0.4275379776954651,0.044752534,0.008910429,1,3.1956577,326,0.0,1848.373797530164,0.044752534
334785,539.7162,557.675,457.3508973121643,0.8270440548658371,0.059440486,0.0089018075,1,3.1805797,327,0.0,1808.3099112189484,0.059440486
335610,536.1698,553.325,461.6665768623352,0.9278094172477722,0.09218815,0.008795844,1,3.1929345,328,0.0,1794.0613874507421,0.09218815
341286,541.34924,562.15,465.8825888633728,0.7761944532394409,0.048301667,0.0091612935,2,3.2524037,330,0.0,1820.8113736041912,0.048301667
344286,554.4498,579.95,470.16763138771057,0.8504735082387924,0.047822908,0.0116689615,1,3.3209443,331,0.0,1880.489574857315,0.047822908
345816,559.08185,586.5,474.3686580657959,0.9698991384357214,0.064862095,0.009546615,1,3.318298,332,0.0,1900.3059830535342,0.064862095
348816,571.621,599.65,478.63570523262024,-0.020133137702941895,0.04828293,0.008923512,1,3.2896736,333,0.0,1944.2618884510362,0.04828293
351816,575.50635,607.625,482.88258385658264,0.12854886054992676,0.038755134,0.009585205,1,3.3034887,334,0.0,1968.3502124247557,0.038755134
355806,578.8517,608.325,487.1021466255188,0.9688558783382177,0.05696867,0.0094568115,2,3.2569814,336,0.0,1970.5550216134554,0.05696867
357456,578.0509,605.35,491.43264651298523,0.9331485033035278,0.06216073,0.008960567,1,3.2703154,337,0.0,1962.435836604429,0.06216073
359127,592.2134,615.175,495.70609998703003,0.9519564434885979,0.05322715,0.010136057,1,3.222574,338,0.0,2001.0649236321929,0.05322715
362070,587.93787,601.625,499.9911952018738,0.9689147751778364,0.057798356,0.009437126,3,3.1582737,341,0.0,1959.377013751783,0.057798356
367320,596.32996,609.25,504.24109053611755,0.7335217893123627,0.04402262,0.009322603,2,3.174706,343,0.0,1987.838464985042,0.04402262
