entropy,TimeElapsed,meankl,EpThisIter,entloss,EpRewMean,EpTrueRewMean,TimestepsSoFar,optimgain,EpisodesSoFar,EpLenMean,surrgain,ev_tdlam_before
8.522081,7.169250726699829,0.007517907,46,0.0,20.50799,-0.275471486000353,3126,0.06699752,46,22.55,0.06699752,0.42944419384002686
8.4638815,12.83113980293274,0.007237331,28,0.0,30.086452,4.838752458502152,6243,0.06106585,74,34.05,0.06106585,0.4678565263748169
8.383245,18.0287983417511,0.0065378416,15,0.0,40.668518,8.779741608138298,9258,0.06387223,89,47.575,0.06387223,0.4539434313774109
8.331357,23.211490631103516,0.0058458387,10,0.0,56.60369,29.43153849661502,12342,0.05801958,99,64.3,0.05801958,0.6180754005908966
8.258656,28.37104034423828,0.0063998452,12,0.0,67.06803,34.50305649683072,15453,0.06463017,111,79.975,0.06463017,0.7366017699241638
8.259019,33.15898418426514,0.005988816,6,0.0,84.16447,64.05843601750777,18573,0.060267936,117,98.15,0.060267936,0.7321739494800568
8.211229,37.943729400634766,0.006064283,7,0.0,96.84517,84.17830429719808,21552,0.059978046,124,112.575,0.059978046,0.7625151723623276
8.185961,42.69402599334717,0.006466198,6,0.0,102.919495,91.07783709926971,24501,0.059672218,130,124.1,0.059672218,0.8566995114088058
8.1590605,47.474695682525635,0.0060664564,5,0.0,112.2755,105.13891382893075,27696,0.0758511,135,138.25,0.0758511,0.8482670783996582
8.137528,52.07422733306885,0.005572607,5,0.0,120.975975,121.31091740014851,30846,0.051954422,140,152.55,0.051954422,0.8895117491483688
8.148375,56.466715574264526,0.0067772106,7,0.0,130.89087,154.13777363864125,33969,0.07880592,147,161.45,0.07880592,0.9300687462091446
8.12251,60.87678408622742,0.005976842,5,0.0,139.14099,179.45924383105157,36807,0.062530935,152,174.1,0.062530935,0.9029656127095222
8.109675,65.30405688285828,0.0057953987,5,0.0,137.58145,190.3951597607653,39771,0.05811301,157,176.65,0.05811301,0.9334641918540001
8.122929,69.72248578071594,0.0064584743,5,0.0,138.30112,203.35984825577023,42846,0.068632975,162,184.025,0.068632975,0.9333250522613525
8.110001,74.08835434913635,0.006509248,3,0.0,141.39566,213.8211092856152,45324,0.07120328,165,194.2,0.07120328,0.8906164094805717
8.101426,78.53309082984924,0.006383571,4,0.0,145.04462,232.80690724835296,48003,0.06504558,169,203.025,0.06504558,0.8667834997177124
