optimgain,EpThisIter,meankl,surrgain,EpRewMean,TimeElapsed,ev_tdlam_before,EpTrueRewMean,TimestepsSoFar,EpLenMean,entropy,EpisodesSoFar,entloss
0.046850458,30,0.007327404,0.046850458,29.038061,34.57193088531494,0.18806540966033936,29.537785084736594,999,33.3,4.19981,30,0.0
0.045385867,22,0.008364208,0.045385867,32.35314,63.26909804344177,0.359984815120697,47.59851145583415,2050,42.025,4.209068,52,0.0
0.041607752,9,0.006421306,0.041607752,44.26179,90.81705069541931,0.6046754419803619,80.12395387607242,3155,61.475,4.215842,61,0.0
0.046477787,5,0.0063538956,0.046477787,60.54909,122.30065250396729,0.5324516892433167,109.71613050709568,4304,85.775,4.2066894,66,0.0
0.048894703,1,0.005282951,0.048894703,68.30223,149.50507593154907,0.8034359365701675,124.48567451402934,4724,95.975,4.1320643,67,0.0
0.03251349,2,0.0050317394,0.03251349,93.258026,178.8251030445099,0.26273471117019653,166.2490413884523,6431,137.075,4.0917077,69,0.0
0.041743234,2,0.005901972,0.041743234,111.22554,208.0601987838745,0.04402351379394531,194.79160127600093,7854,169.15,4.095297,71,0.0
0.037966356,2,0.0065484084,0.037966356,125.723145,235.84224271774292,0.4850298762321472,220.54702828852888,8961,195.225,4.1256824,73,0.0
0.052279428,3,0.005447434,0.052279428,135.01962,266.61448407173157,0.26983213424682617,237.97940133388147,9769,211.7,4.115143,76,0.0
0.038456086,1,0.0065820194,0.038456086,146.11263,292.9376654624939,-0.13154089450836182,259.346017825813,10769,234.725,4.140141,77,0.0
0.026266865,1,0.005153154,0.026266865,158.0144,322.30308294296265,0.008458197116851807,284.1172226792737,11769,259.375,4.0856557,78,0.0
0.0714809,1,0.005595471,0.0714809,167.66928,352.0598478317261,-0.23242294788360596,304.5600779644716,12769,281.25,4.133492,79,0.0
0.041174076,1,0.00586374,0.041174076,170.00784,379.57302379608154,0.9805110841989517,307.9499778192102,13048,287.1,4.0995884,80,0.0
0.051493227,1,0.004657849,0.051493227,173.4614,411.31324434280396,-0.1962275505065918,316.914821924061,13511,297.4,4.0913277,81,0.0
0.04087186,1,0.0049887723,0.04087186,181.29074,438.8048586845398,-0.04192018508911133,341.165940075905,14511,320.95,4.027883,82,0.0
0.028136197,1,0.0056228694,0.028136197,189.42531,468.62835693359375,-0.03422880172729492,365.7181435991644,15511,345.425,4.0370946,83,0.0
0.047493134,1,0.0049549127,0.047493134,196.21953,497.523606300354,-0.04393637180328369,388.66565000344684,16511,368.675,4.0436187,84,0.0
0.030960858,1,0.006655565,0.030960858,202.56503,525.6314713954926,-0.0006090402603149414,411.30343219255946,17511,392.1,4.036735,85,0.0
0.048403684,2,0.0072272266,0.048403684,213.51396,556.9490668773651,0.15607482194900513,447.9124350465947,19022,428.625,4.0275807,87,0.0
0.052193195,2,0.0060210354,0.052193195,227.15103,583.8738486766815,0.029238343238830566,492.5421178970012,20981,476.125,4.0262265,89,0.0
0.056039143,1,0.0086918995,0.056039143,233.43909,612.5476682186127,0.03168517351150513,512.1098374333249,21812,496.325,4.041616,90,0.0
0.051129308,1,0.005438034,0.051129308,238.28781,642.5972580909729,0.0855678915977478,531.9488185408293,22640,515.75,4.0445533,91,0.0
0.06454846,1,0.005471764,0.06454846,238.38828,669.9674837589264,0.6763410270214081,532.8040201899441,22739,517.225,4.0661716,92,0.0
0.046964552,1,0.0059122583,0.046964552,242.45879,699.1890981197357,-0.09669029712677002,553.2396573345086,23739,539.375,4.109123,93,0.0
0.042870156,1,0.006004317,0.042870156,242.7963,726.8463032245636,0.03186911344528198,570.0973637817544,24739,556.95,4.119901,94,0.0
0.06182496,2,0.0061100237,0.06182496,244.09131,755.1915817260742,0.7646714150905609,582.1214237167023,25482,569.775,4.0948367,96,0.0
0.046669073,2,0.006184615,0.046669073,249.64445,786.1298310756683,0.18269968032836914,610.7095013177652,26763,599.425,4.1398206,98,0.0
0.07827079,2,0.0070531997,0.07827079,249.18575,814.2993767261505,-0.3600207567214966,614.7074925069028,27352,608.4,4.152448,100,0.0
0.03291629,1,0.005994219,0.03291629,252.06306,843.9188077449799,0.008561193943023682,634.8492523862999,28352,629.925,4.164558,101,0.0
0.044497717,1,0.0064875493,0.044497717,251.46338,871.8268208503723,0.014756619930267334,649.5973349554133,29345,644.95,4.156336,102,0.0
0.05329016,3,0.0065827207,0.05329016,246.30351,899.5155138969421,0.4429088830947876,657.9136474590474,30482,656.425,4.1760364,105,0.0
0.05194323,1,0.006284014,0.05194323,250.53769,930.0999367237091,0.06871199607849121,682.1691078683272,31482,679.45,4.2030444,106,0.0
0.07362446,1,0.007010916,0.07362446,243.90703,956.8636531829834,0.15931552648544312,672.4636778448195,31699,674.375,4.216147,107,0.0
0.050042514,2,0.005611794,0.050042514,226.1855,987.3991460800171,0.3009932041168213,664.8869593159915,33083,666.3,4.2096715,109,0.0
0.05306064,1,0.005233466,0.05306064,219.14287,1015.5193326473236,-0.12993860244750977,670.080336614409,34083,668.025,4.2061257,110,0.0
0.05362137,1,0.0060968157,0.05362137,218.84929,1044.1633670330048,-0.20534181594848633,686.3585918844831,35083,680.725,4.208744,111,0.0
0.063412674,2,0.0066069094,0.063412674,210.0684,1074.2066848278046,0.721649557352066,692.7801042118255,36221,681.5,4.2140746,113,0.0
0.056860764,6,0.0073095122,0.056860764,176.92317,1101.0410192012787,0.6104701161384583,644.3375526813886,37423,616.35,4.2138295,119,0.0
0.0684829,3,0.0065700994,0.0684829,171.76312,1131.3209886550903,0.565400630235672,642.2814635001529,38445,598.35,4.2262535,122,0.0
