TimeElapsed,EpTrueRewMean,surrgain,EpLenMean,TimestepsSoFar,ev_tdlam_before,meankl,entloss,optimgain,EpThisIter,EpRewMean,entropy,EpisodesSoFar
1397.392441034317,511.6949668302368,0.30264944,101.975,762522,0.8678961843252182,0.013994648,0.0,0.30264944,10,511.6949668302368,23.410822,3265
1403.1711595058441,514.0911064217642,0.28767675,103.025,765495,0.8933306187391281,0.01424606,0.0,0.28767675,9,514.0911064217642,23.409914,3274
1408.932908296585,508.1930227759952,0.15660736,102.275,768726,0.8562491685152054,0.0040235985,0.0,0.15660736,10,508.1930227759952,23.40869,3284
1414.6665842533112,520.2014834511267,0.17328054,105.075,771783,0.8865465298295021,0.004075435,0.0,0.17328054,10,520.2014834511267,23.406803,3294
1420.4428417682648,512.7828262915568,0.13868089,103.05,774687,0.8863030076026917,0.004029458,0.0,0.13868089,10,512.7828262915568,23.40745,3304
1426.0969343185425,490.48195823593267,0.14632146,97.95,777777,0.8717901259660721,0.004000647,0.0,0.14632146,11,490.48195823593267,23.40478,3315
1431.824184179306,491.31837411923436,0.13912463,97.55,780834,0.840990349650383,0.0038912315,0.0,0.13912463,10,491.31837411923436,23.410467,3325
1437.5615046024323,487.74562470717103,0.27078208,97.7,783837,0.9007815644145012,0.014250115,0.0,0.27078208,10,487.74562470717103,23.41113,3335
1443.3227753639221,505.892051387463,0.1405353,101.125,787011,0.9016291722655296,0.004309762,0.0,0.1405353,10,505.892051387463,23.41144,3345
1448.9858829975128,507.9813576918432,0.13311042,102.275,790050,0.8728246092796326,0.00386189,0.0,0.13311042,10,507.9813576918432,23.410177,3355
1454.6929919719696,491.89978104556866,0.2673759,99.475,793254,0.9169260114431381,0.014970148,0.0,0.2673759,12,491.89978104556866,23.413065,3367
1460.3551292419434,480.7274742324729,0.15541029,96.325,796302,0.8984508812427521,0.004129753,0.0,0.15541029,11,480.7274742324729,23.41253,3378
1465.9873776435852,456.1737812831986,0.14957586,91.1,799392,0.929192990064621,0.0039055273,0.0,0.14957586,11,456.1737812831986,23.412846,3389
1471.623884677887,485.6373079713829,0.32272607,96.45,802914,0.8741747736930847,0.014801178,0.0,0.32272607,11,485.6373079713829,23.411882,3400
1477.201915025711,481.362015857456,0.14653231,96.475,805944,0.8966502919793129,0.0040094126,0.0,0.14653231,11,481.362015857456,23.403486,3411
1482.879508972168,505.0114814647921,0.1418817,101.4,809166,0.8962822034955025,0.003789577,0.0,0.1418817,10,505.0114814647921,23.400698,3421
1488.4619617462158,495.6903874846322,0.14509454,99.75,812118,0.9068820104002953,0.004249534,0.0,0.14509454,10,495.6903874846322,23.39689,3431
1494.141167640686,499.3959116483296,0.1576114,100.2,814938,0.93016417324543,0.004418819,0.0,0.1576114,9,499.3959116483296,23.396894,3440
1499.790007352829,535.8820854497895,0.14933456,105.15,818322,0.9111974537372589,0.0040654195,0.0,0.14933456,10,535.8820854497895,23.397772,3450
1505.3928711414337,526.2636941178886,0.14690758,102.575,821475,0.8825227320194244,0.0042774947,0.0,0.14690758,11,526.2636941178886,23.395021,3461
1511.0103096961975,520.1021390685021,0.15039667,101.3,824532,0.9343126267194748,0.0045118495,0.0,0.15039667,11,520.1021390685021,23.397135,3472
1516.6247596740723,515.2827531245057,0.3840309,101.875,827484,0.8834971264004707,0.014398916,0.0,0.3840309,9,515.2827531245057,23.39557,3481
1522.3088562488556,500.36708560416184,0.1741589,99.35,830811,0.9118326306343079,0.004302173,0.0,0.1741589,11,500.36708560416184,23.386148,3492
1527.8783869743347,509.63736218402846,0.15391254,101.1,834087,0.9114511609077454,0.0040460876,0.0,0.15391254,11,509.63736218402846,23.38568,3503
1533.4707806110382,501.45410024293705,0.13820899,99.925,837162,0.9085258767008781,0.0037957153,0.0,0.13820899,11,501.45410024293705,23.384682,3514
1539.0828244686127,507.44173095563093,0.15417397,100.175,840066,0.887730598449707,0.0039238823,0.0,0.15417397,9,507.44173095563093,23.38275,3523
1544.5335204601288,503.1131530715076,0.15623376,100.3,843174,0.8894495442509651,0.004129231,0.0,0.15623376,10,503.1131530715076,23.380125,3533
1550.187294960022,504.7576958639294,0.14934285,100.975,846204,0.8847944438457489,0.003975752,0.0,0.14934285,10,504.7576958639294,23.377035,3543
1555.7327027320862,516.4004831394528,0.28498805,102.55,849237,0.9028521925210953,0.014769811,0.0,0.28498805,10,516.4004831394528,23.377947,3553
1561.3039836883545,524.4124551189987,0.1487329,103.575,852204,0.9159726426005363,0.0039463714,0.0,0.1487329,9,524.4124551189987,23.380613,3562
1566.958086013794,538.9045836240936,0.15164188,105.35,855210,0.8694641143083572,0.004245436,0.0,0.15164188,10,538.9045836240936,23.380796,3572
1572.5684456825256,540.3231223613986,0.16060668,104.7,858186,0.8642903864383698,0.0044083465,0.0,0.16060668,9,540.3231223613986,23.381655,3581
1578.2548356056213,533.2092595568488,0.16228715,104.025,861183,0.913992665708065,0.0041401526,0.0,0.16228715,10,533.2092595568488,23.382246,3591
1583.7988543510437,532.8533739755585,0.30260688,105.55,864147,0.8996377736330032,0.014594012,0.0,0.30260688,9,532.8533739755585,23.381365,3600
1589.305656194687,515.3917568711225,0.14740208,103.475,867054,0.8780555054545403,0.0045789513,0.0,0.14740208,10,515.3917568711225,23.380678,3610
1594.936350107193,488.1976557914219,0.13554554,98.425,869997,0.8837545737624168,0.004341691,0.0,0.13554554,11,488.1976557914219,23.379644,3621
1600.5191986560822,497.748353697027,0.15464538,99.65,873141,0.8931331485509872,0.0044738585,0.0,0.15464538,10,497.748353697027,23.381086,3631
1606.2479598522186,477.09027755951536,0.26824385,95.95,876342,0.9081563800573349,0.014115254,0.0,0.26824385,11,477.09027755951536,23.38354,3642
1611.7517387866974,490.06927465395813,0.14161527,97.925,879570,0.8718702495098114,0.0038523139,0.0,0.14161527,11,490.06927465395813,23.3821,3653
1617.281336069107,510.037233572761,0.17135817,100.325,882687,0.9009392932057381,0.0044140816,0.0,0.17135817,10,510.037233572761,23.383528,3663
1622.9418947696686,509.13139834789655,0.16302758,100.35,885732,0.8731964826583862,0.004065971,0.0,0.16302758,10,509.13139834789655,23.38304,3673
1628.4218895435333,491.47023451565775,0.14685117,96.425,888858,0.8935293033719063,0.00425563,0.0,0.14685117,12,491.47023451565775,23.38371,3685
