entropy,meankl,optimgain,EpThisIter,EpRewMean,TimestepsSoFar,ev_tdlam_before,EpLenMean,EpTrueRewMean,EpisodesSoFar,entloss,surrgain,TimeElapsed
6.193829,0.010318547,0.1015892,3,673.50415,744063,0.9303182512521744,683.9,2011.325969099006,677,0.0,0.1015892,1070.7185521125793
6.190289,0.010266511,0.08099021,1,686.5115,747063,0.016939520835876465,701.025,2052.628989558812,678,0.0,0.08099021,1075.061378479004
6.215276,0.010447247,0.09626645,2,714.3839,751953,0.5351349711418152,730.85,2143.725476053723,680,0.0,0.09626645,1079.43918967247
6.1790166,0.0104163885,0.087580554,1,717.9775,754953,0.05684572458267212,734.125,2150.620102522924,681,0.0,0.087580554,1083.7357332706451
6.120906,0.011795023,0.09989382,3,680.45,758907,0.5940402746200562,694.625,2023.6436444917326,684,0.0,0.09989382,1088.1156373023987
6.1691437,0.013269916,0.12494473,1,697.3058,761907,-0.2950209379196167,713.625,2079.72163847161,685,0.0,0.12494473,1092.5456492900848
6.16618,0.011769075,0.101975806,2,686.16046,765222,0.30614912509918213,702.375,2041.2040936173253,687,0.0,0.101975806,1096.8918294906616
6.134827,0.009741906,0.085175626,1,688.48413,768222,0.035595476627349854,705.875,2049.5597110749163,688,0.0,0.085175626,1101.2665252685547
6.054867,0.01227738,0.11334335,1,686.5426,770871,0.7073388695716858,702.95,2044.2786021530428,689,0.0,0.11334335,1105.7043232917786
6.0405693,0.010176239,0.124169394,2,663.40625,773409,0.8809702172875404,677.35,1970.6583205929771,691,0.0,0.124169394,1110.0984847545624
6.002991,0.010636493,0.10783295,2,660.6698,776715,0.9369325265288353,672.575,1962.1030717780334,693,0.0,0.10783295,1114.4892885684967
6.012081,0.010584171,0.13951552,2,665.9754,778974,0.9258326217532158,675.175,1970.7403413418258,695,0.0,0.13951552,1118.867635011673
6.006977,0.01082815,0.10161181,2,675.57245,783657,0.9365665167570114,681.75,2004.4525485541744,697,0.0,0.10161181,1123.3078742027283
5.9505563,0.012887606,0.11661713,1,685.2829,786657,0.20091181993484497,692.55,2039.6601846862031,698,0.0,0.11661713,1127.7063574790955
5.8714647,0.003967637,0.07310483,1,681.9127,789015,0.8771644532680511,687.2,2035.6825436779022,699,0.0,0.07310483,1132.1181404590607
5.831034,0.012275247,0.09568682,3,669.3932,794274,0.8141284883022308,674.125,2015.4888461126786,702,0.0,0.09568682,1136.5377750396729
5.7491617,0.00909818,0.07550907,2,675.05945,798735,0.6443587839603424,679.9,2040.1397685686302,704,0.0,0.07550907,1140.9677238464355
5.767964,0.011498962,0.24476388,2,675.51624,802668,0.8738458305597305,677.425,2047.1054470305112,706,0.0,0.24476388,1145.4022192955017
5.724853,0.011243567,0.10380798,1,693.5486,805668,-0.17293059825897217,692.3,2116.3165237583576,707,0.0,0.10380798,1149.7741634845734
5.764266,0.010556357,0.11027223,2,691.2832,809202,0.8612498492002487,692.725,2114.290962571617,709,0.0,0.11027223,1154.2081396579742
5.7205796,0.010341639,0.11447103,1,690.16034,811938,0.9058563262224197,690.525,2116.7200096018323,710,0.0,0.11447103,1158.5957570075989
5.6839643,0.012420846,0.09591423,1,689.6032,814938,0.1422625184059143,693.05,2126.786339873704,711,0.0,0.09591423,1162.9907228946686
5.6808467,0.011057373,0.0958628,1,693.62,817938,0.31208473443984985,693.05,2148.313044831434,712,0.0,0.0958628,1167.4195356369019
5.631697,0.010922147,0.08686948,2,687.723,823032,0.6560328006744385,685.5,2137.7257265276094,714,0.0,0.08686948,1171.8138644695282
5.613809,0.009668466,0.08094935,1,700.2593,826032,0.08243173360824585,701.55,2180.426136189837,715,0.0,0.08094935,1176.2130987644196
5.597902,0.01223877,0.102595724,2,714.91125,830277,0.6354961097240448,718.45,2224.8448714855294,717,0.0,0.102595724,1180.6328189373016
5.573896,0.010702829,0.12603441,2,705.36035,834453,0.9314222782850266,703.25,2192.5812487486714,719,0.0,0.12603441,1185.0168170928955
5.5693364,0.0118441265,0.11203116,1,693.18933,834966,0.9112400114536285,691.775,2148.353734629054,720,0.0,0.11203116,1189.4532980918884
5.575212,0.012068019,0.10036939,2,670.99493,838419,0.17984813451766968,670.55,2078.9301343679385,722,0.0,0.10036939,1193.895652770996
5.5887446,0.011787769,0.07978201,1,694.2585,841419,0.024915218353271484,693.8,2156.237353063033,723,0.0,0.07978201,1198.3326184749603
5.578531,0.010780609,0.081508294,1,714.16296,844419,-0.09071552753448486,712.6,2227.9402990773806,724,0.0,0.081508294,1202.745834827423
5.5693965,0.013881344,0.082026675,2,700.8576,848667,0.7037581503391266,698.0,2187.276248010095,726,0.0,0.082026675,1207.186891078949
5.5584702,0.011513774,0.11608277,2,695.50745,851349,0.9319681376218796,692.725,2171.919285526766,728,0.0,0.11608277,1211.609576702118
5.544661,0.014632596,0.1275259,1,694.52124,853947,0.9692416023463011,692.3,2169.4792162304257,729,0.0,0.1275259,1216.072437286377
5.5313544,0.010767267,0.1104516,3,703.0644,859464,0.6107407212257385,700.8,2202.238524319102,732,0.0,0.1104516,1220.4861471652985
5.556867,0.011770539,0.12599874,2,701.11456,861990,0.9419212564826012,701.1,2198.26081638273,734,0.0,0.12599874,1224.9135391712189
5.552241,0.010504619,0.10842192,1,714.03265,864303,0.6435792446136475,711.075,2242.849655419081,735,0.0,0.10842192,1229.3232791423798
5.4884815,0.010086644,0.084996976,1,713.4064,867303,-0.039288878440856934,711.85,2245.7344344598964,736,0.0,0.084996976,1233.752406835556
5.5120063,0.010106707,0.093537,2,699.97363,870513,0.8589118123054504,698.8,2199.835648149658,738,0.0,0.093537,1238.2171545028687
5.452516,0.010559307,0.101030394,2,684.21405,873741,0.8599182963371277,681.05,2146.2654038896712,740,0.0,0.101030394,1242.5949711799622
5.429438,0.010359475,0.10018674,1,707.3625,876741,0.1562708020210266,704.325,2220.590789148523,741,0.0,0.10018674,1247.0033569335938
5.449214,0.011340043,0.09359799,1,714.2517,879741,-0.08028697967529297,712.225,2240.5260600837087,742,0.0,0.09359799,1251.458872795105
5.4241376,0.011813849,0.094457574,2,705.44763,883194,0.6536706984043121,703.825,2211.803997277352,744,0.0,0.094457574,1255.851480960846
5.4028378,0.012471195,0.12883735,3,685.8087,887502,0.9041720703244209,681.95,2154.9743537187487,747,0.0,0.12883735,1260.2177758216858
5.417986,0.010300535,0.09344423,1,693.35626,890502,0.01669001579284668,690.05,2182.459958091881,748,0.0,0.09344423,1264.5993385314941
