meankl,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,surrgain,EpThisIter,TimeElapsed,entloss,EpLenMean,entropy,EpRewMean,EpisodesSoFar,optimgain
0.010845702,0.9802611544728279,834831,2545.213154015413,0.05438025,3,13570.870289802551,0.0,715.125,1.424733,424.1241,1473,0.05438025
0.0111059025,0.9313125759363174,835561,2523.6708013420457,0.053644728,1,13580.741003990173,0.0,708.375,1.4377202,420.81964,1474,0.053644728
0.010725806,0.9815778993070126,836733,2536.012662141854,0.056980103,3,13590.304718732834,0.0,711.2,1.4119643,423.1061,1477,0.056980103
0.010404228,0.9548465050756931,837795,2389.285575929879,0.06824421,3,13599.962968587875,0.0,670.775,1.4103057,399.27783,1480,0.06824421
0.011439141,0.9581418111920357,839600,2223.675956667697,0.0676814,4,13609.582008600235,0.0,621.975,1.3799825,372.45908,1484,0.0676814
0.009887845,0.8739206939935684,841014,2051.071731876279,0.05052936,4,13619.52367067337,0.0,572.55,1.3659194,345.60318,1488,0.05052936
0.011172323,0.9701689537614584,841804,2036.2381677884077,0.070381865,1,13629.217221736908,0.0,567.3,1.3483077,343.07648,1489,0.070381865
0.010925348,0.9660446010529995,843191,2035.2957895244533,0.0707882,2,13638.736195087433,0.0,565.75,1.3792897,341.2848,1491,0.0707882
0.010844583,0.9696910213679075,843925,2074.979742490903,0.061426736,1,13648.436651229858,0.0,576.375,1.3666015,346.35147,1492,0.061426736
0.011211892,0.9578716531395912,844990,2075.1638714744427,0.05965272,2,13658.145190238953,0.0,576.1,1.3836478,344.38165,1494,0.05965272
0.010141101,0.9834502562880516,846315,2073.3716292560903,0.059416994,2,13668.509322166443,0.0,574.725,1.3808501,342.71402,1496,0.059416994
0.01018022,0.030239641666412354,847315,2072.9219428407146,0.04573431,1,13681.042986392975,0.0,574.725,1.3774701,343.21075,1497,0.04573431
0.011161792,0.8012588918209076,848708,2065.176511714653,0.05200182,2,13690.674253463745,0.0,572.775,1.3793552,340.32275,1499,0.05200182
0.011219566,0.8462944328784943,850566,2010.8683857781366,0.050842047,3,13700.380845069885,0.0,558.325,1.3790958,327.64062,1502,0.050842047
0.010357643,0.5525305569171906,851566,2005.8052541601223,0.05303231,1,13710.07295179367,0.0,558.4,1.3589221,325.18842,1503,0.05303231
0.011984248,0.32616662979125977,852566,2006.6484548990848,0.042401765,1,13719.71804523468,0.0,558.4,1.3420827,325.5225,1504,0.042401765
0.009800305,0.9655128568410873,853134,1976.6416319326163,0.06767992,2,13729.369617700577,0.0,550.5,1.3356421,317.3687,1506,0.06767992
0.010670835,0.9577096179127693,853843,1952.9843687136804,0.062448412,1,13739.337080478668,0.0,543.225,1.339098,312.16132,1507,0.062448412
0.010694839,0.06933087110519409,854843,2003.497181329636,0.04473356,1,13748.858915090561,0.0,557.825,1.3304634,319.07016,1508,0.04473356
0.0123043135,0.7568561136722565,856216,2045.546281549147,0.05442093,2,13758.618826627731,0.0,570.125,1.3011341,323.2254,1510,0.05442093
0.009954028,0.35156381130218506,857216,2081.882853289666,0.042504843,1,13768.20130777359,0.0,580.8,1.2996892,327.4715,1511,0.042504843
0.008975498,0.002912282943725586,858216,2114.272210580117,0.03404647,1,13777.736687660217,0.0,590.6,1.296194,331.6303,1512,0.03404647
0.012293922,0.7383596301078796,859421,2132.0288045899165,0.046311624,2,13787.382378101349,0.0,596.5,1.2789866,333.48785,1514,0.046311624
0.011459027,0.9830315187573433,860916,2190.6203056772547,0.05235606,2,13797.137850046158,0.0,612.275,1.2790431,342.36002,1516,0.05235606
0.010375635,0.03116852045059204,861916,2253.166044647488,0.046218053,1,13806.8097281456,0.0,629.575,1.2508374,351.8727,1517,0.046218053
0.009988244,0.5164789855480194,862916,2327.274080667001,0.049527794,1,13816.44548535347,0.0,650.275,1.2722727,363.06146,1518,0.049527794
0.0120344525,0.9775772448629141,863124,2283.808423901569,0.07110968,1,13826.12529015541,0.0,638.8,1.2462198,356.48502,1519,0.07110968
0.010699533,0.011966526508331299,864124,2354.745341424259,0.047453437,1,13835.843223333359,0.0,658.225,1.2411081,367.5276,1520,0.047453437
0.011293132,-0.004587054252624512,865124,2369.820210383059,0.042313144,1,13845.655316591263,0.0,663.225,1.2487041,370.49628,1521,0.042313144
0.010430785,0.07383078336715698,866124,2426.0858526740767,0.048777185,1,13855.605784893036,0.0,679.35,1.2542125,379.6679,1522,0.048777185
0.010874374,0.9644412323832512,866980,2447.839651781497,0.068298645,2,13865.40282869339,0.0,684.5,1.2948303,383.89694,1524,0.068298645
0.01055653,0.9658548161387444,867728,2446.3857069062615,0.06913156,2,13875.087673425674,0.0,683.1,1.291767,383.996,1526,0.06913156
0.0099023245,0.03439420461654663,868728,2508.4613839545204,0.04416734,1,13884.69575047493,0.0,700.65,1.2913752,394.83112,1527,0.04416734
0.011840261,0.9876296147704124,869447,2547.1315157334147,0.06772575,1,13894.379014968872,0.0,710.825,1.2947618,401.27725,1528,0.06772575
0.010297619,-0.005390524864196777,870447,2562.4927139317747,0.046029035,1,13904.152116060257,0.0,716.075,1.2940675,404.5037,1529,0.046029035
0.012098466,-0.011268258094787598,871447,2588.1112971701787,0.039258182,1,13914.09880566597,0.0,723.925,1.3247346,408.9063,1530,0.039258182
0.010586223,-0.03196680545806885,872447,2612.319653416675,0.04482714,1,13927.104789733887,0.0,731.4,1.3380547,413.33325,1531,0.04482714
0.010495252,0.7595555186271667,874078,2616.010923752815,0.043500178,2,13937.011680364609,0.0,733.225,1.3255187,414.635,1533,0.043500178
0.0116373645,0.9795638062059879,874618,2644.2880853194483,0.06235979,1,13946.664087057114,0.0,740.7,1.311201,419.7919,1534,0.06235979
0.010824731,0.035664141178131104,875618,2694.967792993239,0.034185544,1,13956.342778921127,0.0,755.225,1.3397915,427.4295,1535,0.034185544
0.01209466,-0.022383809089660645,876618,2700.5302486424225,0.04284677,1,13966.012061834335,0.0,757.575,1.3635548,428.67514,1536,0.04284677
0.010596895,0.06391113996505737,877618,2700.3899353620923,0.039211806,1,13976.169682502747,0.0,757.575,1.3765895,427.89923,1537,0.039211806
0.014627634,0.7071678936481476,879128,2712.9453667263747,0.048611894,2,13985.887969970703,0.0,760.5,1.3844374,429.24237,1539,0.048611894
0.013194416,0.09296220541000366,880128,2713.445510231961,0.055565096,1,13995.506455659866,0.0,760.5,1.3692126,428.3106,1540,0.055565096
0.011029302,0.04882913827896118,881128,2770.728000124407,0.0332765,1,14005.352568387985,0.0,776.875,1.3903569,436.3465,1541,0.0332765
0.0130837625,-0.03967940807342529,882128,2813.324959686456,0.03969175,1,14015.033294677734,0.0,789.05,1.3816364,442.87823,1542,0.03969175
0.014671994,0.27706098556518555,883128,2813.3485164991093,0.046762444,1,14024.698625802994,0.0,789.05,1.3877721,441.57794,1543,0.046762444
0.010837577,0.18417829275131226,884128,2812.513896338646,0.04340984,1,14034.398363351822,0.0,789.05,1.3889073,439.87564,1544,0.04340984
0.0106197065,0.5723589956760406,885798,2910.4091921858076,0.041675746,2,14044.149818181992,0.0,816.6,1.4026849,453.93936,1546,0.041675746
0.012955534,0.7422719895839691,887078,2869.769024549002,0.040636275,2,14053.691927671432,0.0,805.875,1.4289302,446.6364,1548,0.040636275
0.014800747,-0.010164737701416016,888078,2869.400058902576,0.03880448,1,14063.228346586227,0.0,805.875,1.3995141,445.2872,1549,0.03880448
0.011020964,0.7549715489149094,889308,2856.1051855447454,0.0428804,2,14072.886395931244,0.0,802.3,1.3776027,442.84137,1551,0.0428804
0.013252044,0.7467215061187744,890517,2785.4112842480718,0.04932954,2,14082.576619386673,0.0,782.525,1.3816571,430.56088,1553,0.04932954
0.010608703,0.04282301664352417,891517,2856.6145152360577,0.04720021,1,14092.46533870697,0.0,802.4,1.3860784,440.17465,1554,0.04720021
0.012462837,0.0572170615196228,892517,2863.155063869225,0.04435855,1,14102.283215999603,0.0,805.0,1.3927708,440.2169,1555,0.04435855
0.011683204,0.7401061952114105,893725,2825.7875716046133,0.04929351,2,14112.109615325928,0.0,795.225,1.3780688,432.18423,1557,0.04929351
0.010073766,-0.025631070137023926,894725,2825.7176788962856,0.04480549,1,14121.799612998962,0.0,795.225,1.3971839,430.99042,1558,0.04480549
0.011690814,0.00571209192276001,895725,2896.525919641018,0.0421666,1,14131.411686897278,0.0,815.025,1.3843147,440.30215,1559,0.0421666
0.010880437,0.0864763855934143,896725,2896.2397884024517,0.050177395,1,14141.074844837189,0.0,815.025,1.3952127,438.8116,1560,0.050177395
0.010951145,-0.07267642021179199,897725,2896.106453518409,0.041517407,1,14150.749926567078,0.0,815.025,1.4179413,437.07977,1561,0.041517407
0.012367748,-0.049996376037597656,898725,2895.9873818069836,0.045189563,1,14160.723676919937,0.0,815.025,1.376033,435.23975,1562,0.045189563
0.014766663,0.7446991801261902,899956,2924.80717635213,0.049796164,2,14173.481677055359,0.0,824.4,1.3598679,437.9619,1564,0.049796164
0.011281095,0.9847089070826769,900722,2945.513819494853,0.05615373,1,14183.174922466278,0.0,830.0,1.3837014,440.38028,1565,0.05615373
0.011076723,-0.05091679096221924,901722,3016.6591979211976,0.047592685,1,14192.996534824371,0.0,849.85,1.4030095,450.4541,1566,0.047592685
0.010245904,0.9871682589873672,903082,2986.2557622414915,0.059382193,2,14202.605052232742,0.0,840.875,1.4171033,443.64355,1568,0.059382193
0.011377825,-0.0003266334533691406,904082,2986.6148976587256,0.04192837,1,14212.431087970734,0.0,840.875,1.40899,442.22598,1569,0.04192837
0.010803256,0.23682183027267456,905082,2987.202518998889,0.0546094,1,14222.361007213593,0.0,840.875,1.3902665,441.24774,1570,0.0546094
0.012052772,0.005962967872619629,906082,2987.708308554639,0.04099509,1,14231.947803735733,0.0,840.875,1.4092243,439.95013,1571,0.04099509
0.012907782,-0.0135575532913208,907082,2988.072636275219,0.04558666,1,14241.629562854767,0.0,840.875,1.4171764,438.77286,1572,0.04558666
0.010896086,0.0253525972366333,908082,3019.557820131041,0.03995779,1,14251.367805242538,0.0,850.1,1.4714586,442.49698,1573,0.03995779
0.011334583,0.006079673767089844,909082,3058.1570981183263,0.03879928,1,14261.095155954361,0.0,861.6,1.4465495,446.70312,1574,0.03879928
0.012092053,0.9842566922307014,909595,2927.799881009168,0.063859776,2,14270.670538663864,0.0,824.425,1.443855,426.3542,1576,0.063859776
0.011750728,0.8064250648021698,910889,2867.3242898376056,0.058943134,2,14280.38002705574,0.0,806.775,1.4168931,416.6832,1578,0.058943134
0.010865489,0.05863887071609497,911889,2908.316180378778,0.042335436,1,14290.130775213242,0.0,819.025,1.4238795,421.2216,1579,0.042335436
0.011785524,0.7330051064491272,913296,2858.6653598823004,0.048465967,2,14299.73135471344,0.0,804.2,1.4485456,413.5882,1581,0.048465967
0.013196969,0.03259599208831787,914296,2858.2359249764118,0.03754119,1,14309.303160905838,0.0,804.2,1.4384698,412.1241,1582,0.03754119
0.01100641,0.9721381142735481,914587,2796.41245878888,0.061342284,1,14319.08252286911,0.0,786.475,1.4393659,403.80206,1583,0.061342284
