meankl,TimeElapsed,ev_tdlam_before,EpRewMean,EpLenMean,entropy,surrgain,EpTrueRewMean,optimgain,TimestepsSoFar,entloss,EpThisIter,EpisodesSoFar
0.0075402563,9.274178266525269,0.48784929513931274,25.388157,22.55,8.51619,0.060644858,-0.7306911346405679,0.060644858,3126,0.0,46,46
0.006442055,17.046725034713745,0.3195604085922241,39.362278,33.425,8.445736,0.06251309,4.359603731020748,0.06251309,6150,0.0,27,73
0.0066769263,24.734829902648926,0.47532546520233154,54.23768,46.55,8.399662,0.059768043,11.301756510666527,0.059768043,9225,0.0,19,92
0.006847011,32.17662286758423,0.5920097529888153,68.57109,59.825,8.368298,0.06156325,12.218728967518015,0.06156325,12321,0.0,12,104
0.006743073,39.068344593048096,0.7659766525030136,87.06163,76.85,8.329648,0.06886779,15.155467262983558,0.06886779,15372,0.0,9,113
0.006236194,46.049166202545166,0.8622375875711441,100.126144,90.25,8.278489,0.05962173,9.31842676020157,0.05962173,18414,0.0,8,121
0.0063403207,52.274914264678955,0.8503882735967636,115.4584,106.975,8.2616415,0.07131386,7.904031923855314,0.07131386,21774,0.0,9,130
0.005321053,57.32695770263672,0.910615049302578,123.51748,117.25,8.2390585,0.063690014,7.561590935878617,0.063690014,24471,0.0,6,136
0.0058164457,61.63076734542847,0.9255567863583565,130.68228,128.15,8.147779,0.061137058,6.558536944165359,0.061137058,27540,0.0,7,143
0.0065612863,65.56209397315979,0.8790699765086174,140.39586,139.1,8.114381,0.06735344,16.780683708735904,0.06735344,30522,0.0,5,148
0.005316339,69.60178542137146,0.8999730125069618,150.44603,151.85,8.142567,0.058048327,22.73394654633,0.058048327,33594,0.0,5,153
0.006313336,73.6548855304718,0.9418325088918209,157.82513,161.475,8.103026,0.06906906,35.52632921194873,0.06906906,37032,0.0,6,159
0.0067160656,77.73189878463745,0.8815707936882973,174.61235,175.725,8.069279,0.07008618,69.51944022295478,0.07008618,40329,0.0,4,163
0.005766499,81.73122096061707,0.952266413718462,185.16916,186.25,8.113329,0.06022611,91.07125948653496,0.06022611,43356,0.0,5,168
0.0062475707,85.77955317497253,0.9283158332109451,196.94507,195.45,8.069995,0.058380425,126.07548752756466,0.058380425,46935,0.0,6,174
0.0067222044,89.70389318466187,0.9293236583471298,204.49094,202.65,8.063951,0.069053136,148.78795330026577,0.069053136,49593,0.0,4,178
0.007216654,93.66235852241516,0.9624574147164822,207.13672,203.025,8.070309,0.0690983,179.15085028882672,0.0690983,52788,0.0,6,184
0.006680281,97.725093126297,0.8979322388768196,216.10733,212.35,8.093799,0.06283295,203.46958087514494,0.06283295,55572,0.0,3,187
0.0062200883,101.72384595870972,0.8606555461883545,214.58578,218.775,8.099961,0.06602998,197.1327327776756,0.06602998,58401,0.0,4,191
0.0056123016,105.7625138759613,0.9507761262357235,222.90388,226.475,8.097855,0.07108584,228.0662990238659,0.07108584,61401,0.0,3,194
0.0062132925,109.76339483261108,0.961712297052145,222.68706,224.55,8.099195,0.065391585,249.34131467032768,0.065391585,63978,0.0,5,199
0.006491787,113.72876501083374,0.9475591592490673,213.51778,219.825,8.07872,0.06224035,243.69253358199893,0.06224035,66708,0.0,4,203
0.0066112718,117.81260895729065,0.9724923204630613,218.20682,226.0,8.052003,0.083441794,260.2033982368269,0.083441794,69579,0.0,4,207
0.0066890265,121.78496503829956,0.9425438605248928,213.53658,223.675,8.029418,0.06862308,269.5019389217324,0.06862308,72801,0.0,5,212
0.0065339375,125.85098147392273,0.9647884592413902,216.77795,229.6,8.01953,0.077186376,284.4414757726264,0.077186376,76038,0.0,5,217
0.006260733,129.87378406524658,0.9675474129617214,227.48238,243.125,8.014512,0.076083586,315.2600467824088,0.076083586,81024,0.0,5,222
0.007125579,133.86190152168274,0.9682420566678047,233.85136,253.75,7.9866905,0.07575606,329.1113795982591,0.07575606,84570,0.0,4,226
0.0059322943,137.96696257591248,0.9797900263220072,228.2767,245.025,8.006896,0.07494889,336.0076018906665,0.07494889,86382,0.0,3,229
0.006882395,141.97720432281494,0.7879303246736526,239.79778,262.375,7.9744883,0.057091583,356.56036752051875,0.057091583,89382,0.0,1,230
0.007312361,145.97838068008423,0.9722012355923653,246.29224,270.55,7.927308,0.082494915,372.4761480289056,0.082494915,92241,0.0,2,232
0.0066435165,150.03652787208557,0.9715394731611013,255.38394,287.325,7.937255,0.08230674,386.90520167992884,0.08230674,95880,0.0,2,234
0.006620189,154.04418516159058,0.9400012604892254,262.39008,297.925,7.9339104,0.0801246,401.0192818300651,0.0801246,98625,0.0,3,237
0.005679625,158.08399271965027,0.9823400378227234,268.8565,307.4,7.9122343,0.082316205,415.6217754298212,0.082316205,101541,0.0,3,240
0.0066145696,162.12534284591675,0.9331096634268761,269.05695,308.25,7.931385,0.083022326,424.6441327704894,0.083022326,104496,0.0,4,244
0.0067236857,166.16359066963196,0.9341813325881958,263.1957,305.0,7.917054,0.07177731,414.7551141436946,0.07177731,107079,0.0,4,248
0.0068894913,170.20011472702026,0.9316321089863777,268.36377,313.325,7.935055,0.065816075,425.8659333029733,0.065816075,110400,0.0,4,252
0.006196048,174.34037733078003,0.9347434118390083,268.414,317.725,7.9500766,0.067300454,425.6313680979203,0.067300454,113616,0.0,4,256
0.0061638374,178.40469813346863,0.951325073838234,262.53326,309.725,7.9486666,0.07205847,425.67354973293266,0.07205847,117009,0.0,4,260
0.006455279,182.61022210121155,0.950217466801405,267.2229,317.4,7.9485965,0.082951486,437.522809336932,0.082951486,120030,0.0,3,263
0.007139913,186.72634387016296,0.8009414672851562,275.59286,322.85,7.9442134,0.09061722,454.40230169556196,0.09061722,122670,0.0,2,265
0.007463132,190.90130019187927,0.9434562921524048,287.2126,344.15,7.95831,0.07337449,473.03277046648526,0.07337449,127188,0.0,3,268
0.0067440006,194.92520141601562,0.7298685312271118,284.35806,334.75,7.968751,0.11812644,475.9705227292037,0.11812644,129552,0.0,2,270
0.006881725,198.89446663856506,0.8971720188856125,280.3484,320.725,7.966568,0.076336026,480.2276994360548,0.076336026,132606,0.0,3,273
0.0061360975,202.95117235183716,0.9226910695433617,284.5497,328.125,7.9613686,0.076049775,493.8184708596526,0.076049775,138000,0.0,4,277
0.006976242,206.99872517585754,0.9572864510118961,284.72415,330.7,7.9476967,0.0752787,494.4510540046561,0.0752787,141225,0.0,3,280
0.0065249787,211.0652003288269,0.9016844108700752,298.79248,341.125,7.924374,0.102074474,526.387644546346,0.102074474,143670,0.0,2,282
0.0074854195,215.06138467788696,0.942211601883173,301.09998,348.675,7.9322505,0.079873174,535.4944415929846,0.079873174,147066,0.0,3,285
0.0072808517,219.10076594352722,0.9104907959699631,323.4312,366.975,7.9154205,0.09133533,582.7066060491545,0.09133533,152178,0.0,4,289
0.007125438,223.04867887496948,0.902040421962738,336.61465,376.15,7.903515,0.08356869,606.3829169090753,0.08356869,155538,0.0,3,292
