EpRewMean,meankl,EpTrueRewMean,EpThisIter,EpisodesSoFar,TimestepsSoFar,entropy,EpLenMean,ev_tdlam_before,entloss,surrgain,TimeElapsed,optimgain
2.0837202404577693,0.0074161496,2.0837202404577693,54,54,3024,8.467206,19.325,0.20263928174972534,0.0,0.061611142,5.371885776519775,0.061611142
8.838706821606602,0.007493622,8.838706821606602,35,89,6123,8.454057,27.8,0.24830710887908936,0.0,0.06459801,9.725215911865234,0.06459801
16.44102496272705,0.007080348,16.44102496272705,23,112,9078,8.379104,36.85,0.2642937898635864,0.0,0.06284263,13.895328760147095,0.06284263
24.31817694218453,0.0063631414,24.31817694218453,18,130,12312,8.2937565,50.725,0.4028586745262146,0.0,0.06340685,17.93392777442932,0.06340685
40.88180794401817,0.0066202176,40.88180794401817,9,139,15324,8.2171755,67.575,0.4662282466888428,0.0,0.06351319,21.966724157333374,0.06351319
73.05350091595042,0.0062911,73.05350091595042,6,145,18414,8.22119,86.95,0.4254855513572693,0.0,0.062492207,25.943150997161865,0.062492207
99.34277381832405,0.0063080736,99.34277381832405,6,151,21621,8.197872,104.95,0.7542469352483749,0.0,0.05631062,30.020728826522827,0.05631062
129.9944164742984,0.0068679983,129.9944164742984,4,155,24453,8.173397,122.975,0.5025442242622375,0.0,0.06541355,34.026679277420044,0.06541355
166.58309231950238,0.0073403213,166.58309231950238,4,159,27774,8.155888,147.2,0.8009192049503326,0.0,0.07920633,38.13095283508301,0.07920633
196.87042560578948,0.00674693,196.87042560578948,4,163,30741,8.127334,165.0,0.8743380010128021,0.0,0.06785953,42.12407732009888,0.06785953
234.1292024600851,0.006820537,234.1292024600851,6,169,34305,8.097488,184.25,0.8662860840559006,0.0,0.052625142,46.181894063949585,0.052625142
258.0482674050216,0.0062973965,258.0482674050216,7,176,37554,8.1293955,194.375,0.8384313732385635,0.0,0.058725554,50.16076445579529,0.058725554
275.31180691034416,0.006745329,275.31180691034416,5,181,40596,8.090397,202.6,0.8698322027921677,0.0,0.06386023,54.20628595352173,0.06386023
283.02082000206326,0.0058731204,283.02082000206326,5,186,43311,8.06708,203.3,0.9447098150849342,0.0,0.060217574,58.21351957321167,0.060217574
286.2533970060833,0.0066093155,286.2533970060833,4,190,46269,8.088563,207.575,0.8568019568920135,0.0,0.05993072,62.243502378463745,0.05993072
278.33148331699624,0.0059741065,278.33148331699624,6,196,49278,8.08923,192.2,0.9685116857290268,0.0,0.06082701,66.356130361557,0.06082701
282.08586462862104,0.006814487,282.08586462862104,4,200,52257,8.053539,197.425,0.8914230614900589,0.0,0.050055385,70.38043689727783,0.050055385
281.46084770600544,0.0066694515,281.46084770600544,4,204,55374,8.082504,194.225,0.9466517455875874,0.0,0.07409786,74.41450428962708,0.07409786
289.4068639483915,0.0067976387,289.4068639483915,5,209,58725,8.042736,203.5,0.9004956558346748,0.0,0.0660483,78.42140102386475,0.0660483
300.9338723461465,0.0071548433,300.9338723461465,5,214,62409,7.9861565,214.6,0.8750239685177803,0.0,0.059851155,82.34108519554138,0.059851155
308.6789100172385,0.0065581184,308.6789100172385,4,218,65466,7.961735,224.35,0.922272652387619,0.0,0.06518063,86.40773797035217,0.06518063
315.47365015197437,0.0070690876,315.47365015197437,3,221,68343,7.955628,231.225,0.806317999958992,0.0,0.06987062,90.37389516830444,0.06987062
324.5613570170981,0.006000162,324.5613570170981,4,225,71250,7.927231,236.05,0.9606003351509571,0.0,0.1303623,94.43362355232239,0.1303623
339.95975138727334,0.0055549643,339.95975138727334,4,229,74352,7.9024687,240.075,0.9273763820528984,0.0,0.061521955,98.5098283290863,0.061521955
347.90618399764276,0.0069454694,347.90618399764276,3,232,76677,7.8681183,244.475,0.8536444008350372,0.0,0.07270336,102.45991063117981,0.07270336
359.8176070790063,0.008190067,359.8176070790063,3,235,79260,7.8780556,253.15,0.9269541576504707,0.0,0.1669837,106.55237603187561,0.1669837
366.4757199520125,0.006624393,366.4757199520125,5,240,82500,7.874524,252.025,0.9811780676245689,0.0,0.076431446,110.59622526168823,0.076431446
376.4572012333875,0.0068182983,376.4572012333875,5,245,86292,7.8690176,251.225,0.9820405747741461,0.0,0.067545995,114.59827041625977,0.067545995
387.0133964074538,0.0061933156,387.0133964074538,3,248,88902,7.8729095,256.675,0.9434921965003014,0.0,0.08353235,118.61786150932312,0.08353235
395.19664412173415,0.006693631,395.19664412173415,3,251,91431,7.8428316,254.075,0.9769166149199009,0.0,0.0756424,122.6645028591156,0.0756424
391.7564865652482,0.0076434705,391.7564865652482,3,254,93519,7.8417964,259.25,0.8506072908639908,0.0,0.058071785,126.66407012939453,0.058071785
400.8083923899268,0.007029724,400.8083923899268,4,258,96405,7.832627,257.825,0.943433403968811,0.0,0.063883714,130.66146612167358,0.063883714
409.30138490637165,0.0060159564,409.30138490637165,3,261,98796,7.807446,253.775,0.9060255214571953,0.0,0.091658846,134.66739058494568,0.091658846
414.66384809245346,0.006885926,414.66384809245346,4,265,101889,7.8143272,255.325,0.9648173041641712,0.0,0.094892845,138.80507493019104,0.094892845
394.88511422485135,0.008179038,394.88511422485135,5,270,105597,7.8102565,254.3,0.9058155417442322,0.0,0.06833188,142.85969233512878,0.06833188
403.0845189389559,0.0068168007,403.0845189389559,4,274,109560,7.7991295,256.475,0.8855167254805565,0.0,0.075014226,146.90124225616455,0.075014226
420.84393090457263,0.0072954227,420.84393090457263,4,278,112686,7.7860227,261.55,0.9313829466700554,0.0,0.080103114,150.9673764705658,0.080103114
415.0024756838873,0.0067053474,415.0024756838873,3,281,114534,7.7885137,255.05,0.8911959603428841,0.0,0.073404744,154.9843978881836,0.073404744
433.2519896522928,0.0064036716,433.2519896522928,3,284,117552,7.750476,264.125,0.911556601524353,0.0,0.07927041,159.0354208946228,0.07927041
434.9623080719205,0.006923344,434.9623080719205,4,288,120981,7.7287145,267.325,0.9115942344069481,0.0,0.07116861,163.04927492141724,0.07116861
448.675849369081,0.007759873,448.675849369081,3,291,123720,7.714063,269.075,0.9198325052857399,0.0,0.07326811,167.10103917121887,0.07326811
490.8642138321523,0.0067664925,490.8642138321523,3,294,127047,7.6964684,279.4,0.8037478625774384,0.0,0.083822444,171.13174986839294,0.083822444
511.4880068758315,0.0069747143,511.4880068758315,2,296,129825,7.669247,290.125,0.6790507435798645,0.0,0.09238742,175.12515377998352,0.09238742
549.8750501901559,0.006967137,549.8750501901559,2,298,132738,7.673644,302.775,0.8587405830621719,0.0,0.09641051,179.07129836082458,0.09641051
572.4614274915999,0.0068637785,572.4614274915999,3,301,136602,7.652695,315.05,0.9206310361623764,0.0,0.09354781,183.1150724887848,0.09354781
609.628426099812,0.006604607,609.628426099812,3,304,139980,7.620374,325.475,0.9100226312875748,0.0,0.082464725,187.1825294494629,0.082464725
636.4929630080294,0.006045297,636.4929630080294,3,307,142893,7.613449,328.85,0.9118664488196373,0.0,0.074740276,191.22303199768066,0.074740276
