surrgain,ev_tdlam_before,EpLenMean,TimeElapsed,meankl,EpTrueRewMean,entloss,EpisodesSoFar,TimestepsSoFar,entropy,EpThisIter,EpRewMean,optimgain
0.123553544,0.5642244517803192,23.7,39.014121532440186,0.0072309785,114.59281925771424,0.0,44,3090,24.1407,44,10.177031,0.123553544
0.12217045,0.5820059478282928,24.9,74.48005104064941,0.0072077103,121.85798248197504,0.0,86,6204,24.19055,42,7.4297943,0.12217045
0.12227407,0.5463274121284485,27.0,111.4799439907074,0.0072649424,133.1843410719081,0.0,124,9282,24.188957,38,7.7732453,0.12227407
0.13950934,0.3376636505126953,29.975,148.2010715007782,0.0073265466,146.03098036462015,0.0,158,12378,24.146849,34,9.18444,0.13950934
0.1320903,0.3398565649986267,30.275,183.93323707580566,0.0071080215,147.48405478996278,0.0,190,15351,24.133406,32,7.5721273,0.1320903
0.15188307,0.40972745418548584,34.575,220.88335633277893,0.006933954,169.30398068510056,0.0,219,18351,24.111912,29,8.872417,0.15188307
0.13973232,0.3625691533088684,39.4,258.07876348495483,0.0069759507,195.1714855220494,0.0,243,21381,24.088734,24,12.396368,0.13973232
0.14145245,0.47672390937805176,39.975,293.4144423007965,0.0077388333,194.57791980508978,0.0,269,24489,24.076057,26,11.722953,0.14145245
0.14719811,0.39373695850372314,44.775,330.7605392932892,0.007726304,218.40832408027336,0.0,290,27549,24.081245,21,15.919172,0.14719811
0.1574418,0.3497108221054077,48.575,367.7879843711853,0.007831564,237.76293148004274,0.0,312,30747,24.05674,22,16.111517,0.1574418
0.16515318,0.5421839356422424,48.275,402.3102343082428,0.007992387,237.49845409915753,0.0,333,33837,24.037018,21,13.46506,0.16515318
0.14897624,0.5307844877243042,52.85,436.20039916038513,0.00706298,259.4561151425809,0.0,351,36888,24.011244,18,13.403989,0.14897624
0.16495742,0.519262284040451,54.65,466.88672971725464,0.008096498,266.8167701277619,0.0,370,39993,23.999393,19,14.049837,0.16495742
0.16336352,0.5845555365085602,59.75,496.2118515968323,0.007636318,293.3922843788925,0.0,386,43035,23.993822,16,16.69049,0.16336352
0.1614237,0.6026959717273712,62.225,525.0834131240845,0.008287681,308.0517567791856,0.0,402,46239,24.010517,16,17.028637,0.1614237
0.15056571,0.5517762899398804,63.35,552.3934588432312,0.0080412,318.0021052123799,0.0,419,49311,23.994217,17,17.99553,0.15056571
0.17317384,0.5677350759506226,64.825,581.42955327034,0.00852841,323.1639219220939,0.0,434,52341,24.016756,15,19.842321,0.17317384
0.16488497,0.6670223772525787,61.875,608.8081769943237,0.007475376,313.112633694298,0.0,451,55389,23.97777,17,20.292675,0.16488497
0.16344483,0.4265552759170532,59.675,637.5278942584991,0.008226434,304.009791313903,0.0,468,58344,23.900295,17,19.743164,0.16344483
0.1735598,0.6182068288326263,61.45,665.4989256858826,0.008540685,313.50624482939605,0.0,483,61365,23.885836,15,18.429644,0.1735598
0.17154567,0.6505225896835327,59.525,694.1392793655396,0.007858949,303.8623015561866,0.0,502,64461,23.906588,19,18.71362,0.17154567
0.16247396,0.4493183493614197,57.475,722.2216029167175,0.008251897,291.94229706981935,0.0,519,67476,23.881804,17,16.122189,0.16247396
0.19146524,0.5737895667552948,61.05,750.6784360408783,0.007971255,315.41509743952486,0.0,534,70503,23.869999,15,17.302376,0.19146524
0.17735289,0.6744488775730133,65.175,779.5241219997406,0.008369442,334.7896091016347,0.0,549,73470,23.867674,15,17.970676,0.17735289
0.1891061,0.7102886140346527,68.625,807.3835182189941,0.008422516,351.5105853856022,0.0,564,76626,23.833706,15,20.781727,0.1891061
