meankl,TimestepsSoFar,entropy,ev_tdlam_before,surrgain,EpThisIter,TimeElapsed,optimgain,EpRewMean,EpTrueRewMean,EpLenMean,EpisodesSoFar,entloss
0.0066442415,3036,24.11346,0.4006093144416809,0.16417009,42,7.14724326133728,0.16417009,18.050493,113.44283323683207,24.025,42,0.0
0.0065343725,6072,24.132751,0.5533896386623383,0.23895994,42,13.323959112167358,0.23895994,16.373774,112.51379147584603,23.95,84,0.0
0.0070191696,9129,24.094791,0.5338573753833771,0.1361931,39,19.59276533126831,0.1361931,16.891586,123.73742754072705,26.225,123,0.0
0.007089357,12222,24.080244,0.42189961671829224,0.14239708,37,25.882696866989136,0.14239708,14.494665,127.03830632268048,27.175,160,0.0
0.0072885007,15258,24.035162,0.44667667150497437,0.16454571,35,32.15516424179077,0.16454571,14.706535,134.76784120710178,28.5,195,0.0
0.007238608,18177,23.989094,0.42914700508117676,0.16081576,30,38.492764472961426,0.16081576,17.203003,150.65385184274646,32.075,225,0.0
0.007492957,21300,23.965755,0.38742828369140625,0.17775434,28,44.86111617088318,0.17775434,19.608692,166.10151510510073,35.45,253,0.0
0.0074625295,24288,23.94025,0.38952118158340454,0.15186897,25,51.18643927574158,0.15186897,23.45136,183.2375194157143,38.975,278,0.0
0.007363459,27273,23.914227,0.48064643144607544,0.15956712,27,57.48055696487427,0.15956712,27.482676,187.21131500150673,39.4,305,0.0
0.0073214066,30414,23.863937,0.34425461292266846,0.14791752,26,63.78053069114685,0.14791752,27.142475,189.95915795892472,39.8,331,0.0
0.0077854167,33612,23.852789,0.5586552023887634,0.16656867,21,70.08850145339966,0.16656867,34.60769,228.97404398027297,47.725,352,0.0
0.007814254,36687,23.849628,0.49523961544036865,0.16186498,20,76.4346661567688,0.16186498,41.67876,247.9577691735545,50.875,372,0.0
0.0070245015,39672,23.845211,0.5874244570732117,0.20451185,16,82.92475152015686,0.20451185,43.080162,262.8100009568177,54.175,388,0.0
0.007908141,42717,23.816322,0.5777142345905304,0.1691424,17,89.40638446807861,0.1691424,47.05591,280.18176197937163,58.6,405,0.0
0.008358,45897,23.772383,0.571939080953598,0.18480389,18,95.77981042861938,0.18480389,48.2057,288.01895633028585,59.95,423,0.0
0.0075548654,48909,23.737226,0.745942622423172,0.18262047,18,102.33264136314392,0.18262047,47.814476,282.20521950380305,58.025,441,0.0
0.008367873,51993,23.730392,0.7604667097330093,0.1696887,18,108.8052761554718,0.1696887,43.712242,280.56903271842157,57.375,459,0.0
0.008534434,54984,23.68455,0.6900087296962738,0.17713115,16,115.22062802314758,0.17713115,41.884186,286.4978681178999,59.675,475,0.0
0.0078953635,58047,23.650389,0.69217449426651,0.17580885,17,121.47730159759521,0.17580885,38.38324,292.5415365004181,60.95,492,0.0
0.00845483,61215,23.606672,0.6216523051261902,0.17437431,16,127.97466993331909,0.17437431,38.394974,299.1480553212881,61.9,508,0.0
0.008368287,64431,23.575747,0.7554832249879837,0.18307665,16,134.46473622322083,0.18307665,44.10432,313.3726145997724,65.125,524,0.0
0.008800015,67584,23.56103,0.7649018168449402,0.17375392,16,140.97515201568604,0.17375392,46.695015,327.05181794244123,67.5,540,0.0
0.008998089,70563,23.5493,0.7874350100755692,0.2185767,15,147.45753622055054,0.2185767,44.06437,313.27682749129843,63.75,555,0.0
