ev_tdlam_before,EpTrueRewMean,EpRewMean,entloss,TimeElapsed,EpThisIter,EpisodesSoFar,optimgain,TimestepsSoFar,EpLenMean,surrgain,meankl,entropy
-0.06472206115722656,2200.274336756195,499.84277,0.0,1312.2516267299652,1,746,0.067109376,906144,763.0,0.067109376,0.009429156,7.2901783
0.11014813184738159,2270.404307385836,514.17816,0.0,1316.647632598877,1,747,0.073085226,909144,782.675,0.073085226,0.008747154,7.353024
0.7073426842689514,2284.6654295303133,518.97473,0.0,1321.106784105301,1,748,0.061796933,911853,789.0,0.061796933,0.00388759,7.325147
-0.2282712459564209,2299.267875129801,520.89435,0.0,1325.4794557094574,1,749,0.09163918,914853,789.0,0.09163918,0.009441854,7.3415656
0.04733264446258545,2302.5801456100303,520.2134,0.0,1330.231132030487,1,750,0.074921064,917853,789.0,0.074921064,0.009831123,7.325366
-0.24912655353546143,2367.8629703938523,532.16223,0.0,1334.6745426654816,1,751,0.14233586,920853,805.675,0.14233586,0.010307732,7.3160243
0.059340476989746094,2366.283296097593,529.82794,0.0,1339.079663991928,1,752,0.08331738,923853,805.675,0.08331738,0.008589717,7.2897205
0.48002833127975464,2419.150874421298,539.0451,0.0,1343.4570360183716,2,754,0.096075654,929130,819.775,0.096075654,0.00961962,7.2741218
0.9009896069765091,2350.8123787279947,524.6535,0.0,1347.846464395523,1,755,0.13287039,929754,799.975,0.13287039,0.010967897,7.2351685
0.4871954917907715,2301.8328647125,513.44635,0.0,1352.2390818595886,2,757,0.08330378,934446,789.075,0.08330378,0.009418299,7.2683725
-0.03217971324920654,2323.0245612323993,517.5156,0.0,1356.5957159996033,1,758,0.092688024,937446,789.075,0.092688024,0.011113683,7.2729325
0.6241632997989655,2389.3062402099613,529.75134,0.0,1360.9809889793396,1,759,0.08929145,940446,808.3,0.08929145,0.009166918,7.2678227
0.02341228723526001,2390.7639284674483,529.8426,0.0,1365.3710384368896,1,760,0.07422425,943446,808.3,0.07422425,0.009956647,7.3172483
