EpLenMean,EpThisIter,EpRewMean,entloss,TimestepsSoFar,TimeElapsed,EpTrueRewMean,surrgain,ev_tdlam_before,meankl,EpisodesSoFar,optimgain,entropy
21.05,49,3.1893348538116997,0.0,3057,4.913689851760864,3.1893348538116997,0.06637117,0.23562854528427124,0.0070469333,49,0.06637117,8.448411
30.55,31,14.8912846081375,0.0,6255,8.898662567138672,14.8912846081375,0.07524474,0.24314957857131958,0.0072587254,80,0.07524474,8.409722
40.025,27,30.81353502596719,0.0,9447,12.921769618988037,30.81353502596719,0.068987854,0.33767324686050415,0.0072432016,107,0.068987854,8.394667
53.875,10,45.84872538799323,0.0,12384,16.77455973625183,45.84872538799323,0.06199265,0.4390184283256531,0.0065629315,117,0.06199265,8.360174
66.225,14,62.59994308037011,0.0,15744,20.566993951797485,62.59994308037011,0.059312284,0.40534478425979614,0.006208867,131,0.059312284,8.299694
87.225,7,84.25583476961961,0.0,18966,24.417444229125977,84.25583476961961,0.060908332,0.551763504743576,0.005625798,138,0.060908332,8.290513
100.45,11,88.50600875430436,0.0,22236,28.259453535079956,88.50600875430436,0.06373276,0.6052171587944031,0.006228579,149,0.06373276,8.298528
112.7,6,112.1641890581734,0.0,25299,32.07007122039795,112.1641890581734,0.06664421,0.5768655240535736,0.006953718,155,0.06664421,8.276002
122.5,3,122.26993302351624,0.0,27522,35.943480491638184,122.26993302351624,0.06975892,0.6816606819629669,0.0066914326,158,0.06975892,8.236269
136.725,5,133.1185779786486,0.0,30633,39.7575569152832,133.1185779786486,0.06039092,0.7590440660715103,0.006670651,163,0.06039092,8.203747
159.9,5,146.5595081489944,0.0,34509,43.6221661567688,146.5595081489944,0.054303955,0.8803902417421341,0.005981665,168,0.054303955,8.122086
169.0,5,161.0325314981836,0.0,37068,47.44431805610657,161.0325314981836,0.06105294,0.8334102183580399,0.0061497497,173,0.06105294,8.117062
185.725,4,184.2005966275147,0.0,40374,51.316810846328735,184.2005966275147,0.05899684,0.852711409330368,0.0058760718,177,0.05899684,8.12116
196.125,5,198.64157503855776,0.0,43509,55.1917884349823,198.64157503855776,0.060468104,0.7762273550033569,0.0065782103,182,0.060468104,8.127307
200.325,6,218.3033604832859,0.0,46053,59.075151681900024,218.3033604832859,0.05957448,0.844782218337059,0.0065469625,188,0.05957448,8.14238
198.975,6,224.3594296105228,0.0,48723,63.02209973335266,224.3594296105228,0.060200498,0.7486097514629364,0.0059636785,194,0.060200498,8.075624
199.9,6,232.23344683454553,0.0,52686,66.92254757881165,232.23344683454553,0.054508474,0.8967564553022385,0.006018773,200,0.054508474,8.09595
193.275,5,245.6632578562046,0.0,55692,70.84256792068481,245.6632578562046,0.06548973,0.8486451655626297,0.006822628,205,0.06548973,8.077867
195.425,4,257.42537389186725,0.0,58539,74.7144238948822,257.42537389186725,0.0673628,0.8477103114128113,0.0069192657,209,0.0673628,8.109875
187.825,7,260.6217719108404,0.0,61557,78.60771083831787,260.6217719108404,0.065970175,0.9021797031164169,0.0063060587,216,0.065970175,8.136549
180.25,4,263.91878987626853,0.0,64086,82.49095439910889,263.91878987626853,0.055882923,0.903191864490509,0.006257602,220,0.055882923,8.117921
184.525,5,277.3135108612031,0.0,66984,86.23535370826721,277.3135108612031,0.0767998,0.923183761537075,0.006284126,225,0.0767998,8.099354
