TimestepsSoFar,EpRewMean,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,entloss,meankl,EpThisIter,EpLenMean,optimgain,TimeElapsed,surrgain,entropy
359394,190.84877,1976,200.0,0.9455397725105286,0.0,0.009945065,5,200.0,0.013863625,1683.6927139759064,0.013863625,0.4921985
360394,186.84407,1981,200.0,0.9531561881303787,0.0,0.008339036,5,200.0,0.012165915,1688.618424654007,0.012165915,0.46576917
361394,181.35132,1986,200.0,0.9655117429792881,0.0,0.00873869,5,200.0,0.012494955,1693.746958732605,0.012494955,0.43519142
362394,175.21992,1991,200.0,0.9669321626424789,0.0,0.0069882395,5,200.0,0.009465169,1698.635593175888,0.009465169,0.44993025
363394,170.76958,1996,200.0,0.9619563072919846,0.0,0.008161763,5,200.0,0.01397609,1703.7753806114197,0.01397609,0.47366887
364394,166.05531,2001,200.0,0.956950806081295,0.0,0.008331144,5,200.0,0.006078366,1709.5705330371857,0.006078366,0.45545608
365394,158.94992,2006,200.0,0.9648064970970154,0.0,0.00747772,5,200.0,0.010362437,1714.8567953109741,0.010362437,0.47247022
366394,154.69145,2011,200.0,0.9783955663442612,0.0,0.0071423566,5,200.0,0.012820506,1719.3972718715668,0.012820506,0.45260903
367594,150.1088,2017,200.0,0.980026638135314,0.0,0.0068692216,6,200.0,0.011637298,1725.1959853172302,0.011637298,0.432481
368594,146.36366,2022,200.0,0.9744861964136362,0.0,0.008188145,5,200.0,0.010842275,1730.1544914245605,0.010842275,0.43277824
369594,143.79306,2027,200.0,0.9804238062351942,0.0,0.007233546,5,200.0,0.0065886127,1735.1705486774445,0.0065886127,0.42650115
370594,141.25107,2032,200.0,0.9771356489509344,0.0,0.0063876202,5,200.0,0.008094232,1740.5103766918182,0.008094232,0.42926443
371594,138.90141,2037,200.0,0.96547432243824,0.0,0.0036923455,5,200.0,0.0053229323,1746.218205690384,0.0053229323,0.47347558
372594,137.04251,2042,200.0,0.9567465260624886,0.0,0.0084903315,5,200.0,0.018328456,1751.6692006587982,0.018328456,0.46641284
373594,135.77026,2047,200.0,0.964921310544014,0.0,0.008494046,5,200.0,0.013532812,1757.589537858963,0.013532812,0.41540956
374594,134.99956,2052,200.0,0.9684829637408257,0.0,0.005361979,5,200.0,0.0066366065,1762.3979678153992,0.0066366065,0.4558771
375794,132.76645,2058,200.0,0.9537937492132187,0.0,0.006477664,6,200.0,0.014874157,1767.4972531795502,0.014874157,0.4280238
376794,132.03818,2063,200.0,0.950327143073082,0.0,0.005887772,5,200.0,0.010895969,1772.7068014144897,0.010895969,0.46638054
377794,130.44905,2068,200.0,0.9170938655734062,0.0,0.0067207,5,200.0,0.003678719,1777.2921998500824,0.003678719,0.44465908
378794,127.2855,2073,200.0,0.9362910091876984,0.0,0.0077895173,5,200.0,0.0068398397,1781.7712326049805,0.0068398397,0.42262483
379794,125.36067,2078,200.0,0.9073014333844185,0.0,0.008192311,5,200.0,0.012908256,1785.9981019496918,0.012908256,0.4535641
380794,123.39369,2083,200.0,0.9137043803930283,0.0,0.0068859383,5,200.0,0.0108286,1791.5333094596863,0.0108286,0.42110893
381794,120.77323,2088,200.0,0.916623443365097,0.0,0.0045364634,5,200.0,0.012765355,1796.834522485733,0.012765355,0.45566934
382794,118.903946,2093,200.0,0.9105294272303581,0.0,0.009489306,5,200.0,0.010165764,1801.7118339538574,0.010165764,0.43450737
383994,115.92476,2099,200.0,0.8253036588430405,0.0,0.0069737346,6,200.0,0.0056618317,1806.7179894447327,0.0056618317,0.47219294
384994,112.432884,2104,200.0,0.685650497674942,0.0,0.007082741,5,200.0,0.013102056,1811.369009256363,0.013102056,0.455151
385994,109.130165,2109,200.0,0.8368543684482574,0.0,0.00437872,5,200.0,0.0047859927,1816.0099470615387,0.0047859927,0.51073647
386994,108.6711,2114,200.0,0.6559024751186371,0.0,0.0054891473,5,200.0,0.005430431,1820.8730573654175,0.005430431,0.49386853
387994,106.74001,2119,200.0,0.6850919425487518,0.0,0.004990614,5,200.0,0.008149983,1825.5898444652557,0.008149983,0.45283782
388994,103.95425,2124,200.0,0.5261864364147186,0.0,0.004905115,5,200.0,0.0059526796,1831.151423215866,0.0059526796,0.46471238
389994,102.88814,2129,200.0,0.3719344139099121,0.0,0.006788008,5,200.0,0.012664974,1835.8651394844055,0.012664974,0.4287782
390994,101.99056,2134,200.0,0.4177928566932678,0.0,0.008947681,5,200.0,0.01697698,1841.0309174060822,0.01697698,0.44524568
391994,103.43976,2139,200.0,0.51438307762146,0.0,0.0076655736,5,200.0,0.00461113,1845.5167593955994,0.00461113,0.444144
393194,104.27254,2145,200.0,0.3659404516220093,0.0,0.008647755,6,200.0,0.011705479,1850.1826894283295,0.011705479,0.44825718
394194,103.43463,2150,200.0,0.46581190824508667,0.0,0.002552698,5,200.0,0.004195539,1855.447146654129,0.004195539,0.47206092
