TimestepsSoFar,ev_tdlam_before,EpRewMean,entropy,surrgain,EpLenMean,entloss,TimeElapsed,optimgain,EpisodesSoFar,meankl,EpThisIter,EpTrueRewMean
928563,-0.001528024673461914,806.0004,4.307779,0.044564366,855.2,0.0,1125.2140731811523,0.044564366,438,0.010023072,1,888.5864313051276
931563,-0.05236506462097168,805.3113,4.303283,0.052639678,855.2,0.0,1128.9617476463318,0.052639678,439,0.012222115,1,889.3084967114337
934563,0.006031513214111328,827.3037,4.284451,0.05982753,878.45,0.0,1132.9924190044403,0.05982753,440,0.010033551,1,914.3597473780064
937563,-0.023772358894348145,848.04553,4.286777,0.06075461,899.975,0.0,1136.7875754833221,0.06075461,441,0.010638253,1,937.8237902869951
940563,-0.011974573135375977,846.7992,4.2506433,0.052743822,899.975,0.0,1140.6186864376068,0.052743822,442,0.009255809,1,937.8051432973785
943563,0.0739179253578186,845.9619,4.2607207,0.06207522,899.975,0.0,1144.458333492279,0.06207522,443,0.01047322,1,937.2745109230473
949563,-0.0002281665802001953,845.951,4.2516103,0.055855762,899.975,0.0,1148.166522026062,0.055855762,445,0.012233179,2,938.2864864671812
952563,-0.0030633211135864258,845.67206,4.242105,0.0526497,899.975,0.0,1152.0665073394775,0.0526497,446,0.009231826,1,938.9627206571533
955563,-0.003560304641723633,846.5996,4.232517,0.04798858,899.975,0.0,1155.9158344268799,0.04798858,447,0.010405565,1,939.1855737290849
958563,0.006852686405181885,847.40546,4.2228465,0.05803242,899.975,0.0,1159.8347280025482,0.05803242,448,0.009224448,1,938.9012894010482
961563,0.0007101297378540039,847.55164,4.2365055,0.050995987,899.975,0.0,1163.6498250961304,0.050995987,449,0.010102335,1,938.7017768094038
964563,-0.004517197608947754,847.0211,4.2255583,0.048179165,899.975,0.0,1167.4383704662323,0.048179165,450,0.009168031,1,938.8111122780494
967563,-0.04566633701324463,846.9459,4.216515,0.06437816,899.975,0.0,1171.1813452243805,0.06437816,451,0.01113311,1,939.7344435884843
970563,-0.0003101825714111328,851.97205,4.218513,0.045499753,906.1,0.0,1174.9669444561005,0.045499753,452,0.00950109,1,947.1885035211648
973563,-0.003411531448364258,852.7131,4.225649,0.049922332,906.1,0.0,1178.7838513851166,0.049922332,453,0.008928949,1,948.6787520362453
976563,-0.00018215179443359375,853.26984,4.205904,0.055379704,906.1,0.0,1182.5240468978882,0.055379704,454,0.010324776,1,950.0855958662345
979563,-1.1920928955078125e-06,852.7157,4.191673,0.05602274,906.1,0.0,1186.2552127838135,0.05602274,455,0.010910254,1,951.2585615045336
982563,-1.0728836059570312e-06,851.76953,4.20273,0.048211124,906.1,0.0,1190.0071983337402,0.048211124,456,0.009364541,1,950.8877128530727
985563,-2.3365020751953125e-05,850.91345,4.202294,0.05522701,906.1,0.0,1193.8722684383392,0.05522701,457,0.009372203,1,952.0140484065021
988563,-0.3195459842681885,865.7697,4.2049184,0.09200495,921.825,0.0,1197.6770460605621,0.09200495,458,0.010634087,1,970.3300169947448
991563,-2.384185791015625e-07,864.0928,4.204101,0.04564391,921.825,0.0,1201.2181928157806,0.04564391,459,0.013973536,1,970.2215668754212
994563,-0.0011761188507080078,864.55743,4.200095,0.05773755,921.825,0.0,1205.0259370803833,0.05773755,460,0.008803444,1,972.0834093626336
997563,-0.0026400089263916016,884.8161,4.1916285,0.043378152,943.35,0.0,1208.7115228176117,0.043378152,461,0.010458656,1,996.6977201441747
1003563,0.00010007619857788086,892.23016,4.1854267,0.061615266,951.8,0.0,1212.7816715240479,0.061615266,463,0.01002634,2,1007.9413417280272
