EpRewMean,entropy,ev_tdlam_before,TimeElapsed,EpTrueRewMean,EpLenMean,entloss,TimestepsSoFar,meankl,surrgain,EpisodesSoFar,optimgain,EpThisIter
53.864925,4.1729054,0.2638419270515442,5.3404340744018555,34.10346987589097,33.41935483870968,0.0,3108,0.008002565,0.046233766,31,0.046233766,31
67.16292,4.0745773,0.2701480984687805,9.58751106262207,40.35846424970397,42.725,0.0,6291,0.0071284845,0.038487308,50,0.038487308,19
94.74593,4.028046,0.24607127904891968,13.882012844085693,66.9524744378945,61.4,0.0,9228,0.0062584886,0.041748542,58,0.041748542,8
120.89243,4.0140305,0.5776496231555939,18.09521508216858,93.54933029965841,79.85,0.0,12222,0.006310272,0.038140573,66,0.038140573,8
145.56522,4.010124,0.3969522714614868,22.424954414367676,123.63912825468196,97.675,0.0,15591,0.007028521,0.05143805,74,0.05143805,8
165.09807,3.998773,0.48259884119033813,27.233129262924194,145.73249151821136,112.5,0.0,17961,0.0061570653,0.042752407,77,0.042752407,3
188.55417,3.9947128,0.6018142998218536,31.914412021636963,176.08121069862918,130.3,0.0,20769,0.006348399,0.052584894,82,0.052584894,5
213.89864,3.9518147,0.8431956321001053,36.31008338928223,209.08960176458908,150.025,0.0,23991,0.0063875834,0.049855933,87,0.049855933,5
239.94962,3.920967,0.8040227293968201,40.425925731658936,240.0695027379577,170.7,0.0,26775,0.0057728523,0.040537342,90,0.040537342,3
257.3952,3.940031,0.9046209529042244,44.32128024101257,264.02167561114925,185.3,0.0,29580,0.0070254765,0.04599451,93,0.04599451,3
273.7996,3.9392161,0.7725817859172821,48.078285694122314,283.2573700666947,199.675,0.0,32406,0.005603847,0.04669095,96,0.04669095,3
293.05933,3.9176085,0.9050956293940544,51.75094652175903,305.60171982595864,217.4,0.0,35316,0.0054000323,0.0537739,98,0.0537739,2
305.14676,3.9236207,0.8759854137897491,55.41687750816345,319.9610454953829,228.5,0.0,37368,0.0072236666,0.050227568,99,0.050227568,1
331.52466,3.9864826,-0.0006406307220458984,59.054569721221924,343.23645090931814,251.625,0.0,40368,0.0069627734,0.03393735,100,0.03393735,1
348.0197,3.9427428,0.9552105218172073,62.6547646522522,360.0001592285207,266.3,0.0,42657,0.0068352604,0.06291507,101,0.06291507,1
374.27005,3.8748105,-0.020834922790527344,66.39651250839233,384.59826881263155,290.2,0.0,45657,0.0060580997,0.027470551,102,0.027470551,1
389.9411,3.8455808,0.9561742544174194,70.077219247818,404.30234002446537,304.45,0.0,48069,0.007109762,0.04890512,104,0.04890512,2
412.75812,3.8088136,0.7895656228065491,73.80747151374817,426.39476988880887,325.65,0.0,51069,0.005221585,0.044745803,105,0.044745803,1
436.523,3.7568893,-0.0002918243408203125,77.63733553886414,449.7896882210245,348.725,0.0,54069,0.0064272042,0.047513492,106,0.047513492,1
448.44757,3.7326987,0.33054161071777344,81.28111505508423,462.0120599268201,361.675,0.0,56277,0.005532653,0.051223967,107,0.051223967,1
468.7981,3.7335143,-0.017858147621154785,84.95760917663574,480.90539538789756,382.3,0.0,59277,0.0077273757,0.04872635,108,0.04872635,1
489.6957,3.777132,-0.012491106986999512,88.62621092796326,502.7105618912333,403.9,0.0,62277,0.0071615535,0.032598846,109,0.032598846,1
500.6125,3.7586691,0.9021203443408012,92.17643427848816,514.7863730637761,414.475,0.0,63921,0.00798121,0.061067507,110,0.061067507,1
524.6045,3.7228715,-0.018878936767578125,95.8302161693573,538.562054459315,437.775,0.0,66921,0.006845035,0.02769282,111,0.02769282,1
544.9877,3.741608,0.0023284554481506348,99.48454856872559,559.160143860691,459.025,0.0,69921,0.0057757283,0.03555858,112,0.03555858,1
568.3567,3.7506185,-0.006386756896972656,103.17556524276733,582.6192646514078,482.375,0.0,72921,0.006725737,0.034499604,113,0.034499604,1
586.9376,3.726585,0.015076696872711182,106.86578702926636,600.5029397706286,502.75,0.0,75921,0.0065269573,0.06271598,114,0.06271598,1
577.011,3.7346125,0.6038449704647064,110.618173122406,591.7770116003798,495.925,0.0,76080,0.0053903786,0.045421988,115,0.045421988,1
587.66046,3.7344663,-0.0018537044525146484,114.3121132850647,603.0744798337853,509.15,0.0,78744,0.006907303,0.045227468,116,0.045227468,1
609.6127,3.7387412,0.0019499659538269043,117.95379376411438,625.7583336524897,531.525,0.0,81744,0.006803167,0.030094193,117,0.030094193,1
627.2688,3.7270527,-0.02575361728668213,121.65816473960876,642.7752924805354,550.875,0.0,84744,0.0067979377,0.03440593,118,0.03440593,1
645.66614,3.7185912,-0.028088688850402832,125.40968108177185,660.7363552360645,571.1,0.0,87744,0.006630826,0.032708373,119,0.032708373,1
664.59485,3.7160637,-0.004694223403930664,129.10328149795532,681.0322536658459,591.8,0.0,90744,0.0069290763,0.024920583,120,0.024920583,1
682.2751,3.6580203,-0.33974170684814453,132.82872605323792,700.7075248423033,611.15,0.0,93744,0.00596056,0.038538232,121,0.038538232,1
703.5543,3.6699588,0.0025150179862976074,136.52951502799988,723.2730336685629,633.125,0.0,96744,0.006443008,0.040617533,122,0.040617533,1
717.58875,3.6708453,0.5872191190719604,140.11988639831543,735.8983447465349,650.6,0.0,100122,0.007408464,0.04187256,124,0.04187256,2
733.1247,3.672851,-0.0016150474548339844,143.8034543991089,753.6280451856677,668.8,0.0,103122,0.0067878854,0.038136806,125,0.038136806,1
734.4907,3.686949,0.0018908381462097168,147.56404399871826,755.1095606062836,672.2,0.0,104280,0.0065641426,0.042877212,126,0.042877212,1
