EpTrueRewMean,TimeElapsed,ev_tdlam_before,EpRewMean,EpThisIter,entloss,surrgain,EpLenMean,meankl,TimestepsSoFar,optimgain,entropy,EpisodesSoFar
0.14744150886143442,5.9685070514678955,0.14750927686691284,24.363844,39,0.0,0.06407466,26.128205128205128,0.007650182,3057,0.06407466,8.481566,39
3.3306328997404746,10.389774322509766,0.5211215913295746,22.455873,33,0.0,0.06448521,29.375,0.007268835,6144,0.06448521,8.487306,72
4.473376107711643,14.811242580413818,0.581950306892395,31.009283,18,0.0,0.06505897,43.525,0.0073166657,9219,0.06505897,8.413029,90
2.0931902737052375,19.142816066741943,0.7183538675308228,41.08799,11,0.0,0.05802239,58.95,0.006213667,12243,0.05802239,8.408494,101
9.301736291581772,23.451335191726685,0.7481575310230255,53.73408,10,0.0,0.059531484,77.425,0.0064688902,15363,0.059531484,8.391232,111
21.142543229552757,27.763224363327026,0.8304170072078705,62.940083,8,0.0,0.059784252,90.1,0.006671021,18243,0.059784252,8.330153,119
33.41203680079383,32.147197246551514,0.825113832950592,72.43894,10,0.0,0.066180006,105.125,0.0068888133,21699,0.066180006,8.31343,129
55.73988405492548,36.514049768447876,0.8998142182826996,82.37383,5,0.0,0.05361592,118.85,0.006238997,24828,0.05361592,8.3138275,134
79.47043250574686,40.86838388442993,0.8581480383872986,91.97429,7,0.0,0.06302938,131.4,0.0069249403,28011,0.06302938,8.29338,141
95.33494550592454,45.196760416030884,0.9257068634033203,97.10576,5,0.0,0.0624249,141.175,0.007118875,31125,0.0624249,8.297362,146
107.34654778234321,49.5550172328949,0.8695186078548431,102.7759,5,0.0,0.062616184,152.1,0.007600152,33615,0.062616184,8.257328,151
115.6199571785709,53.98806309700012,0.8820969611406326,105.997116,4,0.0,0.06612605,163.625,0.006581344,36960,0.06612605,8.170289,155
153.27172817015787,58.355159521102905,0.9351679906249046,115.723366,5,0.0,0.070020005,175.8,0.0071824235,39984,0.070020005,8.181093,160
168.09937423437245,62.73359513282776,0.9217428341507912,119.62056,4,0.0,0.06518511,184.8,0.0062171943,42546,0.06518511,8.157656,164
193.88455241258728,67.05475211143494,0.6003335416316986,128.32242,2,0.0,0.061951626,202.25,0.0064694937,45306,0.061951626,8.148209,166
221.2195722258054,71.40454888343811,0.8861899897456169,137.14038,4,0.0,0.060961038,224.625,0.0063116103,49263,0.060961038,8.182006,170
241.1863666506284,75.88659334182739,0.9023405089974403,137.27002,5,0.0,0.07060616,231.625,0.0060109235,53217,0.07060616,8.187563,175
269.25262256231247,80.24408912658691,0.9642756544053555,143.18753,5,0.0,0.07227607,244.5,0.0069486992,56955,0.07227607,8.155506,180
289.5951936093935,84.59578013420105,0.8874393925070763,143.16731,4,0.0,0.069134735,251.475,0.0059648985,60543,0.069134735,8.15056,184
309.99491373065314,88.91510081291199,0.8983449637889862,149.07414,3,0.0,0.07222083,261.85,0.005425804,62964,0.07222083,8.100582,187
336.53691607804814,93.29936027526855,0.9323806911706924,151.51137,5,0.0,0.06677871,262.8,0.006346181,66120,0.06677871,8.092348,192
344.7726368453994,97.71059226989746,0.8510096967220306,151.0305,3,0.0,0.070803486,264.725,0.0064890496,68727,0.070803486,8.061417,195
368.36439029330194,102.13197326660156,0.8695318251848221,157.49963,2,0.0,0.08786049,286.7,0.0069234944,72219,0.08786049,8.0444975,197
381.9065818412061,106.50350713729858,0.9383612498641014,158.71175,3,0.0,0.083658576,298.7,0.006093174,75828,0.083658576,8.026549,200
401.4281278247065,110.91808247566223,0.8543566912412643,162.21957,3,0.0,0.075706705,308.95,0.006420846,78759,0.075706705,8.046371,203
383.4993957780848,115.27078413963318,0.8894962221384048,150.98405,4,0.0,0.06816389,284.7,0.0067381705,81261,0.06816389,8.016495,207
400.8354454877417,119.62892723083496,0.7941494137048721,154.54391,2,0.0,0.10662907,291.825,0.006283368,83955,0.10662907,7.9981694,209
423.1284016439291,123.95456910133362,0.9262122437357903,157.17175,5,0.0,0.080293626,289.275,0.006949026,87633,0.080293626,7.9919577,214
442.6769764083251,128.33907961845398,0.6997893452644348,162.84111,1,0.0,0.07671499,306.75,0.007458533,90027,0.07671499,7.949692,215
464.41784511453153,132.71361184120178,0.7995299100875854,167.32864,2,0.0,0.09006743,322.225,0.007407281,93693,0.09006743,7.9597783,217
478.42682546003607,137.1072916984558,0.8205268830060959,170.36057,2,0.0,0.07962476,327.7,0.007233245,95577,0.07962476,7.943619,219
493.09447302622783,141.4531168937683,0.8823538571596146,173.80989,3,0.0,0.08263253,332.825,0.005901314,98367,0.08263253,7.9505463,222
505.7235369725828,145.79940819740295,0.822966530919075,176.39867,2,0.0,0.07192201,336.675,0.0063709356,100944,0.07192201,7.9729624,224
513.0388328972098,150.19506573677063,0.8767482489347458,176.1746,4,0.0,0.09288121,342.9,0.0068715145,104757,0.09288121,7.991214,228
526.3172659349345,154.5644567012787,0.813650906085968,176.95297,4,0.0,0.08006288,350.525,0.0067328103,108183,0.08006288,7.9896355,232
538.4797329647685,158.94878101348877,0.7616083025932312,178.9655,2,0.0,0.07667523,363.775,0.0070144236,111462,0.07667523,7.9484715,234
531.133969316855,163.33348059654236,0.8301344364881516,175.49776,4,0.0,0.10238019,331.95,0.007095076,114762,0.10238019,7.9597635,238
556.7681935605038,167.76328492164612,0.7962993830442429,185.07394,3,0.0,0.09043582,352.475,0.006844018,118740,0.09043582,7.9566803,241
568.8349778075471,172.1567349433899,0.789631113409996,189.13043,3,0.0,0.0802594,351.85,0.0068042716,121545,0.0802594,7.949112,244
