surrgain,entropy,EpisodesSoFar,EpRewMean,TimeElapsed,EpLenMean,EpThisIter,optimgain,EpTrueRewMean,meankl,TimestepsSoFar,entloss,ev_tdlam_before
0.13904588,5.939717,917,435.83603,1688.452110528946,797.35,1,0.13904588,2855.9453971371026,0.011033311,410251,0.0,0.9868422327563167
0.08320263,6.0335245,919,428.50128,1692.7557032108307,783.8,2,0.08320263,2808.8341209707214,0.011247208,411571,0.0,0.7598834931850433
0.07202079,6.052129,920,429.90967,1697.0796999931335,786.575,1,0.07202079,2826.036602169007,0.011101836,412571,0.0,-0.028236985206604004
0.07959237,6.0414853,921,430.06885,1701.4084327220917,786.575,1,0.07959237,2823.7140155350608,0.01119896,413571,0.0,0.013466179370880127
0.08813173,6.0504913,922,429.81854,1705.7429640293121,786.575,1,0.08813173,2820.2787464562866,0.010840971,414571,0.0,0.19181805849075317
0.07939573,6.111038,924,428.8122,1710.0778136253357,785.55,2,0.07939573,2807.4548420218225,0.009607729,415726,0.0,0.6295280754566193
0.088282965,6.0834365,925,425.5423,1714.3820614814758,782.0,1,0.088282965,2800.0838017475144,0.010288518,416584,0.0,0.9077875763177872
0.18909913,5.999202,926,425.17792,1718.7187063694,782.0,1,0.18909913,2800.189549860023,0.011795504,417584,0.0,0.7965218871831894
0.07543061,5.9804683,927,428.01483,1723.0382735729218,788.2,1,0.07543061,2821.9654039935344,0.011249507,418584,0.0,0.010255813598632812
0.09690571,5.9081426,928,426.9494,1727.6336143016815,788.2,1,0.09690571,2809.818481488526,0.011556048,419584,0.0,0.0991554856300354
0.076917306,5.911439,929,429.33392,1731.9492881298065,794.7,1,0.076917306,2835.1647507725697,0.010502296,420584,0.0,-0.006752610206604004
0.09255515,5.9163046,932,413.2224,1736.2375214099884,768.075,3,0.09255515,2722.341755485356,0.01099012,422261,0.0,0.7020045518875122
0.08799885,5.91215,933,413.8921,1740.5199058055878,768.925,1,0.08799885,2710.409958963476,0.009899828,423114,0.0,0.8715169280767441
0.10082546,5.896175,935,398.54388,1744.7781476974487,740.3,2,0.10082546,2583.90213362678,0.0099449605,423969,0.0,0.8755907565355301
0.081518196,5.88269,936,398.19257,1749.055722951889,740.3,1,0.081518196,2586.0653050398328,0.010216171,424969,0.0,-0.009842634201049805
0.07310349,5.8687177,937,397.35638,1753.333125591278,740.3,1,0.07310349,2581.836597541277,0.010325165,425969,0.0,-0.02559828758239746
0.082618356,5.88672,938,396.605,1757.6197171211243,740.3,1,0.082618356,2579.727785835289,0.010365291,426969,0.0,-0.08954787254333496
0.09032299,5.898422,939,405.37497,1761.8994216918945,757.35,1,0.09032299,2642.283107322507,0.010888637,427775,0.0,0.6718471050262451
0.09067241,5.890077,940,405.55978,1766.1957936286926,757.35,1,0.09067241,2638.4685206349336,0.01200412,428775,0.0,0.09358584880828857
0.112637326,5.9770675,942,402.62833,1770.4297432899475,751.675,2,0.112637326,2603.703282188491,0.010407018,429918,0.0,0.41328465938568115
0.09013462,5.950438,943,399.92584,1774.6712696552277,746.75,1,0.09013462,2582.253895934732,0.01020927,430721,0.0,0.879299707710743
0.074445665,5.9291577,944,405.95322,1778.9176397323608,757.85,1,0.074445665,2621.1334696642643,0.009836105,431721,0.0,0.007266998291015625
0.070931226,5.976374,945,405.8273,1783.1658790111542,757.85,1,0.070931226,2625.173100142742,0.010316672,432721,0.0,-0.03215456008911133
0.07412824,6.019576,946,416.25674,1787.415619134903,777.8,1,0.07412824,2700.779424917421,0.010206981,433721,0.0,-0.1194159984588623
0.105994724,6.0422378,949,395.92975,1791.647310256958,742.325,3,0.105994724,2567.372738541433,0.010863384,435049,0.0,0.8642204701900482
0.10117823,6.0125117,950,390.57724,1795.8906106948853,732.075,1,0.10117823,2523.9099248559137,0.011793425,435639,0.0,0.8411051034927368
0.07561228,5.9881754,951,402.02557,1800.1366052627563,753.225,1,0.07561228,2608.9553454153747,0.012714089,436639,0.0,-0.033972978591918945
0.09293163,5.9900713,952,392.22064,1804.4330339431763,734.8,1,0.09293163,2528.702298092805,0.010833589,436902,0.0,0.6761380732059479
0.08147972,5.993713,953,402.23523,1808.7908549308777,754.875,1,0.08147972,2603.9398148427435,0.010328168,437902,0.0,0.046898603439331055
0.08686317,5.9721675,954,404.97565,1813.1589391231537,759.075,1,0.08686317,2616.625959448332,0.011007038,438902,0.0,-0.08593142032623291
0.09123452,5.952474,955,404.5324,1817.4917030334473,758.35,1,0.09123452,2622.3674894277174,0.011687268,439873,0.0,0.9180930927395821
0.08246578,5.9722095,956,414.88077,1821.8424789905548,778.4,1,0.08246578,2707.533179477286,0.013181567,440873,0.0,-0.18660449981689453
0.09185381,5.938599,957,420.04565,1826.1506252288818,788.7,1,0.09185381,2746.5258744791986,0.011646021,441799,0.0,0.9580038487911224
0.12824327,5.913798,959,414.49887,1830.5169377326965,779.2,2,0.12824327,2705.4756233293947,0.010402605,442739,0.0,0.9145779982209206
0.083310604,5.9114537,960,414.2142,1834.8511724472046,779.2,1,0.083310604,2697.699021634086,0.0110784685,443739,0.0,0.12292760610580444
0.08939029,5.937581,961,413.8668,1839.169429063797,779.2,1,0.08939029,2700.7900327231428,0.011699747,444739,0.0,0.18808698654174805
