surrgain,EpisodesSoFar,TimeElapsed,optimgain,EpLenMean,ev_tdlam_before,meankl,TimestepsSoFar,EpThisIter,entloss,entropy,EpTrueRewMean,EpRewMean
0.114955835,1197,2126.4838659763336,0.114955835,661.55,0.6674505174160004,0.0129092075,498867,2,0.0,6.087463,1985.7698100282553,333.55927
0.09943849,1198,2130.8417913913727,0.09943849,679.775,0.0074523091316223145,0.013575651,499867,1,0.0,6.0586395,2047.4243522770553,342.8925
0.101535894,1200,2135.2261641025543,0.101535894,676.175,0.5808085799217224,0.01148826,501116,2,0.0,6.009888,2028.1603110638184,341.91595
0.09201285,1201,2139.628032207489,0.09201285,690.85,0.14298677444458008,0.012698058,502116,1,0.0,5.9854283,2086.188146012309,348.50195
0.07891663,1203,2144.002210378647,0.07891663,689.175,0.8242418467998505,0.0042187534,503275,2,0.0,5.9769335,2076.163068284049,349.31723
0.13637993,1204,2148.3451013565063,0.13637993,700.95,0.6055468618869781,0.01286316,504049,1,0.0,5.9323897,2113.8926197843252,353.87628
0.15660769,1205,2152.7303586006165,0.15660769,700.875,0.7861519604921341,0.012681695,504790,1,0.0,5.9375567,2115.7556135605964,354.2224
0.11852504,1207,2157.1237461566925,0.11852504,701.9,0.34578633308410645,0.014926119,506251,2,0.0,5.9319263,2115.2388829877736,353.91837
0.11453354,1209,2161.458858013153,0.11453354,707.225,0.598362386226654,0.012769427,507650,2,0.0,5.898744,2119.8953234282358,356.37164
0.1244154,1211,2165.9041061401367,0.1244154,719.225,0.48818403482437134,0.013606925,509549,2,0.0,5.9074755,2156.011735519804,361.88745
0.1004204,1213,2170.5425820350647,0.1004204,698.375,0.5266114473342896,0.011442194,510715,2,0.0,5.9511676,2073.766398573829,353.01413
0.11363528,1215,2174.895319223404,0.11363528,690.7,0.6888464689254761,0.013218379,511912,2,0.0,5.922547,2037.916092732951,349.45657
0.12644473,1217,2179.2908053398132,0.12644473,696.85,0.898837685585022,0.012345107,513400,2,0.0,5.9172316,2069.242393009344,352.3155
0.07424974,1218,2183.6595373153687,0.07424974,696.85,-0.0021229982376098633,0.010674164,514400,1,0.0,5.944198,2061.009207884082,352.01074
0.093398795,1220,2188.036774635315,0.093398795,686.425,0.5966364145278931,0.014530552,515764,2,0.0,5.9194384,2028.2979710123188,345.26376
0.103210166,1221,2192.361896276474,0.103210166,705.2,0.08830797672271729,0.012218507,516764,1,0.0,5.9264693,2086.868229434066,354.19635
0.13084383,1222,2196.7176427841187,0.13084383,705.2,-0.1451493501663208,0.012853414,517764,1,0.0,5.9346514,2093.9824663660374,354.12476
0.10554626,1223,2201.0261054039,0.10554626,727.4,-0.13610506057739258,0.011823859,518764,1,0.0,5.915529,2171.005446197772,366.21722
0.12864932,1225,2205.312629699707,0.12864932,715.975,0.26364636421203613,0.012249749,520307,2,0.0,5.953304,2138.1668264740765,360.14154
0.06373489,1226,2209.6304585933685,0.06373489,732.925,0.4763006567955017,0.003837076,521307,1,0.0,5.9246836,2196.380960521524,367.87973
0.0785733,1227,2213.9720385074615,0.0785733,734.825,0.9359955564141273,0.0040029865,521846,1,0.0,5.9294887,2206.0901283784297,368.5729
0.1373113,1228,2218.297091960907,0.1373113,719.375,0.8961352035403252,0.012800038,522157,1,0.0,5.954239,2159.5882736741464,359.53006
0.1112506,1230,2222.7223472595215,0.1112506,717.075,0.6003151834011078,0.011952167,523528,2,0.0,6.0005937,2150.5389530199222,358.28717
0.092558354,1231,2227.1361169815063,0.092558354,737.925,-0.06885552406311035,0.013313746,524528,1,0.0,5.9470634,2227.6342956276158,368.31964
0.10634415,1232,2231.575601577759,0.10634415,747.1,-0.11088967323303223,0.011382766,525528,1,0.0,5.992432,2267.5608381698935,371.65338
0.06589502,1233,2236.016319513321,0.06589502,751.025,0.05792498588562012,0.0044783936,526528,1,0.0,5.9548783,2283.6811109588302,371.50522
