EpThisIter,EpTrueRewMean,EpisodesSoFar,ev_tdlam_before,meankl,TimeElapsed,TimestepsSoFar,EpRewMean,entloss,EpLenMean,entropy,optimgain,surrgain
2,2471.8094590629726,1289,0.7082495391368866,0.0110282665,13025.045612573624,776435,395.48886,0.0,686.275,1.2008905,0.04346527,0.04346527
2,2421.727005507267,1291,0.9893881818279624,0.0118432,13034.601644515991,777916,390.75336,0.0,673.3,1.2405834,0.06187663,0.06187663
1,2420.697752638199,1292,0.08998185396194458,0.010255862,13044.332403182983,778916,390.66293,0.0,673.3,1.2481178,0.04038206,0.04038206
3,2286.696883187597,1295,0.9101230129599571,0.011096655,13054.020326137543,780004,373.01306,0.0,639.325,1.2510543,0.05564913,0.05564913
2,2225.216403048922,1297,0.5896136164665222,0.0106467325,13063.682945728302,781217,364.32095,0.0,626.375,1.2424259,0.051174816,0.051174816
1,2219.923629693104,1298,0.9829450603574514,0.0114694135,13073.527931690216,781497,363.0394,0.0,624.825,1.2352967,0.06214762,0.06214762
1,2171.1166627529515,1299,0.024228394031524658,0.012128691,13083.394018411636,782497,364.40582,0.0,630.4,1.2324234,0.033244066,0.033244066
1,2241.010757398058,1300,0.05822348594665527,0.010727693,13093.044102191925,783497,372.8942,0.0,650.575,1.2394894,0.03461495,0.03461495
3,2106.4990390945954,1303,0.794347271323204,0.011471005,13102.769987821579,784841,354.41153,0.0,623.575,1.2307137,0.05346845,0.05346845
1,2118.013790016904,1304,0.6607925891876221,0.013623928,13112.611389398575,785841,356.50177,0.0,638.1,1.2464404,0.05731492,0.05731492
1,2113.382611093616,1305,0.37011873722076416,0.0108467685,13122.28621673584,786841,355.22614,0.0,650.925,1.231501,0.05399482,0.05399482
2,2048.466319244098,1307,0.5187439322471619,0.010300005,13132.020852088928,788782,344.08685,0.0,661.75,1.2216023,0.026451468,0.026451468
2,1995.9238210240742,1309,0.9402819089591503,0.0110899685,13141.744817018509,789900,338.04022,0.0,654.45,1.2169935,0.051422376,0.051422376
2,2024.4975598738106,1311,0.9752262067049742,0.010641536,13151.820747852325,790919,344.95364,0.0,663.6,1.231615,0.050116684,0.050116684
