EpThisIter,meankl,EpisodesSoFar,TimestepsSoFar,TimeElapsed,entropy,EpRewMean,ev_tdlam_before,EpTrueRewMean,EpLenMean,surrgain,optimgain,entloss
5,0.005545008,7596,762091,5333.486346960068,22.864985,81.814865,0.8993872180581093,683.8475972952674,132.25,0.18932964,0.18932964,0.0
6,0.005149938,7602,763116,5340.550759553909,22.861567,85.05438,0.8630665987730026,709.8141167741575,137.3,0.16992484,0.16992484,0.0
9,0.005359715,7611,764236,5347.6157302856445,22.85931,83.34445,0.9290863871574402,693.1233626916952,135.0,0.19265848,0.19265848,0.0
7,0.0056498176,7618,765352,5354.697960138321,22.857195,84.14995,0.8671415448188782,731.6241840416258,141.425,0.19075009,0.19075009,0.0
9,0.0049609845,7627,766416,5361.764256954193,22.854168,83.036644,0.8949656113982201,710.9008393840511,138.175,0.15792833,0.15792833,0.0
10,0.0050785234,7637,767512,5368.873626232147,22.854979,77.91718,0.886836476624012,668.552560675209,130.125,0.16704476,0.16704476,0.0
8,0.0051106857,7645,768544,5375.929232120514,22.855385,76.09847,0.8545291870832443,650.8721655664089,126.8,0.17301987,0.17301987,0.0
7,0.0060564526,7652,769549,5382.99737739563,22.85638,77.871155,0.8495247215032578,658.7400007647808,128.8,0.21178493,0.21178493,0.0
8,0.005627824,7660,770518,5390.054158449173,22.855936,73.83864,0.9116399139165878,635.8715776112801,123.6,0.18247883,0.18247883,0.0
9,0.0056011267,7669,771636,5398.156214952469,22.855448,74.92265,0.887668065726757,632.2729344339657,122.8,0.21629414,0.21629414,0.0
7,0.0053508887,7676,772580,5406.438274145126,22.85456,78.3123,0.8726584017276764,668.1020143349269,129.55,0.1784979,0.1784979,0.0
9,0.0049118837,7685,773610,5412.9452884197235,22.85456,76.01207,0.8539637327194214,645.3936203300179,126.65,0.16639689,0.16639689,0.0
6,0.004816098,7691,774532,5419.878650426865,22.853758,75.95007,0.8754471391439438,638.4370186414527,126.475,0.18105373,0.18105373,0.0
8,0.005875244,7699,775573,5426.974696159363,22.853092,79.05522,0.8835749849677086,642.5874631215665,128.525,0.20549703,0.20549703,0.0
6,0.005971024,7705,776393,5434.037420034409,22.850655,78.703964,0.9005627185106277,657.0121182950281,130.625,0.18770501,0.18770501,0.0
7,0.004960982,7712,777397,5441.252516269684,22.84522,79.63344,0.8735116869211197,668.4486781749416,133.825,0.16282946,0.16282946,0.0
8,0.0052909427,7720,778366,5448.378494024277,22.843996,78.11262,0.9026183485984802,664.0782163700007,132.175,0.17958441,0.17958441,0.0
8,0.005617666,7728,779322,5455.604078292847,22.838884,79.82778,0.8938892185688019,664.2553364407926,132.25,0.18029767,0.18029767,0.0
8,0.0047520204,7736,780279,5462.741897106171,22.83651,76.4491,0.8989889770746231,634.5496086518973,125.8,0.1594565,0.1594565,0.0
8,0.005477922,7744,781212,5469.866813659668,22.834652,74.71709,0.9213012456893921,625.0386405973361,122.6,0.18093312,0.18093312,0.0
7,0.0057080095,7751,782333,5477.087105751038,22.830584,73.689255,0.8953490927815437,640.9306608051427,125.15,0.1659523,0.1659523,0.0
9,0.005383554,7760,783225,5484.199589252472,22.83372,73.02211,0.8907664641737938,623.444632330071,121.475,0.169065,0.169065,0.0
7,0.0057355785,7767,784203,5491.423169851303,22.83356,74.07994,0.8851811587810516,639.5211672705161,124.625,0.19240072,0.19240072,0.0
7,0.0055987416,7774,785156,5498.6158566474915,22.832191,75.6589,0.9078363999724388,663.0335812585196,127.825,0.18524373,0.18524373,0.0
8,0.0056733415,7782,786155,5505.841693401337,22.834068,75.62826,0.9123054295778275,660.9830712226719,128.7,0.17408484,0.17408484,0.0
8,0.005648411,7790,787189,5512.909374713898,22.834452,74.83181,0.9212089702486992,650.867098538227,126.275,0.19338427,0.19338427,0.0
9,0.005647389,7799,788129,5520.191065311432,22.829817,72.129234,0.882043369114399,641.9888036910361,125.825,0.16119924,0.16119924,0.0
8,0.0060352376,7807,789083,5527.521329641342,22.83177,70.56216,0.9071737453341484,623.4349605029727,122.0,0.18270093,0.18270093,0.0
7,0.005969774,7814,790025,5534.665002822876,22.833494,71.23257,0.9096149057149887,618.0806619711909,121.725,0.17193232,0.17193232,0.0
8,0.0054770065,7822,791097,5541.941469669342,22.83254,72.479294,0.9341608360409737,623.8466038020126,123.55,0.17130543,0.17130543,0.0
7,0.0055068103,7829,792003,5549.170855998993,22.8352,71.58125,0.9015679508447647,615.1634756590711,123.075,0.17498484,0.17498484,0.0
7,0.0067369365,7836,792923,5556.282632827759,22.83244,74.46196,0.9237064868211746,639.8674859339762,126.825,0.1697011,0.1697011,0.0
10,0.0062454464,7846,793963,5563.482492685318,22.830076,75.80404,0.9184322655200958,639.1966564028883,124.875,0.23498678,0.23498678,0.0
9,0.004800253,7855,795034,5570.746365070343,22.826237,71.69032,0.907810166478157,631.9817220168286,122.45,0.174739,0.174739,0.0
9,0.005421336,7864,796062,5578.6207864284515,22.821554,69.68449,0.9360683187842369,597.2338987030981,115.65,0.17235564,0.17235564,0.0
7,0.0061087217,7871,797114,5585.781285047531,22.821125,72.91162,0.9157559871673584,633.931975123281,120.975,0.19698946,0.19698946,0.0
8,0.0055458024,7879,798113,5593.02331662178,22.822441,72.916565,0.9134510457515717,639.1660044181411,122.75,0.1766165,0.1766165,0.0
8,0.0062993346,7887,799118,5600.314314842224,22.821554,73.89381,0.8874026164412498,646.1025359444732,125.275,0.18128233,0.18128233,0.0
9,0.0063532116,7896,800153,5607.554774522781,22.818031,75.252975,0.9092437475919724,643.8047746811993,124.45,0.21352726,0.21352726,0.0
8,0.004693166,7904,801203,5614.675236463547,22.815754,77.37332,0.898348942399025,662.6054207368828,128.525,0.16890204,0.16890204,0.0
9,0.005818885,7913,802242,5621.861535787582,22.814188,74.76976,0.9055824056267738,615.649432934062,121.225,0.19073062,0.19073062,0.0
