# {"t_start": 1551114205.2689137, "env_id": "CartPole-v0"} 
r,l,t
154.0,154,122.131581
200.0,200,122.601391
200.0,200,123.554636
200.0,200,124.395152
200.0,200,125.22951
200.0,200,125.877017
200.0,200,126.748116
200.0,200,127.367064
200.0,200,127.727513
171.0,171,128.869466
200.0,200,129.497408
200.0,200,130.353221
187.0,187,131.072872
173.0,173,131.787704
200.0,200,132.854817
94.0,94,133.071555
199.0,199,133.760847
141.0,141,134.080904
101.0,101,134.373916
58.0,58,134.508707
135.0,135,134.934884
154.0,154,135.586637
127.0,127,136.40659
140.0,140,136.697403
200.0,200,137.476782
183.0,183,138.127096
145.0,145,138.666416
200.0,200,139.379869
174.0,174,140.049272
200.0,200,140.526166
200.0,200,141.567601
200.0,200,141.912161
191.0,191,142.548506
200.0,200,143.481157
200.0,200,144.008298
200.0,200,144.753864
200.0,200,145.439986
200.0,200,145.773384
200.0,200,147.008276
180.0,180,147.529802
200.0,200,148.372908
200.0,200,148.991871
200.0,200,149.386654
200.0,200,150.249942
200.0,200,151.105071
200.0,200,151.848506
200.0,200,152.353594
200.0,200,153.022573
144.0,144,153.761612
194.0,194,154.716604
200.0,200,155.434393
200.0,200,156.083316
200.0,200,156.668061
200.0,200,157.393352
200.0,200,158.425128
112.0,112,158.980005
200.0,200,159.61859
200.0,200,159.972695
200.0,200,160.435024
188.0,188,161.343652
200.0,200,162.270931
200.0,200,163.209822
200.0,200,163.726809
200.0,200,164.499687
200.0,200,165.251449
200.0,200,166.3589
200.0,200,167.130981
200.0,200,167.699293
200.0,200,168.432799
200.0,200,169.098889
200.0,200,170.179768
200.0,200,170.834706
200.0,200,171.713435
200.0,200,172.389594
200.0,200,172.759626
200.0,200,173.641674
200.0,200,174.367548
200.0,200,175.18986
200.0,200,175.839154
200.0,200,176.389434
200.0,200,177.676835
200.0,200,178.030324
200.0,200,178.804106
200.0,200,179.524512
200.0,200,180.19389
198.0,198,181.485085
200.0,200,181.828143
200.0,200,182.495798
171.0,171,183.147924
200.0,200,183.597636
200.0,200,184.39082
200.0,200,185.263692
200.0,200,185.807507
200.0,200,186.323195
