optimgain,EpTrueRewMean,EpLenMean,ev_tdlam_before,entropy,EpRewMean,EpThisIter,meankl,TimeElapsed,surrgain,EpisodesSoFar,entloss,TimestepsSoFar
0.046614237,27.997577497792175,27.83783783783784,0.3963586688041687,4.2566147,34.71309,37,0.008172008,6.952422142028809,0.046614237,37,0.0,3090
0.046811827,51.91804971347208,43.3,0.0702008605003357,4.141145,49.45426,13,0.0074657523,12.470546007156372,0.046811827,50,0.0,6057
0.044310473,84.76311656757524,62.075,0.4832282066345215,4.117402,66.93412,11,0.0062000803,17.21355700492859,0.044310473,61,0.0,9171
0.048446707,115.87906679581117,78.125,0.7418858110904694,4.154539,83.66408,7,0.0059899045,21.730713605880737,0.048446707,68,0.0,11673
0.048573293,153.29414812229044,100.275,0.7811002731323242,4.153405,105.80286,6,0.006495066,25.964353322982788,0.048573293,74,0.0,14817
0.049085926,189.0503273349496,120.7,0.8779075220227242,4.152795,124.71272,6,0.0062650284,30.14825749397278,0.049085926,80,0.0,18426
0.039091736,223.27940793074214,140.85,0.9395321235060692,4.1214213,142.66803,4,0.006114115,34.34760856628418,0.039091736,84,0.0,21534
0.040608685,249.21162625703022,161.225,0.7435689568519592,4.0925975,158.45395,3,0.0065661133,38.57868456840515,0.040608685,87,0.0,24588
0.03830774,277.1903865826535,180.225,0.9573462009429932,4.0853567,172.19604,3,0.006222053,42.807721853256226,0.03830774,90,0.0,27684
0.04367909,292.1311569650142,193.025,0.9613989740610123,4.0991206,180.98555,1,0.0071192435,47.070608139038086,0.04367909,91,0.0,29571
0.037578274,317.40554284798253,216.725,0.7597104907035828,4.1058974,197.77063,1,0.006566119,51.305691719055176,0.037578274,92,0.0,32571
0.051466696,334.9352477543724,231.45,0.6969201862812042,4.0987473,207.96529,2,0.0059815627,55.563405990600586,0.051466696,94,0.0,34941
0.05563427,354.2788650171214,246.425,0.8955786675214767,4.0789127,219.29268,1,0.005542835,59.77660346031189,0.05563427,95,0.0,36897
0.033032693,377.6325550043768,269.775,-0.016872525215148926,4.0416203,234.60916,1,0.005872639,64.00061750411987,0.033032693,96,0.0,39897
0.049440295,389.118589683704,281.7,0.0041506290435791016,4.0215144,241.80293,1,0.004792006,68.19485092163086,0.049440295,97,0.0,41520
