optimgain,EpisodesSoFar,meankl,TimeElapsed,EpTrueRewMean,surrgain,entloss,EpLenMean,EpRewMean,TimestepsSoFar,EpThisIter,entropy,ev_tdlam_before
0.04051914,34,0.0073306123,5.402184247970581,25.67319952328802,0.04051914,0.0,28.794117647058822,39.258934,2937,34,4.242642,0.24481284618377686
0.04721488,52,0.0075479383,9.721435546875,45.441669427129746,0.04721488,0.0,41.975,54.707787,5976,18,4.2127614,0.01068800687789917
0.041424833,63,0.0062145884,13.970603942871094,89.32984818809777,0.041424833,0.0,62.45,81.841835,9429,11,4.1448436,0.14078783988952637
0.047752116,72,0.00685177,18.14348077774048,132.10996420501039,0.047752116,0.0,82.1,107.0013,12468,9,4.085669,0.5566447079181671
0.050469108,80,0.006340692,22.282798528671265,163.14458672654217,0.050469108,0.0,94.55,121.96863,15435,8,4.074213,0.6132239103317261
0.049728774,87,0.006522173,26.464890718460083,201.22638155451466,0.049728774,0.0,110.8,140.43863,18885,7,4.083397,0.8305097669363022
0.04724858,94,0.006252823,30.732476234436035,240.15201137318815,0.04724858,0.0,126.075,158.60281,22164,7,4.064369,0.8275683224201202
0.049736068,101,0.005525646,34.9609432220459,272.4382458027271,0.049736068,0.0,138.45,171.5448,25590,7,3.9998705,0.868885800242424
0.049143605,105,0.0062258784,39.146968364715576,296.3016923986264,0.049143605,0.0,149.075,182.79059,27996,4,3.9595945,0.9431649222970009
0.048309717,111,0.0060904305,43.325506925582886,333.7666320214802,0.048309717,0.0,163.9,198.72949,31737,6,3.9763112,0.9613864384591579
0.038601145,116,0.0055795885,47.562716484069824,367.67115088503914,0.038601145,0.0,174.875,211.78609,35178,5,3.914368,0.8635143041610718
0.04566364,121,0.0058279117,51.78789138793945,406.8558972389893,0.04566364,0.0,188.2,227.9125,38607,5,3.9411943,0.7585116177797318
0.046527598,125,0.006452265,56.01063299179077,437.867882936001,0.046527598,0.0,201.15,241.99971,41646,4,3.9216552,0.9171495586633682
0.045944333,128,0.0067754504,60.20235824584961,459.5654029987362,0.045944333,0.0,205.75,248.00375,44031,3,3.8819213,0.9547143243253231
0.047849268,131,0.00533843,64.47017669677734,500.5635145459804,0.047849268,0.0,219.25,264.71402,47070,3,3.860741,0.8575678169727325
0.06052641,134,0.0070881364,68.69454216957092,534.625240806976,0.06052641,0.0,231.65,278.97153,49962,3,3.8771422,0.4897530674934387
0.049990542,136,0.005269238,72.91616249084473,574.4565292906531,0.049990542,0.0,248.5,297.51337,52890,2,3.888122,0.6597624123096466
0.060437433,137,0.007153406,77.10536885261536,627.892423982086,0.060437433,0.0,269.675,323.30264,55890,1,3.8824477,0.7321635782718658
0.049330033,141,0.0061410153,81.21293115615845,670.821777569195,0.049330033,0.0,287.9,340.43964,60138,4,3.894594,0.927882045507431
0.044880338,144,0.0069140727,85.36368799209595,719.4130290314087,0.044880338,0.0,310.275,360.24884,64755,3,3.8949282,0.7964355647563934
0.047621988,147,0.00672854,89.53930497169495,737.9961689625613,0.047621988,0.0,319.4,366.76407,67707,3,3.8545537,0.8691322803497314
